sentence1	PPL1	Sentence2	PPL2	Correct
what does that person keep those hats while dropping ?	7.004305362701416	what does that person keep while dropping those hats ?	6.065591812133789	correct
where would that dentist return to the bank before leaving ?	5.398705959320068	where would that dentist return to before leaving the bank ?	5.678680419921875	incorrect
what had that customer held these cars before holding ?	7.646384239196777	what had that customer held before holding these cars ?	7.17340612411499	correct
what are the ladies throwing the rocket after buying ?	6.506097793579102	what are the ladies throwing after buying the rocket ?	6.080018997192383	correct
what could these people make those plates after bringing ?	7.633219242095947	what could these people make after bringing those plates ?	5.998768329620361	correct
what has the patient held the book without dropping ?	6.712834358215332	what has the patient held without dropping the book ?	6.088797569274902	correct
who has the patient visited that boy after working with ?	6.494978427886963	who has the patient visited after working with that boy ?	5.651586532592773	correct
what are those girls breaking the toy before breaking ?	6.8213114738464355	what are those girls breaking before breaking the toy ?	6.670804023742676	correct
what have these children found that bicycle while holding ?	7.243165016174316	what have these children found while holding that bicycle ?	6.173272132873535	correct
what have those doors broken the books without breaking ?	6.770727634429932	what have those doors broken without breaking the books ?	5.944555759429932	correct
who will the dentist appreciate the lady while listening to ?	6.274476051330566	who will the dentist appreciate while listening to the lady ?	6.081387996673584	correct
where were the boys walking through that school while leaving ?	5.526642799377441	where were the boys walking through while leaving that school ?	5.585980415344238	incorrect
what is this teacher cleaning these trucks before shaking ?	7.063286304473877	what is this teacher cleaning before shaking these trucks ?	7.108950138092041	incorrect
what could that book break the crayons without breaking ?	6.581898212432861	what could that book break without breaking the crayons ?	6.156836032867432	correct
who has this man scared this dentist while teaching ?	7.256685256958008	who has this man scared while teaching this dentist ?	6.428293228149414	correct
what would these guys fix these bottles before fixing ?	7.282528400421143	what would these guys fix before fixing these bottles ?	6.46580171585083	correct
what has that person taken those beds while finding ?	7.937047481536865	what has that person taken while finding those beds ?	6.6806254386901855	correct
what had this girl talked about this customer without talking about ?	6.00516939163208	what had this girl talked about without talking about this customer ?	5.916852951049805	correct
what have these women lost those chairs while moving ?	7.20611047744751	what have these women lost while moving those chairs ?	6.518221378326416	correct
who has the dentist worked with those teachers without talking to ?	5.944766998291016	who has the dentist worked with without talking to those teachers ?	5.793853282928467	correct
what do these men take the candles after cleaning ?	6.363080024719238	what do these men take after cleaning the candles ?	5.449375629425049	correct
what can this crayon break the dishes without breaking ?	6.979811668395996	what can this crayon break without breaking the dishes ?	6.364426612854004	correct
what could this dish break these cars before breaking ?	7.241506099700928	what could this dish break before breaking these cars ?	6.934823036193848	correct
who have those people found the boys before working with ?	6.621349334716797	who have those people found before working with the boys ?	5.694041728973389	correct
what could the guys take this car while dropping ?	6.595705986022949	what could the guys take while dropping this car ?	6.701207637786865	incorrect
what have these doctors lost the cars while finding ?	7.113724708557129	what have these doctors lost while finding the cars ?	6.175649166107178	correct
what is the teacher breaking that box without breaking ?	6.451223850250244	what is the teacher breaking without breaking that box ?	6.708954334259033	incorrect
where were those doctors walking through this kitchen while running around ?	5.438396453857422	where were those doctors walking through while running around this kitchen ?	5.765102386474609	incorrect
what have the children seen these bowls before thinking about ?	6.643514156341553	what have the children seen before thinking about these bowls ?	6.524953365325928	correct
who was this teacher listening to that person before teaching ?	5.724376201629639	who was this teacher listening to before teaching that person ?	5.9187092781066895	incorrect
who did the woman answer these people after teaching ?	6.527806758880615	who did the woman answer after teaching these people ?	6.095191478729248	correct
what did the dentist shake the buttons after bringing ?	6.717928409576416	what did the dentist shake after bringing the buttons ?	5.776983261108398	correct
where will the patient drive to that kitchen while going to ?	5.856977462768555	where will the patient drive to while going to that kitchen ?	5.657522678375244	correct
who is that person helping the patient while visiting ?	5.1088690757751465	who is that person helping while visiting the patient ?	5.465430736541748	incorrect
who does that king teach that girl before bothering ?	6.6091389656066895	who does that king teach before bothering that girl ?	6.093660831451416	correct
