,best
agreement_determiner_noun-across_1_adjective,0.789
agreement_determiner_noun-between_neighbors,0.7815
agreement_subject_verb-across_prepositional_phrase,0.8125
agreement_subject_verb-across_relative_clause,0.715
agreement_subject_verb-in_question_with_aux,0.593
agreement_subject_verb-in_simple_question,0.617
anaphor_agreement-pronoun_gender,0.866
argument_structure-dropped_argument,0.5875
argument_structure-swapped_arguments,0.9135
argument_structure-transitive,0.617
binding-principle_a,0.9555
case-subjective_pronoun,0.9635
ellipsis-n_bar,0.512
filler-gap-wh_question_object,0.9425
filler-gap-wh_question_subject,0.975
irregular-verb,0.924
island-effects-adjunct_island,0.4135
island-effects-coordinate_structure_constraint,0.733
local_attractor-in_question_with_aux,0.5775
npi_licensing-matrix_question,0.3035
npi_licensing-only_npi_licensor,0.786
quantifiers-existential_there,0.9585
quantifiers-superlative,0.7365
