,best
agreement_determiner_noun-across_1_adjective,0.912
agreement_determiner_noun-between_neighbors,0.9155
agreement_subject_verb-across_prepositional_phrase,0.693
agreement_subject_verb-across_relative_clause,0.7
agreement_subject_verb-in_question_with_aux,0.741
agreement_subject_verb-in_simple_question,0.8115
anaphor_agreement-pronoun_gender,0.9775
argument_structure-dropped_argument,0.89
argument_structure-swapped_arguments,0.9955
argument_structure-transitive,0.6575
binding-principle_a,0.9115
case-subjective_pronoun,0.996
ellipsis-n_bar,0.445
filler-gap-wh_question_object,0.98
filler-gap-wh_question_subject,0.965
irregular-verb,0.9335
island-effects-adjunct_island,0.6145
island-effects-coordinate_structure_constraint,0.795
local_attractor-in_question_with_aux,0.882
npi_licensing-matrix_question,0.387
npi_licensing-only_npi_licensor,0.6725
quantifiers-existential_there,0.955
quantifiers-superlative,0.8145
