,best
agreement_determiner_noun-across_1_adjective,0.8255
agreement_determiner_noun-between_neighbors,0.874
agreement_subject_verb-across_prepositional_phrase,0.7745
agreement_subject_verb-across_relative_clause,0.6875
agreement_subject_verb-in_question_with_aux,0.7115
agreement_subject_verb-in_simple_question,0.6745
anaphor_agreement-pronoun_gender,0.849
argument_structure-dropped_argument,0.562
argument_structure-swapped_arguments,0.8195
argument_structure-transitive,0.599
binding-principle_a,0.9075
case-subjective_pronoun,0.9315
ellipsis-n_bar,0.65
filler-gap-wh_question_object,0.897
filler-gap-wh_question_subject,0.909
irregular-verb,0.907
island-effects-adjunct_island,0.2835
island-effects-coordinate_structure_constraint,0.769
local_attractor-in_question_with_aux,0.456
npi_licensing-matrix_question,0.43
npi_licensing-only_npi_licensor,0.7735
quantifiers-existential_there,0.962
quantifiers-superlative,0.7115
