,best
agreement_determiner_noun-across_1_adjective,0.929
agreement_determiner_noun-between_neighbors,0.9215
agreement_subject_verb-across_prepositional_phrase,0.7295
agreement_subject_verb-across_relative_clause,0.751
agreement_subject_verb-in_question_with_aux,0.823
agreement_subject_verb-in_simple_question,0.861
anaphor_agreement-pronoun_gender,0.986
argument_structure-dropped_argument,0.8435
argument_structure-swapped_arguments,0.894
argument_structure-transitive,0.6635
binding-principle_a,0.961
case-subjective_pronoun,0.985
ellipsis-n_bar,0.617
filler-gap-wh_question_object,0.9965
filler-gap-wh_question_subject,0.971
irregular-verb,0.889
island-effects-adjunct_island,0.658
island-effects-coordinate_structure_constraint,0.92
local_attractor-in_question_with_aux,0.8545
npi_licensing-matrix_question,0.4605
npi_licensing-only_npi_licensor,0.7975
quantifiers-existential_there,0.968
quantifiers-superlative,0.7
