,best
agreement_determiner_noun-across_1_adjective,0.7945
agreement_determiner_noun-between_neighbors,0.8425
agreement_subject_verb-across_prepositional_phrase,0.8555
agreement_subject_verb-across_relative_clause,0.8565
agreement_subject_verb-in_question_with_aux,0.5875
agreement_subject_verb-in_simple_question,0.705
anaphor_agreement-pronoun_gender,0.946
argument_structure-dropped_argument,0.626
argument_structure-swapped_arguments,0.9365
argument_structure-transitive,0.5325
binding-principle_a,0.957
case-subjective_pronoun,0.9855
ellipsis-n_bar,0.559
filler-gap-wh_question_object,0.963
filler-gap-wh_question_subject,0.965
irregular-verb,0.9695
island-effects-adjunct_island,0.292
island-effects-coordinate_structure_constraint,0.8125
local_attractor-in_question_with_aux,0.69
npi_licensing-matrix_question,0.2205
npi_licensing-only_npi_licensor,0.953
quantifiers-existential_there,0.98
quantifiers-superlative,0.5445
