,best
agreement_determiner_noun-across_1_adjective,0.9285
agreement_determiner_noun-between_neighbors,0.915
agreement_subject_verb-across_prepositional_phrase,0.6935
agreement_subject_verb-across_relative_clause,0.761
agreement_subject_verb-in_question_with_aux,0.7465
agreement_subject_verb-in_simple_question,0.861
anaphor_agreement-pronoun_gender,0.998
argument_structure-dropped_argument,0.7725
argument_structure-swapped_arguments,0.9315
argument_structure-transitive,0.691
binding-principle_a,0.961
case-subjective_pronoun,0.9665
ellipsis-n_bar,0.565
filler-gap-wh_question_object,0.969
filler-gap-wh_question_subject,0.9485
irregular-verb,0.939
island-effects-adjunct_island,0.7085
island-effects-coordinate_structure_constraint,0.703
local_attractor-in_question_with_aux,0.8645
npi_licensing-matrix_question,0.423
npi_licensing-only_npi_licensor,0.521
quantifiers-existential_there,0.979
quantifiers-superlative,0.82
