,best
agreement_determiner_noun-across_1_adjective,0.956
agreement_determiner_noun-between_neighbors,0.9795
agreement_subject_verb-across_prepositional_phrase,0.812
agreement_subject_verb-across_relative_clause,0.8855
agreement_subject_verb-in_question_with_aux,0.8945
agreement_subject_verb-in_simple_question,0.8785
anaphor_agreement-pronoun_gender,0.974
argument_structure-dropped_argument,0.8565
argument_structure-swapped_arguments,0.8665
argument_structure-transitive,0.6575
binding-principle_a,0.9685
case-subjective_pronoun,0.8865
ellipsis-n_bar,0.5625
filler-gap-wh_question_object,0.9675
filler-gap-wh_question_subject,0.9555
irregular-verb,0.9665
island-effects-adjunct_island,0.754
island-effects-coordinate_structure_constraint,0.9465
local_attractor-in_question_with_aux,0.9165
npi_licensing-matrix_question,0.48
npi_licensing-only_npi_licensor,0.9135
quantifiers-existential_there,0.9725
quantifiers-superlative,0.9295
