,best
agreement_determiner_noun-across_1_adjective,0.9605
agreement_determiner_noun-between_neighbors,0.9555
agreement_subject_verb-across_prepositional_phrase,0.7615
agreement_subject_verb-across_relative_clause,0.797
agreement_subject_verb-in_question_with_aux,0.7895
agreement_subject_verb-in_simple_question,0.9105
anaphor_agreement-pronoun_gender,0.986
argument_structure-dropped_argument,0.6065
argument_structure-swapped_arguments,0.889
argument_structure-transitive,0.6705
binding-principle_a,0.9675
case-subjective_pronoun,0.9295
ellipsis-n_bar,0.584
filler-gap-wh_question_object,0.9645
filler-gap-wh_question_subject,0.972
irregular-verb,0.959
island-effects-adjunct_island,0.6375
island-effects-coordinate_structure_constraint,0.6735
local_attractor-in_question_with_aux,0.8665
npi_licensing-matrix_question,0.451
npi_licensing-only_npi_licensor,0.6345
quantifiers-existential_there,0.991
quantifiers-superlative,0.856
