correct	incorrect	model_choice
A:Would the doctor the council should support wait?	B:Should the doctor the council support would wait?	A
A:Would the prince the student can't believe report the news?	B:Can't the prince the student believe would report the news?	A
B:Could the doctor the child might ask buy the book?	A:Might the doctor the child ask could buy the book?	B
A:Won't the father the child might follow write the book?	B:Might the father the child follow won't write the book?	A
B:Won't the girl the student must join arrive?	A:Must the girl the student join won't arrive?	B
A:Might the player the other player does reach out to sell the car?	B:Does the player the other player reach out to might sell the car?	A
B:Couldn't the professor the captain didn't lead support the position?	A:Didn't the professor the captain lead couldn't support the position?	B
B:Won't the father the teacher shouldn't call talk?	A:Shouldn't the father the teacher call won't talk?	B
A:Must the president the student mustn't follow meet the team?	B:Mustn't the president the student follow must meet the team?	A
A:Can the king the child mustn't follow sit?	B:Mustn't the king the child follow can sit?	A
A:Shouldn't the player the other player will hit reach the agreement?	B:Will the player the other player hit shouldn't reach the agreement?	A
A:Would the father the teacher can invite help the family?	B:Can the father the teacher invite would help the family?	A
A:Doesn't the king the woman did marry hold the line?	B:Did the king the woman marry doesn't hold the line?	A
A:Can the professor the friend couldn't trust sit?	B:Couldn't the professor the friend trust can sit?	A
B:Would the wife the president won't invite reach the goal?	A:Won't the wife the president invite would reach the goal?	B
B:Might the doctor the student won't trust move to the house?	A:Won't the doctor the student trust might move to the house?	B
A:Does the prince the friend might tell the story to keep the record?	B:Might the prince the friend tell the story to does keep the record?	A
A:Might the president the soldier doesn't attack trust the assistant?	B:Doesn't the president the soldier attack might trust the assistant?	A
B:Could the lady the player can't trust leave?	A:Can't the lady the player trust could leave?	B
A:Did the mother the child couldn't see end the war?	B:Couldn't the mother the child see did end the war?	A
B:Might the prince the student won't trust believe the story?	A:Won't the prince the student trust might believe the story?	B
B:Did the doctor the student can't follow serve the people?	A:Can't the doctor the student follow did serve the people?	B
A:May the princess the leader shouldn't lead fight for the cup?	B:Shouldn't the princess the leader lead may fight for the cup?	A
B:May the mother the woman couldn't believe in study the science?	A:Couldn't the mother the woman believe in may study the science?	B
B:Won't the president the other president could meet choose the team?	A:Could the president the other president meet won't choose the team?	B
A:Mustn't the professor the player did join walk?	B:Did the professor the player join mustn't walk?	A
A:Shouldn't the wife the doctor won't understand work?	B:Won't the wife the doctor understand shouldn't work?	A
B:Didn't the professor the army couldn't kill sit?	A:Couldn't the professor the army kill didn't sit?	B
A:Won't the man the council doesn't support eat the food?	B:Doesn't the man the council support won't eat the food?	A
B:Mustn't the professor the parent might like rest?	A:Might the professor the parent like mustn't rest?	B
