correct	incorrect	model_choice
B:Catherine sees herself joining this committee.	A:Catherine sees herself joined this committee.	B
B:Gary sees himself joining this committee.	A:Gary sees himself joined this committee.	B
B:The girl explains that the man believes in himself.	A:The girl explains that the man believes in herself.	B
A:Jerry explains that the female player believes in herself.	B:Jerry explains that the female player believes in himself.	A
B:Kelly knows that the king enjoys himself.	A:Kelly knows that the king enjoys herself.	B
A:Anthony knows that the female president enjoys herself.	B:Anthony knows that the female president enjoys himself.	A
A:Kelly imagines herself enjoying that music.	B:Kelly imagines herself enjoyed that music.	A
B:Anthony caught himself enjoying that music.	A:Anthony caught himself enjoyed that music.	B
A:Alice knows that the man introduces himself to others.	B:Alice knows that the man introduces herself to others.	A
B:William knows that the woman introduces herself to others.	A:William knows that the woman introduces himself to others.	B
A:Alice pictures herself describing the process.	B:Alice pictures herself described the process.	A
A:William pictures himself describing the process.	B:William pictures himself described the process.	A
B:Victoria explains that the father hides himself.	A:Victoria explains that the father hides herself.	B
A:Jack explains that his mother hides herself.	B:Jack explains that his mother hides himself.	A
A:Sarah shows that her brother enjoys himself.	B:Sarah shows that her brother enjoys herself.	A
B:Robert shows that the female president enjoys herself.	A:Robert shows that the female president enjoys himself.	B
A:Sarah caught herself enjoying the film.	B:Sarah caught herself enjoyed the film.	A
A:Robert caught himself enjoying the film.	B:Robert caught himself enjoyed the film.	A
A:The daughter imagines herself opening this door.	B:The daughter imagines herself opened this door.	A
B:Dan imagines himself opening this door.	A:Dan imagines himself opened this door.	B
A:Jane feels that the prince teaches himself French.	B:Jane feels that the prince teaches herself French.	A
A:The king feels that the wife teaches herself French.	B:The king feels that the wife teaches himself French.	A
A:Jane imagines herself teaching the course.	B:Jane imagines herself taught the course.	A
A:The king saw himself teaching the course.	B:The king saw himself taught the course.	A
B:Anna feels that the father depends on himself.	A:Anna feels that the father depends on herself.	B
B:The male player feels that the wife depends on herself.	A:The male player feels that the wife depends on himself.	B
A:Anna imagines herself living with her parents.	B:Anna imagines herself lived with her parents.	A
B:The male player sees himself living with his parents.	A:The male player sees himself lived with his parents.	B
A:Maria imagines herself finishing a project.	B:Maria imagines herself finished a project.	A
B:Oliver imagines himself finishing a project.	A:Oliver imagines himself finished a project.	B
B:The wife hears that the male player sees himself appear on television.	A:The wife hears that the male player sees herself appear on television.	B
A:The father hears that the female president sees herself appear on television.	B:The father hears that the female president sees himself appear on television.	A
A:The wife sees herself joining the party.	B:The wife sees herself joined the party.	A
B:The father sees himself joining the party.	A:The father sees himself joined the party.	B
B:The lady heard that the brother introduced himself to others.	A:The lady heard that the brother introduced herself to others.	B
B:Adam heard that the female president introduced herself to others.	A:Adam heard that the female president introduced himself to others.	B
A:The lady imagines herself starting this project.	B:The lady imagines herself started this project.	A
B:Adam sees himself starting this project.	A:Adam sees himself started this project.	B
A:The boy wrote that the lady protected herself.	B:The boy wrote that the lady protected himself.	A
B:The boy pictures himself opening the museum.	A:The boy pictures himself opened the museum.	B
A:Ann means that the father improves himself.	B:Ann means that the father improves herself.	A
B:The male president means that the lady improves herself.	A:The male president means that the lady improves himself.	B
A:The female doctor sees herself throwing this ball.	B:The female doctor sees herself threw this ball.	A
A:John sees himself throwing this ball.	B:John sees himself threw this ball.	A
A:The female president explains that the prince saves himself.	B:The female president explains that the prince saves herself.	A
B:The prince explains that the girl saves herself.	A:The prince explains that the girl saves himself.	B
A:The girl hears that the male player supports himself.	B:The girl hears that the male player supports herself.	A
A:Stephen hears that the female doctor supports herself.	B:Stephen hears that the female doctor supports himself.	A
A:Alice sees that the father supports himself.	B:Alice sees that the father supports herself.	A
A:Adam sees that the daughter supports herself.	B:Adam sees that the daughter supports himself.	A
B:Alice sees herself raising some children.	A:Alice sees herself raised some children.	B
B:Adam sees himself raising some children.	A:Adam sees himself raised some children.	B
A:The woman means to say that the brother protected himself.	B:The woman means to say that the brother protected herself.	A
B:Paul means to say that the girl protected herself.	A:Paul means to say that the girl protected himself.	B
B:The woman imagines herself designing that program.	A:The woman imagines herself designed that program.	B
B:Paul imagines himself designing that program.	A:Paul imagines himself designed that program.	B
B:The female professor learns that the male professor sees himself appear on television.	A:The female professor learns that the male professor sees herself appear on television.	B
A:The man learns that the girl sees herself appear on television.	B:The man learns that the girl sees himself appear on television.	A
A:The female professor imagines herself joining this team.	B:The female professor imagines herself joined this team.	A
B:The man imagines himself joining this team.	A:The man imagines himself joined this team.	B
B:Mary understands that the male doctor saved himself.	A:Mary understands that the male doctor saved herself.	B
A:Matt understands that the girl saved herself.	B:Matt understands that the girl saved himself.	A
B:Mary knows that the male professor introduced himself to others.	A:Mary knows that the male professor introduced herself to others.	B
A:Carl knows that the wife introduced herself to others.	B:Carl knows that the wife introduced himself to others.	A
B:Ruth imagines herself winning this game.	A:Ruth imagines herself won this game.	B
B:Stephen imagines himself winning this game.	A:Stephen imagines himself won this game.	B
A:The girl sees that the male player changed himself.	B:The girl sees that the male player changed herself.	A
A:Dennis sees that the mother changed herself.	B:Dennis sees that the mother changed himself.	A
B:The girl sees herself closing her eyes.	A:The girl sees herself closed her eyes.	B
A:Dennis sees himself closing his eyes.	B:Dennis sees himself closed his eyes.	A
A:Victoria knows that the prince helps himself to food.	B:Victoria knows that the prince helps herself to food.	A
B:The male president knows that the mother helps herself to food.	A:The male president knows that the mother helps himself to food.	B
A:Victoria finds herself calling that meeting.	B:Victoria finds herself called that meeting.	A
B:The male president finds himself calling that meeting.	A:The male president finds himself called that meeting.	B
A:Carl imagines himself selling that house.	B:Carl imagines himself sold that house.	A
A:The female player means to say that the male president hit himself.	B:The female player means to say that the male president hit herself.	A
B:Oliver means to say that the lady hit herself.	A:Oliver means to say that the lady hit himself.	B
A:The female player imagines herself hitting the target.	B:The female player imagines herself hit the target.	A
A:Oliver imagines himself hitting the target.	B:Oliver imagines himself hit the target.	A
B:The mother learns that the king supports himself.	A:The mother learns that the king supports herself.	B
B:Anthony learns that the female player supports herself.	A:Anthony learns that the female player supports himself.	B
A:The mother imagines herself supporting that family.	B:The mother imagines herself supported that family.	A
B:Anthony imagines himself supporting that family.	A:Anthony imagines himself supported that family.	B
A:Victoria learns that the man prepares himself for the job.	B:Victoria learns that the man prepares herself for the job.	A
B:The male player learns that the wife prepares herself for the job.	A:The male player learns that the wife prepares himself for the job.	B
A:Victoria imagines herself finishing this season.	B:Victoria imagines herself finished this season.	A
A:The male player imagines himself finishing this season.	B:The male player imagines himself finished this season.	A
B:The female professor imagines herself driving a bus.	A:The female professor imagines herself drove a bus.	B
A:Jason imagines himself driving a bus.	B:Jason imagines himself drove a bus.	A
B:The woman finds herself painting a wall.	A:The woman finds herself painted a wall.	B
B:Charles finds himself painting some wall.	A:Charles finds himself painted some wall.	B
A:The female president hears that the prince trusts himself.	B:The female president hears that the prince trusts herself.	A
B:The father hears that the female president trusts herself.	A:The father hears that the female president trusts himself.	B
B:The female president sees herself trusting this friend.	A:The female president sees herself trusted this friend.	B
A:The father sees himself trusting this friend.	B:The father sees himself trusted this friend.	A
B:Alice sees herself adding a record to the system.	A:Alice sees herself added a record to the system.	B
B:Alexander sees himself adding a record to the system.	A:Alexander sees himself added a record to the system.	B
A:The woman says that the king understands himself.	B:The woman says that the king understands herself.	A
A:Ben says that the woman understands herself.	B:Ben says that the woman understands himself.	A
A:Victoria imagines herself throwing the ball.	B:Victoria imagines herself threw the ball.	A
B:Adam pictures himself throwing the ball.	A:Adam pictures himself threw the ball.	B
B:Maria pictures herself selling a car.	A:Maria pictures herself sold a car.	B
A:The boy pictures himself selling a car.	B:The boy pictures himself sold a car.	A
B:The female president feels that the boy loses himself in the game.	A:The female president feels that the boy loses herself in the game.	B
A:Ben feels that the female player loses herself in the game.	B:Ben feels that the female player loses himself in the game.	A
B:The female president imagines herself losing that game.	A:The female president imagines herself lost that game.	B
A:Ben pictures himself losing that game.	B:Ben pictures himself lost that game.	A
B:The princess pictures herself moving to this house.	A:The princess pictures herself moved to this house.	B
A:Paul pictures himself moving to that house.	B:Paul pictures himself moved to that house.	A
A:The girl shows that the male doctor understands himself.	B:The girl shows that the male doctor understands herself.	A
A:Sam shows that the daughter understands herself.	B:Sam shows that the daughter understands himself.	A
A:The girl pictures herself understanding that story.	B:The girl pictures herself understood that story.	A
B:Sam pictures himself understanding that story.	A:Sam pictures himself understood that story.	B
B:The female professor reports that the man believes in himself.	A:The female professor reports that the man believes in herself.	B
A:Jerry reports that the female player believes in herself.	B:Jerry reports that the female player believes in himself.	A
A:The female professor imagined herself believing this news.	B:The female professor imagined herself believed this news.	A
A:Jerry finds himself believing this news.	B:Jerry finds himself believed this news.	A
A:Maria shows that the boy supports himself.	B:Maria shows that the boy supports herself.	A
B:The brother shows that the mother supports herself.	A:The brother shows that the mother supports himself.	B
B:Maria pictures herself raising the money for children.	A:Maria pictures herself raised the money for children.	B
A:The brother pictures himself raising the money for children.	B:The brother pictures himself raised the money for children.	A
B:The female professor feels that the male president loves himself.	A:The female professor feels that the male president loves herself.	B
B:Matt feels that the mother loves herself.	A:Matt feels that the mother loves himself.	B
A:The female professor imagines herself enjoying some music.	B:The female professor imagines herself enjoyed some music.	A
B:Matt pictures himself loving some music.	A:Matt pictures himself loved some music.	B
B:Ruth understands that the male professor is defending himself.	A:Ruth understands that the male professor is defending herself.	B
B:The male doctor understands that the female doctor is defending herself.	A:The male doctor understands that the female doctor is defending himself.	B
A:Elizabeth says that the prince saved himself.	B:Elizabeth says that the prince saved herself.	A
A:Robert says that the wife saved herself.	B:Robert says that the wife saved himself.	A
B:Elizabeth sees herself saving some time.	A:Elizabeth sees herself saved some time.	B
B:Robert sees himself saving some time.	A:Robert sees himself saved some time.	B
B:Jane pictures herself adding this number to the list.	A:Jane pictures herself added this number to the list.	B
B:The male doctor pictures himself adding this number to the list.	A:The male doctor pictures himself added this number to the list.	B
A:Elizabeth explains that the king saves himself.	B:Elizabeth explains that the king saves herself.	A
A:Lawrence explains that the daughter saves herself.	B:Lawrence explains that the daughter saves himself.	A
A:The wife imagines herself trying this method.	B:The wife imagines herself tried this method.	A
B:Ryan imagines himself trying this method.	A:Ryan imagines himself tried this method.	B
A:The female player sees herself trying that method.	B:The female player sees herself tried that method.	A
B:Jerry sees himself trying that method.	A:Jerry sees himself tried that method.	B
B:Ruth writes that the boy changed himself.	A:Ruth writes that the boy changed herself.	B
B:The male doctor writes that the female president changed herself.	A:The male doctor writes that the female president changed himself.	B
A:Ruth pictures herself closing the door.	B:Ruth pictures herself closed the door.	A
B:The male doctor pictures himself closing the door.	A:The male doctor pictures himself closed the door.	B
B:The woman shows that the father studies himself in the picture.	A:The woman shows that the father studies herself in the picture.	B
B:Matt shows that the woman studies herself in the picture.	A:Matt shows that the woman studies himself in the picture.	B
B:The woman pictures herself studying history.	A:The woman pictures herself studied history.	B
B:Matt pictures himself studying the history.	A:Matt pictures himself studied the history.	B
A:Ann imagines herself marrying a woman.	B:Ann imagines herself married a woman.	A
B:The man pictures himself marrying a woman.	A:The man pictures himself married a woman.	B
B:Catherine understands that the male professor hid himself.	A:Catherine understands that the male professor hid herself.	B
B:The male doctor understands that the lady hid herself.	A:The male doctor understands that the lady hid himself.	B
B:Helen sees herself explaining the reason.	A:Helen sees herself explained the reason.	B
B:Dan sees himself explaining the reason.	A:Dan sees himself explained the reason.	B
B:The woman finds herself carrying the water.	A:The woman finds herself carried the water.	B
A:Paul finds himself carrying the water.	B:Paul finds himself carried the water.	A
A:Jane thinks that the brother introduced himself to others.	B:Jane thinks that the brother introduced herself to others.	A
A:Adam thinks that the female doctor introduced herself to others.	B:Adam thinks that the female doctor introduced himself to others.	A
A:Jane finds herself taking the picture.	B:Jane finds herself took the picture.	A
A:Adam finds himself taking the picture.	B:Adam finds himself took the picture.	A
A:Jane writes that the prince found himself in a picture.	B:Jane writes that the prince found herself in a picture.	A
B:Jason writes that the girl found herself in a picture.	A:Jason writes that the girl found himself in a picture.	B
B:Jane pictures herself finding the job.	A:Jane pictures herself found the job.	B
B:Jason pictures himself finding the job.	A:Jason pictures himself found the job.	B
B:The female president reports that the prince saved himself.	A:The female president reports that the prince saved herself.	B
A:Sam reports that the female player saved herself.	B:Sam reports that the female player saved himself.	A
A:The woman thinks that the male player helps himself to food.	B:The woman thinks that the male player helps herself to food.	A
A:Jason thinks that the wife helps herself to food.	B:Jason thinks that the wife helps himself to food.	A
A:The woman finds herself helping this child.	B:The woman finds herself helped this child.	A
B:Jason finds himself helping this child.	A:Jason finds himself helped this child.	B
A:The princess understands that the prince believes in himself.	B:The princess understands that the prince believes in herself.	A
B:Victor understands that the female player believes in herself.	A:Victor understands that the female player believes in himself.	B
B:The female president finds herself sharing the information.	A:The female president finds herself shared the information.	B
A:Roger finds himself sharing the information.	B:Roger finds himself shared the information.	A
B:Ann hears that the father cares for himself.	A:Ann hears that the father cares for herself.	B
B:Gary hears that the girl cares for herself.	A:Gary hears that the girl cares for himself.	B
B:Ann sees herself buying some goods.	A:Ann sees herself bought some goods.	B
B:Gary sees himself buying some goods.	A:Gary sees himself bought some goods.	B
A:The female doctor explains that the man helps himself to food.	B:The female doctor explains that the man helps herself to food.	A
A:Matt explains that the female professor helps herself to food.	B:Matt explains that the female professor helps himself to food.	A
A:The wife writes that the father teaches himself French.	B:The wife writes that the father teaches herself French.	A
B:Roger writes that the woman teaches herself French.	A:Roger writes that the woman teaches himself French.	B
A:The wife pictures herself teaching a course.	B:The wife pictures herself taught a course.	A
A:Roger pictures himself teaching a course.	B:Roger pictures himself taught a course.	A
A:The mother imagines herself moving the rock.	B:The mother imagines herself moved the rock.	A
B:Martin imagines himself moving the rock.	A:Martin imagines himself moved the rock.	B
B:The mother imagines herself drawing that picture.	A:The mother imagines herself drew that picture.	B
B:Thomas imagines himself drawing that picture.	A:Thomas imagines himself drew that picture.	B
