correct	incorrect	model_choice
B:Who did the customer who talked to that man love?	A:Who did the customer who talked to love that man?	B
A:Who did the customer who loved that man talk to?	B:Who did the customer who loved talk to that man?	A
B:What did this male professor who understood the rule follow?	A:What did this male professor who understood follow the rule?	B
A:What did this male professor who protected the rule understand?	B:What did this male professor who protected understand the rule?	A
B:Who did the writer who trusted that teacher call?	A:Who did the writer who trusted call that teacher?	B
B:Who did the writer who called that teacher trust?	A:Who did the writer who called trust that teacher?	B
A:Who did this male professor who contacted this child see?	B:Who did this male professor who contacted see this child?	A
B:Who did this male professor who saw this child contact?	A:Who did this male professor who saw contact this child?	B
A:Who did the visitor who defeated Mike beat?	B:Who did the visitor who defeated beat Mike?	A
B:Who did that prince who beat Alice defeat?	A:Who did that prince who beat defeat Alice?	B
B:Who did the student who trusted Robert visit?	A:Who did the student who trusted visit Robert?	B
A:Who did this daughter who beat that president talk to?	B:Who did this daughter who beat talk to that president?	A
B:Who did this daughter who talked to that president beat?	A:Who did this daughter who talked to beat that president?	B
A:Who did this male president who believed the teacher hide?	B:Who did this male president who believed hide the teacher?	B
B:Who did this male president who hid the teacher believe?	A:Who did this male president who hid believe the teacher?	B
B:Who did the judge who saw this minister contact?	A:Who did the judge who saw contact this minister?	B
B:Who did the judge who contacted this minister see?	A:Who did the judge who contacted see this minister?	B
B:Who did the doctor who talked to Alexander beat?	A:Who did the doctor who talked to beat Alexander?	B
A:Who did the doctor who beat Alexander talk to?	B:Who did the doctor who beat talk to Alexander?	A
B:Who did that female president who met this parent support?	A:Who did that female president who met support this parent?	B
A:Who did that female president who supported this parent meet?	B:Who did that female president who supported meet this parent?	A
A:Who did that daughter who believed the police call?	B:Who did that daughter who believed call the police?	B
A:Who did that daughter who called the police believe?	B:Who did that daughter who called believe the police?	A
A:Who did the professor who found this student talk to?	B:Who did the professor who found talk to this student?	A
A:Who did the professor who talked to this student find?	B:Who did the professor who talked to find this student?	A
B:Who did the judge who beat that teacher select?	A:Who did the judge who beat select that teacher?	B
B:Who did the judge who selected that teacher beat?	A:Who did the judge who selected beat that teacher?	B
B:Who did the driver who beat this doctor save?	A:Who did the driver who beat save this doctor?	B
B:Who did the driver who saved this doctor beat?	A:Who did the driver who saved beat this doctor?	B
A:Who did his wife who trusted Henry defeat?	B:Who did his wife who trusted defeat Henry?	A
B:Who did his wife who defeated Henry trust?	A:Who did his wife who defeated trust Henry?	B
A:Who did the coach who visited this leader talk to?	B:Who did the coach who visited talk to this leader?	A
B:Who did the coach who talked to this leader visit?	A:Who did the coach who talked to visit this leader?	B
B:Who did the girl who visited that team attack?	A:Who did the girl who visited attack that team?	B
B:Who did the girl who attacked that team visit?	A:Who did the girl who attacked visit that team?	B
A:Who did the driver who saved Mary visit?	B:Who did the driver who saved visit Mary?	A
A:Who did the driver who visited Mary save?	B:Who did the driver who visited save Mary?	A
A:Who did the professor who met William recognize?	B:Who did the professor who met recognize William?	A
A:Who did the professor who recognized William meet?	B:Who did the professor who recognized meet William?	A
A:Who did the soldier who contacted that government defeat?	B:Who did the soldier who contacted defeat that government?	A
B:Who did the soldier who defeated that government contact?	A:Who did the soldier who defeated contact that government?	B
A:Who did that male doctor who kicked the woman believe?	B:Who did that male doctor who kicked believe the woman?	A
A:Who did that male doctor who believed the woman marry?	B:Who did that male doctor who believed marry the woman?	A
B:Who did the teacher who defeated that coach select?	A:Who did the teacher who defeated select that coach?	B
B:Who did the teacher who selected that coach defeat?	A:Who did the teacher who selected defeat that coach?	B
A:Who did the assistant who kicked the student believe?	B:Who did the assistant who kicked believe the student?	A
A:Who did the assistant who believed the student marry?	B:Who did the assistant who believed marry the student?	A
A:Who did the writer who met Victor trust?	B:Who did the writer who met trust Victor?	A
A:Who did the writer who trusted Victor meet?	B:Who did the writer who trusted meet Victor?	A
A:Who did the director who loved her parent support?	B:Who did the director who loved support her parent?	A
B:Who did the director who supported her parent love?	A:Who did the director who supported love her parent?	B
A:Who did that girl who called Jane defeat?	B:Who did that girl who called defeat Jane?	A
B:Who did that girl who defeated Jane call?	A:Who did that girl who defeated call Jane?	B
A:Who did the farmer who selected that student trust?	B:Who did the farmer who selected trust that student?	A
B:Who did the farmer who trusted that student select?	A:Who did the farmer who trusted select that student?	B
B:Who did the soldier who injured the police officer find?	A:Who did the soldier who injured find the police officer?	B
A:Who did the soldier who found the police officer injure?	B:Who did the soldier who found injure the police officer?	A
B:Who did the judge who visited the teacher select?	A:Who did the judge who visited select the teacher?	B
B:Who did the judge who selected the teacher visit?	A:Who did the judge who selected visit the teacher?	B
A:Who did the judge who visited the student follow?	B:Who did the judge who visited follow the student?	A
B:Who did the judge who protected the student visit?	A:Who did the judge who protected visit the student?	B
B:Who did this daughter who called that friend select?	A:Who did this daughter who called select that friend?	B
B:Who did this daughter who selected that friend call?	A:Who did this daughter who selected call that friend?	B
A:Who did the female president who trusted the child injure?	B:Who did the female president who trusted injure the child?	A
A:Who did the female president who injured the child trust?	B:Who did the female president who injured trust the child?	A
