correct	incorrect	model_choice
A:Who did this father learn that Louis served at the party?	B:Who did this father learn whether Louis served at the party?	A
B:What did this father learn that Louis taught?	A:What did this father learn whether Louis taught?	B
A:What might this father find out he taught?	B:What might this father find out who taught?	A
B:What might this father find out he drew?	A:What might this father find out who drew?	B
A:Who did this male professor know that Ryan found?	B:Who did this male professor know whether Ryan found?	A
A:What did this male professor know that Ryan shared with others?	B:What did this male professor know whether Ryan shared with others?	A
B:What won't this male professor know he shared with others?	A:What won't this male professor know who shared with others?	B
B:What won't this male professor know he chose?	A:What won't this male professor know who chose?	B
A:Who did this woman hear that Elizabeth defeated?	B:Who did this woman hear whether Elizabeth defeated?	A
B:What doesn't this woman know she chose?	A:What doesn't this woman know who chose?	B
A:What doesn't this woman know she found?	B:What doesn't this woman know who found?	A
A:What did the man hear that Anna remembered?	B:What did the man hear whether Anna remembered?	A
A:What would the man say he remembered?	B:What would the man say who remembered?	A
A:What would the man say he chose?	B:What would the man say who chose?	A
B:What did this girl see that Bill built?	A:What did this girl see whether Bill built?	B
A:What can't this girl believe she built?	B:What can't this girl believe who built?	A
B:What didn't this male player know he wrote?	A:What didn't this male player know who wrote?	B
A:What didn't this male player know he fought for?	B:What didn't this male player know who fought for?	A
A:Who did this woman see that Maria taught?	B:Who did this woman see whether Maria taught?	A
A:What don't these women tell us they shared?	B:What don't these women tell us who shared?	A
B:Who did this mother learn that Maria killed?	A:Who did this mother learn whether Maria killed?	B
A:What didn't this mother realize she served at the party?	B:What didn't this mother realize who served at the party?	A
A:Who did the lady remember that Michael served at the party?	B:Who did the lady remember whether Michael served at the party?	A
B:What will the lady find out she helped?	A:What will the lady find out who helped?	B
A:Who did the father learn that Charles asked?	B:Who did the father learn whether Charles asked?	A
B:What did the male doctor hear that Peter was watching?	A:What did the male doctor hear whether Peter was watching?	B
A:What did the male doctor hear that Peter shared?	B:What did the male doctor hear whether Peter shared?	A
A:What can't the male doctor believe he shared?	B:What can't the male doctor believe who shared?	A
B:What can't the male doctor believe he finished?	A:What can't the male doctor believe who finished?	B
A:Who did the male president learn that Steve met?	B:Who did the male president learn whether Steve met?	A
A:What did the male president learn that Steve chose?	B:What did the male president learn whether Steve chose?	A
B:What shouldn't the male president find out he chose?	A:What shouldn't the male president find out who chose?	B
B:What shouldn't the male president find out he described?	A:What shouldn't the male president find out who described?	B
A:Who did the female professor explain that Helen trusted?	B:Who did the female professor explain whether Helen trusted?	A
A:What did the female professor explain that Helen put on the table?	B:What did the female professor explain whether Helen put on the table?	A
B:What didn't the female professor realize she put on the table?	A:What didn't the female professor realize who put on the table?	B
A:What didn't the female professor realize she found?	B:What didn't the female professor realize who found?	A
A:What could this lady believe she wrote?	B:What could this lady believe who wrote?	A
B:Who did this daughter know that Anna saved?	A:Who did this daughter know whether Anna saved?	B
A:What did this daughter know that Anna saved?	B:What did this daughter know whether Anna saved?	A
B:What doesn't this daughter find out she saved?	A:What doesn't this daughter find out who saved?	B
B:What doesn't this daughter find out she informed her mother about?	A:What doesn't this daughter find out who informed her mother about?	B
B:Who did the princess explain that Ann saw?	A:Who did the princess explain whether Ann saw?	B
A:What did the princess explain that Ann saved?	B:What did the princess explain whether Ann saved?	A
A:What did the female professor learn that Louis shared?	B:What did the female professor learn whether Louis shared?	A
A:What must the female professor decide she shared?	B:What must the female professor decide who shared?	A
B:What must the female professor decide she taught?	A:What must the female professor decide who taught?	B
A:Who did this woman decide that Philip helped?	B:Who did this woman decide whether Philip helped?	A
B:What did this woman decide that Philip built?	A:What did this woman decide whether Philip built?	B
B:What must this woman decide she built?	A:What must this woman decide who built?	B
A:What must this woman decide she wrote?	B:What must this woman decide who wrote?	A
A:Who did this male doctor say that Gary helped?	B:Who did this male doctor say whether Gary helped?	A
B:What did this male doctor say that Gary helped?	A:What did this male doctor say whether Gary helped?	B
B:What must this male doctor say he helped?	A:What must this male doctor say who helped?	B
A:What must this male doctor say he served at the party?	B:What must this male doctor say who served at the party?	A
B:Who did the female doctor know that Bill found?	A:Who did the female doctor know whether Bill found?	B
A:What did the female doctor know that Bill made?	B:What did the female doctor know whether Bill made?	A
B:What didn't the female doctor realize she made?	A:What didn't the female doctor realize who made?	B
A:What didn't the female doctor realize she finished?	B:What didn't the female doctor realize who finished?	A
A:Who did this father say that Louis saw?	B:Who did this father say whether Louis saw?	A
B:What did this father say that Louis wrote?	A:What did this father say whether Louis wrote?	B
B:What can this father learn he wrote?	A:What can this father learn who wrote?	A
A:What can this father learn he can't control?	B:What can this father learn who can't control?	A
A:Who did this female professor know that Scott helped?	B:Who did this female professor know whether Scott helped?	A
B:What did this female professor know that Scott taught?	A:What did this female professor know whether Scott taught?	B
A:What didn't this female professor realize she taught?	B:What didn't this female professor realize who taught?	A
B:What didn't this female professor realize she was fighting against?	A:What didn't this female professor realize who was fighting against?	B
A:Who did the brother see that Ryan asked about?	B:Who did the brother see whether Ryan asked about?	A
B:Who did this male professor explain that Joe married?	A:Who did this male professor explain whether Joe married?	B
B:What did this male professor explain that Joe finished?	A:What did this male professor explain whether Joe finished?	B
A:What didn't this male professor realize he finished?	B:What didn't this male professor realize who finished?	A
A:What didn't this male professor realize he saved?	B:What didn't this male professor realize who saved?	A
A:What did the male professor say that Helen chose?	B:What did the male professor say whether Helen chose?	A
B:What will the male professor remember he chose?	A:What will the male professor remember who chose?	B
B:What will the male professor remember he learned?	A:What will the male professor remember who learned?	B
A:Who did the father remember that Mary led?	B:Who did the father remember whether Mary led?	A
A:What mustn't the father say he left at home?	B:What mustn't the father say who left at home?	A
B:Who did this lady decide that Dennis watched?	A:Who did this lady decide whether Dennis watched?	B
A:What did this lady decide that Dennis drew?	B:What did this lady decide whether Dennis drew?	A
A:What won't this lady believe she drew?	B:What won't this lady believe who drew?	A
B:Who did the male player know that Peter trusted?	A:Who did the male player know whether Peter trusted?	B
A:What did the male player know that Peter finished?	B:What did the male player know whether Peter finished?	A
A:What does the male player need to find he finished?	B:What does the male player need to find who finished?	A
A:Who did the man remember that Carl followed?	B:Who did the man remember whether Carl followed?	A
B:What did the man remember that Carl taught?	A:What did the man remember whether Carl taught?	B
B:What won't the man tell us he taught?	A:What won't the man tell us who taught?	B
B:What won't the man tell us he informed about?	A:What won't the man tell us who informed about?	B
B:Who did the man see that Louis attacked?	A:Who did the man see whether Louis attacked?	B
B:Who did the princess hear that Carl followed?	A:Who did the princess hear whether Carl followed?	B
B:What did the princess hear that Carl fought?	A:What did the princess hear whether Carl fought?	B
B:What didn't the princess decide she won?	A:What didn't the princess decide who won?	B
B:Who did the male player explain that Bruce supported?	A:Who did the male player explain whether Bruce supported?	B
A:What did the male player explain that Bruce described?	B:What did the male player explain whether Bruce described?	A
B:What would the male player find out he described?	A:What would the male player find out who described?	B
A:Who did this boy hear that James saw?	B:Who did this boy hear whether James saw?	A
A:What did this boy hear that James learned?	B:What did this boy hear whether James learned?	A
B:What will this boy decide he taught his friend?	A:What will this boy decide who taught his friend?	B
A:What will this boy decide he served at the party at the table?	B:What will this boy decide who served at the party at the table?	A
A:Who did this boy know that Edward met?	B:Who did this boy know whether Edward met?	A
A:What did this boy know that Edward fought for?	B:What did this boy know whether Edward fought for?	A
A:Who did the princess say that Louis led?	B:Who did the princess say whether Louis led?	A
B:What did the princess say that Louis got?	A:What did the princess say whether Louis got?	B
A:What can't the princess tell her she got?	B:What can't the princess tell her who got?	A
A:What can't the princess tell her she trusted?	B:What can't the princess tell her who trusted?	A
A:Who did this daughter say that Steve served at the table?	B:Who did this daughter say whether Steve served at the table?	A
B:What did this female president explain that Jane understood?	A:What did this female president explain whether Jane understood?	B
A:What did this female president explain that Jane played with?	B:What did this female president explain whether Jane played with?	A
A:What did this female president decide she played with?	B:What did this female president decide who played with?	A
A:Who did this female president remember that Bobby told the secret?	B:Who did this female president remember whether Bobby told the secret?	B
B:What did this female president remember that Bobby helped to do?	A:What did this female president remember whether Bobby helped to do?	B
A:What won't this female president see she helped to finish?	B:What won't this female president see who helped to finish?	A
A:What won't this female president see she won at the game?	B:What won't this female president see who won at the game?	B
B:What can't this male doctor find out he chose?	A:What can't this male doctor find out who chose?	B
B:Who did this female professor know that Martin served at the party?	A:Who did this female professor know whether Martin served at the party?	B
B:What did this female professor know that Martin drew?	A:What did this female professor know whether Martin drew?	B
A:What won't this female professor realize she drew?	B:What won't this female professor realize who drew?	A
A:What won't this female professor realize she told her student about?	B:What won't this female professor realize who told her student about?	A
A:What did the wife know that Walter wrote?	B:What did the wife know whether Walter wrote?	A
B:What could the wife learn she wrote?	A:What could the wife learn who wrote?	B
B:What could the wife learn she taught?	A:What could the wife learn who taught?	A
A:Who did the mother write that Jason trained?	B:Who did the mother write whether Jason trained?	A
A:What did the mother write that Jason found?	B:What did the mother write whether Jason found?	A
A:Who did the female president learn that Catherine defeated?	B:Who did the female president learn whether Catherine defeated?	A
B:What did the female president learn that Catherine chose?	A:What did the female president learn whether Catherine chose?	B
A:What doesn't the female president say she chose?	B:What doesn't the female president say who chose?	A
B:What doesn't the female president say she raised?	A:What doesn't the female president say who raised?	B
B:Who did the women know that Sarah joined?	A:Who did the women know whether Sarah joined?	B
B:What may the women say she drew?	A:What may the women say who drew?	A
A:Who did this daughter explain that Jane watched?	B:Who did this daughter explain whether Jane watched?	A
A:What did this daughter explain that Jane learned?	B:What did this daughter explain whether Jane learned?	A
B:What didn't the mother say she talked to the student about?	A:What didn't the mother say who talked to the student about?	B
A:Who did the girl decide that Jane told her about?	B:Who did the girl decide whether Jane told her about?	A
A:What did the girl decide that Jane played with?	B:What did the girl decide whether Jane played with?	A
B:What can't the girl know she played with?	A:What can't the girl know who played with?	B
A:What can't the girl know she described?	B:What can't the girl know who described?	A
A:Who did the mother remember that Richard led?	B:Who did the mother remember whether Richard led?	A
A:What did the mother remember that Richard learned?	B:What did the mother remember whether Richard learned?	A
A:What can the mother find out she learned?	B:What can the mother find out who learned?	A
B:Who did this lady know that Gary taught?	A:Who did this lady know whether Gary taught?	B
B:What did this lady know that Gary drew?	A:What did this lady know whether Gary drew?	B
B:What will this lady know she drew?	A:What will this lady know who drew?	B
A:What will this lady know she described?	B:What will this lady know who described?	A
B:Who did the wife write that Alice met?	A:Who did the wife write whether Alice met?	B
