correct	incorrect	model_choice
A:Will the lady who the student won't watch throw the ball?	B:Won't the lady who the student watch will throw the ball?	A
A:Does the man who the woman didn't watch swim?	B:Didn't the man who the woman watch does swim?	A
B:Doesn't the boy who the man should love face the problem?	A:Should the boy who the man love doesn't face the problem?	B
A:Did the princess who the man could marry arrive?	B:Could the princess who the man marry did arrive?	A
A:Might the wife who the student doesn't believe rest?	B:Doesn't the wife who the student believe might rest?	A
A:Did the doctor who the team shouldn't follow stay?	B:Shouldn't the doctor who the team follow did stay?	A
B:Can the professor who the friend would help live with the parents?	A:Would the professor who the friend help can live with the parents?	B
B:Would the president who the team might attack show interest in the man?	A:Might the president who the team attack would show interest in the man?	B
A:Can't the king who the child couldn't follow hear the music?	B:Couldn't the king who the child follow can't hear the music?	A
B:Could the man who the professor couldn't teach lose the war?	A:Couldn't the man who the professor teach could lose the war?	B
A:Does the prince who the child should see run?	B:Should the prince who the child see does run?	A
B:Must the mother who the teacher couldn't ask report the news?	A:Couldn't the mother who the teacher ask must report the news?	B
A:Can't the president who the teacher should invite watch the television?	B:Should the president who the teacher invite can't watch the television?	A
B:Shouldn't the king who the soldier didn't kill put the name on the book?	A:Didn't the king who the soldier kill shouldn't put the name on the book?	B
B:Can the prince who the teacher must teach face the problem?	A:Must the prince who the teacher teach can face the problem?	B
B:Won't the girl who the student must follow run?	A:Must the girl who the student follow won't run?	B
B:Shouldn't the player who the woman does see walk?	A:Does the player who the woman see shouldn't walk?	B
A:Can the player who the soldier didn't save join the party?	B:Didn't the player who the soldier save can join the party?	A
A:Might the president who the teacher won't invite face the war?	B:Won't the president who the teacher invite might face the war?	A
B:Doesn't the player who the man may marry walk?	A:May the player who the man marry doesn't walk?	B
A:Does the king who the student can see stay?	B:Can the king who the student see does stay?	A
A:Can the father who the woman may love control the game?	B:May the father who the woman love can control the game?	A
B:Didn't the wife who the parent can't love prove the theory?	A:Can't the wife who the parent love didn't prove the theory?	B
A:May the woman who the student did follow wait?	B:Did the woman who the student follow may wait?	A
B:Does the doctor who the student did ask stand?	A:Did the doctor who the student ask does stand?	B
B:Would the boy who the police could find start the war?	A:Could the boy who the police find would start the war?	B
A:Will the father who the minister shouldn't serve swim?	B:Shouldn't the father who the minister serve will swim?	A
B:Didn't the player who the professor did teach run?	A:Did the player who the professor teach didn't run?	B
B:Won't the father who the student should meet ask the question?	A:Should the father who the student meet won't ask the question?	B
B:Would the player who the army couldn't kill lie down?	A:Couldn't the player who the army kill would lie down?	B
B:Must the man who the player did lead work?	A:Did the man who the player lead must work?	B
B:Shouldn't the lady who the man won't love throw the stone?	A:Won't the lady who the man love shouldn't throw the stone?	B
A:Did the man who the army can't kill explain the process?	B:Can't the man who the army kill did explain the process?	A
A:Did the doctor who the team shouldn't follow play the game?	B:Shouldn't the doctor who the team follow did play the game?	A
B:Didn't the professor who the council must support run?	A:Must the professor who the council support didn't run?	B
A:Must the professor who the professor does teach stay?	B:Does the professor who the professor teach must stay?	A
B:Could the daughter who the president must invite wait?	A:Must the daughter who the president invite could wait?	B
A:Can the boy who the player would hit stay?	B:Would the boy who the player hit can stay?	A
B:Must the brother who the parent does support stay?	A:Does the brother who the parent support must stay?	B
A:Could the father who the player didn't reach out to walk?	B:Didn't the father who the player reach out to could walk?	A
B:Might the girl who the officer could serve sit?	A:Could the girl who the officer serve might sit?	B
A:Would the doctor who the student couldn't join believe the truth?	B:Couldn't the doctor who the student join would believe the truth?	A
B:Would the mother who the teacher couldn't ask lie down?	A:Couldn't the mother who the teacher ask would lie down?	B
B:Would the father who the president should invite hold the meeting?	A:Should the father who the president invite would hold the meeting?	B
A:Does the boy who the officer could serve marry the woman?	B:Could the boy who the officer serve does marry the woman?	A
B:Will the princess who the army did attack travel?	A:Did the princess who the army attack will travel?	B
B:May the boy who the student can see work?	A:Can the boy who the student see may work?	B
B:Can't the father who the student doesn't join watch the television?	A:Doesn't the father who the student join can't watch the television?	B
A:Could the woman who the man will see play the song?	B:Will the woman who the man see could play the song?	A
A:Couldn't the president who the team might attack stand?	B:Might the president who the team attack couldn't stand?	A
A:Couldn't the doctor who the teacher could help leave?	B:Could the doctor who the teacher help couldn't leave?	A
B:Should the lady who the woman does love enjoy the film?	A:Does the lady who the woman love should enjoy the film?	B
B:Should the professor who the player can't hit follow the order?	A:Can't the professor who the player hit should follow the order?	B
B:Couldn't the daughter who the player must hit show support for the man?	A:Must the daughter who the player hit couldn't show support for the man?	B
A:Would the woman who the worker will serve rest?	B:Will the woman who the worker serve would rest?	A
A:Would the woman who the worker will serve join the committee?	B:Will the woman who the worker serve would join the committee?	A
A:Does the man who the teacher should help fix the car?	B:Should the man who the teacher help does fix the car?	A
B:Shouldn't the mother who the friend will tell the story to walk?	A:Will the mother who the friend tell the story to shouldn't walk?	B
B:Does the man who the teacher should help stand?	A:Should the man who the teacher help does stand?	B
B:Mustn't the player who the officer shouldn't serve invite the committee?	A:Shouldn't the player who the officer serve mustn't invite the committee?	B
A:Shouldn't the mother who the child must love follow the plan?	B:Must the mother who the child love shouldn't follow the plan?	A
B:Should the girl who the doctor mustn't save carry the child?	A:Mustn't the girl who the doctor save should carry the child?	B
A:Doesn't the brother who the friend can't tell the story to serve the community?	B:Can't the brother who the friend tell the story to doesn't serve the community?	A
B:Won't the president who the player might hit watch the game?	A:Might the president who the player hit won't watch the game?	B
B:Must the boy who the soldier doesn't kill add the information?	A:Doesn't the boy who the soldier kill must add the information?	B
A:Did the girl who the army does kill stay?	B:Does the girl who the army kill did stay?	A
B:Might the mother who the soldier may save arrive?	A:May the mother who the soldier save might arrive?	B
A:Must the lady who the father would tell the story to produce the goods?	B:Would the lady who the father tell the story to must produce the goods?	A
A:Shouldn't the man who the president can't lead live with the parents?	B:Can't the man who the president lead shouldn't live with the parents?	A
B:Must the father who the coach can teach enjoy the film?	A:Can the father who the coach teach must enjoy the film?	B
B:Can't the wife who the woman doesn't watch paint the wall?	A:Doesn't the wife who the woman watch can't paint the wall?	B
B:May the king who the teacher won't meet run?	A:Won't the king who the teacher meet may run?	B
B:Must the brother who the president could invite leave?	A:Could the brother who the president invite must leave?	B
A:Mustn't the mother who the student must watch sit?	B:Must the mother who the student watch mustn't sit?	A
B:Did the princess who the actor must marry work?	A:Must the princess who the actor marry did work?	B
A:Must the king who the student will call stand?	B:Will the king who the student call must stand?	A
A:Won't the player who the child would see earn money?	B:Would the player who the child see won't earn money?	A
B:Can't the mother who the soldier may save play the music?	A:May the mother who the soldier save can't play the music?	B
B:Can't the president who the teacher should invite stay?	A:Should the president who the teacher invite can't stay?	B
B:Doesn't the father who the man mustn't love stand?	A:Mustn't the father who the man love doesn't stand?	B
A:Must the player who the man did see enjoy the music?	B:Did the player who the man see must enjoy the music?	A
B:Did the brother who the woman could find build the house?	A:Could the brother who the woman find did build the house?	B
B:May the doctor who the student couldn't trust run?	A:Couldn't the doctor who the student trust may run?	B
B:Must the player who the man did see wait?	A:Did the player who the man see must wait?	B
A:Can the doctor who the professor won't teach rest?	B:Won't the doctor who the professor teach can rest?	A
B:Should the doctor who the player can trust arrive?	A:Can the doctor who the player trust should arrive?	B
B:Won't the princess who the group will reach out to walk?	A:Will the princess who the group reach out to won't walk?	B
A:Should the father who the teacher may save manage the project?	B:May the father who the teacher save should manage the project?	A
A:Must the president who the student can trust support the position?	B:Can the president who the student trust must support the position?	A
B:Shouldn't the prince who the worker must serve inform the people?	A:Must the prince who the worker serve shouldn't inform the people?	B
B:Should the boy who the team would reach out to stay?	A:Would the boy who the team reach out to should stay?	B
A:Might the lady who the player won't trust hit the target?	B:Won't the lady who the player trust might hit the target?	A
A:Might the woman who the teacher did save lie down?	B:Did the woman who the teacher save might lie down?	A
A:Mustn't the doctor who the doctor does understand travel?	B:Does the doctor who the doctor understand mustn't travel?	A
A:Could the doctor who the police would find perform the music?	B:Would the doctor who the police find could perform the music?	A
B:Does the girl who the doctor mustn't save stand?	A:Mustn't the girl who the doctor save does stand?	B
A:Does the player who the father can tell the story to rest?	B:Can the player who the father tell the story to does rest?	A
A:Can the doctor who the leader may lead watch the television?	B:May the doctor who the leader lead can watch the television?	A
A:Couldn't the brother who the doctor must understand share the information?	B:Must the brother who the doctor understand couldn't share the information?	A
B:Should the father who the army shouldn't kill show the result to the man?	A:Shouldn't the father who the army kill should show the result to the man?	B
A:Didn't the player who the student should trust travel?	B:Should the player who the student trust didn't travel?	A
B:Would the doctor who the student did follow throw the ball?	A:Did the doctor who the student follow would throw the ball?	B
B:Might the doctor who the teacher did understand tell the story to him?	A:Did the doctor who the teacher understand might tell the story to him?	B
A:Does the professor who the man didn't hit hear the music?	B:Didn't the professor who the man hit does hear the music?	A
B:Doesn't the doctor who the leader must invite feed the birds?	A:Must the doctor who the leader invite doesn't feed the birds?	B
B:Will the boy who the student would meet lie down?	A:Would the boy who the student meet will lie down?	B
B:Must the brother who the player would reach out to swim?	A:Would the brother who the player reach out to must swim?	B
B:Can the king who the coach doesn't teach manage the project?	A:Doesn't the king who the coach teach can manage the project?	B
A:Would the woman who the leader did lead use the machine?	B:Did the woman who the leader lead would use the machine?	A
A:Should the player who the student mustn't trust move to the house?	B:Mustn't the player who the student trust should move to the house?	A
A:Won't the boy who the student must ask sell the house?	B:Must the boy who the student ask won't sell the house?	A
B:Must the prince who the man could marry tell the story to him?	A:Could the prince who the man marry must tell the story to him?	B
A:Won't the president who the student could ask write the article?	B:Could the president who the student ask won't write the article?	A
A:Won't the woman who the soldier will kill build the model?	B:Will the woman who the soldier kill won't build the model?	A
B:Does the daughter who the group did reach out to swim?	A:Did the daughter who the group reach out to does swim?	B
B:Will the president who the boy didn't hit leave?	A:Didn't the president who the boy hit will leave?	B
B:Will the professor who the doctor couldn't save face the risk?	A:Couldn't the professor who the doctor save will face the risk?	B
A:Can the player who the teacher doesn't call travel?	B:Doesn't the player who the teacher call can travel?	A
B:May the mother who the child doesn't watch love the family?	A:Doesn't the mother who the child watch may love the family?	B
B:Would the woman who the leader did lead leave?	A:Did the woman who the leader lead would leave?	B
A:Doesn't the professor who the teacher couldn't ask sit?	B:Couldn't the professor who the teacher ask doesn't sit?	A
B:Might the president who the friend does tell the story to leave?	A:Does the president who the friend tell the story to might leave?	B
B:Will the president who the government couldn't support walk?	A:Couldn't the president who the government support will walk?	B
A:Shouldn't the woman who the doctor may help wait?	B:May the woman who the doctor help shouldn't wait?	A
A:Should the wife who the government may support report the news?	B:May the wife who the government support should report the news?	A
A:Shouldn't the daughter who the teacher mustn't meet swim?	B:Mustn't the daughter who the teacher meet shouldn't swim?	A
A:Won't the doctor who the man will love wait?	B:Will the doctor who the man love won't wait?	A
A:Will the professor who the council didn't support arrive?	B:Didn't the professor who the council support will arrive?	A
B:Doesn't the professor who the man does love help the student?	A:Does the professor who the man love doesn't help the student?	B
A:Didn't the brother who the president shouldn't meet arrive?	B:Shouldn't the brother who the president meet didn't arrive?	A
B:Can't the man who the police may call serve the government?	A:May the man who the police call can't serve the government?	B
B:Couldn't the president who the woman should find work?	A:Should the president who the woman find couldn't work?	B
A:Shouldn't the president who the member must join lie down?	B:Must the president who the member join shouldn't lie down?	A
A:Can the player who the soldier didn't save run?	B:Didn't the player who the soldier save can run?	A
A:Might the doctor who the soldier won't kill play with the ball?	B:Won't the doctor who the soldier kill might play with the ball?	A
B:Doesn't the player who the man may marry love music?	A:May the player who the man marry doesn't love music?	B
A:Will the girl who the student didn't find stand?	B:Didn't the girl who the student find will stand?	A
A:Can the professor who the boy must hit make money?	B:Must the professor who the boy hit can make money?	A
A:Does the president who the woman may marry run?	B:May the president who the woman marry does run?	A
A:Must the lady who the father won't tell the story to wait?	B:Won't the lady who the father tell the story to must wait?	A
