correct	incorrect	model_choice
A:Who should Mike tell a story to while helping Jonathan?	B:Who should Mike tell a story to Jonathan while helping?	A
A:What did Sarah throw after putting the ball at home?	B:What did Sarah throw the ball after putting at home?	A
A:Who should this boy tell the story to after hitting Richard?	B:Who should this boy tell the story to Richard after hitting?	A
A:Who should Helen ask after arresting Catherine?	B:Who should Helen ask Catherine after arresting?	A
B:Who did Ann see while attacking Kelly?	A:Who did Ann see Kelly while attacking?	B
A:What did Ann show after producing the result?	B:What did Ann show the result after producing?	A
A:Who should that father mention when telling the story to Ruth?	B:Who should that father mention Ruth when telling the story to?	A
A:What did that father talk about when studying history?	B:What did that father talk about history when studying?	A
B:Who should this president kill before meeting Andy?	A:Who should this president kill Andy before meeting?	B
B:What did this president build before developing the system?	A:What did this president build the system before developing?	B
A:Who should Peter trust after arresting Jerry?	B:Who should Peter trust Jerry after arresting?	A
B:What did Peter help to do after arresting the student?	A:What did Peter help the student to do after arresting?	A
B:What should Walter watch before killing Sarah?	A:What should Walter watch Sarah before killing?	B
B:What did Walter ask before answering the question?	A:What did Walter ask the question before answering?	B
A:Who should the doctor talk to after writing about Louis?	B:Who should the doctor talk to Louis after writing about?	A
A:What did the doctor hear after writing the music?	B:What did the doctor hear the music after writing?	A
A:Who should Jason ask after leaving Catherine at home?	B:Who should Jason ask Catherine after leaving at home?	A
B:Who should Louis call after sending Jonathan the letter?	A:Who should Louis call Jonathan after sending the letter?	B
A:Who should Victoria meet while sharing the food with Jason?	B:Who should Victoria meet Jason while sharing the food with?	A
B:Who did Victoria like while sharing the food with the children?	A:Who did Victoria like the children while sharing the food with?	B
A:Who should this professor support while choosing Victor?	B:Who should this professor support Victor while choosing?	A
A:What did the girl throw when she decided not to throw the ball?	B:What did the girl throw the ball when she decided not to throw?	A
B:What did this doctor enjoy while performing the music?	A:What did this doctor enjoy the music while performing?	B
A:What did the brother take after drawing the picture?	B:What did the brother take the picture after drawing?	A
B:Who should Bill understand before marrying Catherine?	A:Who should Bill understand Catherine before marrying?	B
A:Who should Anthony follow when protecting Adam?	B:Who should Anthony follow Adam when protecting?	A
B:Who should Richard meet after informing Alice?	A:Who should Richard meet Alice after informing?	B
B:What did Richard serve after informing the government?	A:What did Richard serve the government after informing?	B
A:Who should this father teach after telling a story to Tony?	B:Who should this father teach Tony after telling a story to?	A
B:What did this father hear after enjoying the music?	A:What did this father hear the music after enjoying?	B
A:Who should Catherine serve when marrying Peter?	B:Who should Catherine serve Peter when marrying?	A
A:What did Mary attack when saving the enemy?	B:What did Mary attack the enemy when saving?	A
B:What did that daughter paint without creating the wall?	A:What did that daughter paint the wall without creating?	B
A:Who should Jerry help when explaining the rules to Tony?	B:Who should Jerry help Tony when explaining the rules to?	A
A:What did Jerry report when explaining the crime?	B:What did Jerry report the crime when explaining?	A
B:Who should Elizabeth teach before attacking Tony?	A:Who should Elizabeth teach Tony before attacking?	B
A:What did Elizabeth bring before attacking the people?	B:What did Elizabeth bring the people before attacking?	A
A:Who should that player call when writing to Fred?	B:Who should that player call Fred when writing to?	A
A:Who did that player play with when writing to the team?	B:Who did that player play with the team when writing to?	A
B:Who should Louis lead while informing Elizabeth?	A:Who should Louis lead Elizabeth while informing?	B
A:What did Louis see while explaining the film?	B:What did Louis see the film while explaining?	A
B:Who should Louis support when writing to Peter?	A:Who should Louis support Peter when writing to?	B
B:What did Louis start when writing the project?	A:What did Louis start the project when writing?	B
A:Who should the player defeat when fighting with Martin?	B:Who should the player defeat Martin when fighting with?	A
A:What did the player report when committing the crime?	B:What did the player report the crime when committing?	A
A:Who should Sarah meet without teaching Anna?	B:Who should Sarah meet Anna without teaching?	A
A:What did Sarah carry without teaching the arms?	B:What did Sarah carry the arms without teaching?	B
B:Who should that professor defeat before loving Jason?	A:Who should that professor defeat Jason before loving?	B
B:What did that professor make before loving the plan?	A:What did that professor make the plan before loving?	B
B:Who should that brother follow while explaining to Scott?	A:Who should that brother follow Scott while explaining to?	B
B:What did that brother report while explaining the crime?	A:What did that brother report the crime while explaining?	B
B:Who should Roger call after putting Charles at home?	A:Who should Roger call Charles after putting at home?	B
B:Who did Roger support after putting the team in trouble?	A:Who did Roger support the team after putting in trouble?	B
B:Who should Bill serve before helping Scott?	A:Who should Bill serve Scott before helping?	B
A:What did Bill understand before telling the story?	B:What did Bill understand the story before telling?	A
A:Who should Jason follow when facing Charles?	B:Who should Jason follow Charles when facing?	A
B:What did Jason serve when facing the community?	A:What did Jason serve the community when facing?	B
A:Who should Walter save before helping Helen?	B:Who should Walter save Helen before helping?	A
A:What did Walter learn before reading history?	B:What did Walter learn history before reading?	A
A:Who should Bill visit without taking Ted?	B:Who should Bill visit Ted without taking?	A
B:Who should Michael watch while understanding Martin?	A:Who should Michael watch Martin while understanding?	B
A:Who should Bobby meet when helping Walter?	B:Who should Bobby meet Walter when helping?	A
A:Who should the princess tell the story while saving Ruth?	B:Who should the princess tell Ruth the story while saving?	B
B:Who should that mother love after telling Ann the news?	A:Who should that mother love Ann after telling the news?	B
A:Who should the professor meet before following Peter?	B:Who should the professor meet Peter before following?	A
A:Who should that father ask without telling Richard the news?	B:Who should that father ask Richard without telling the news?	A
A:Who should this prince teach before loving Elizabeth?	B:Who should this prince teach Elizabeth before loving?	A
B:Who should the player love after understanding Richard?	A:Who should the player love Richard after understanding?	B
A:What did Richard send when reporting the news?	B:What did Richard send the news when reporting?	A
A:What did Ann serve without supporting the community?	B:What did Ann serve the community without supporting?	A
B:Who should Patrick train without meeting Victoria?	A:Who should Patrick train Victoria without meeting?	B
B:What did Patrick send without reading the message?	A:What did Patrick send the message without reading?	B
A:Who should the president support before leaving Mary?	B:Who should the president support Mary before leaving?	A
A:What did the president teach before retiring from the course?	B:What did the president teach the course before retiring from?	B
B:Who should this player serve without explaining to Elizabeth?	A:Who should this player serve Elizabeth without explaining to?	B
B:What did that princess read before finding the news?	A:What did that princess read the news before finding?	B
A:What did that princess keep without using the car?	B:What did that princess keep the car without using?	A
A:Who did Alice invite after seeing her friend?	B:Who did Alice invite her friend after seeing?	A
B:Who should Joe help after calling Jason?	A:Who should Joe help Jason after calling?	B
B:What did Catherine hit when describing the target?	A:What did Catherine hit the target when describing?	B
B:Who should this princess love without supporting Walter?	A:Who should this princess love Walter without supporting?	B
B:Who should Brian invite when trusting Peter?	A:Who should Brian invite Peter when trusting?	B
B:What did Walter love before enjoying the family?	A:What did Walter love the family before enjoying?	B
A:Who should Henry join after watching Fred for a while?	B:Who should Henry join Fred after watching for a while?	A
A:Who should Scott see without reaching Jane?	B:Who should Scott see Jane without reaching?	A
B:Who should that lady invite before seeing Pierre?	A:Who should that lady invite Pierre before seeing?	B
B:What did that lady manage before seeing the team?	A:What did that lady manage the team before seeing?	B
B:Who should the daughter marry after reporting Henry?	A:Who should the daughter marry Henry after reporting?	B
B:What did that princess describe without performing the task?	A:What did that princess describe the task without performing?	B
B:Who should Maria defeat when playing with Scott?	A:Who should Maria defeat Scott when playing with?	B
B:Who should Victoria help after facing Scott?	A:Who should Victoria help Scott after facing?	B
B:Who should Roger visit before loving Bill?	A:Who should Roger visit Bill before loving?	B
A:What did Kelly start without controlling the war?	B:What did Kelly start the war without controlling?	B
B:What did the teacher read after grading the book?	A:What did the teacher read the book after grading?	B
B:Who should Bobby follow before asking about Andy?	A:Who should Bobby follow Andy before asking about?	B
B:Who did Bobby play with before asking about the team?	A:Who did Bobby play with the team before asking about?	B
B:Who should the player join after protecting Alice?	A:Who should the player join Alice after protecting?	B
B:What did the player attack after protecting the enemy?	A:What did the player attack the enemy after protecting?	B
B:Who should Jason lead when carrying Jane?	A:Who should Jason lead Jane when carrying?	B
A:Who should Jane support before finding Tom?	B:Who should Jane support Tom before finding?	A
A:Who should Bill tell the story after saving Sarah?	B:Who should Bill tell Sarah the story after saving?	A
B:Who should Roger meet after giving Kelly the money?	A:Who should Roger meet Kelly after giving the money?	B
B:What did Roger hit after giving him the ball?	A:What did Roger hit the ball after giving him?	B
B:Who should the father marry before telling the secret to Alice?	A:Who should the father marry Alice before telling the secret to?	B
B:Who should Richard watch when choosing Bill?	A:Who should Richard watch Bill when choosing?	B
A:What did Richard teach when choosing the course?	B:What did Richard teach the course when choosing?	A
B:Who should Matt invite without drawing a picture of Walter?	A:Who should Matt invite Walter without drawing a picture of?	B
B:Who should Patrick beat without following Jonathan?	A:Who should Patrick beat Jonathan without following?	B
A:What did Patrick understand without following the story?	B:What did Patrick understand the story without following?	A
B:Who should Elizabeth lead while sitting with Patrick?	A:Who should Elizabeth lead Patrick while sitting with?	B
A:What did Elizabeth write while holding the book?	B:What did Elizabeth write the book while holding?	A
B:Who should that lady trust after proving Tom correct?	A:Who should that lady trust Tom after proving correct?	B
A:What did that lady add after proving the record correct?	B:What did that lady add the record after proving correct?	A
A:What did Catherine feed after following the birds?	B:What did Catherine feed the birds after following?	A
B:Who should this woman help after trusting Mike?	A:Who should this woman help Mike after trusting?	B
B:Who should that professor teach after trusting Anna?	A:Who should that professor teach Anna after trusting?	B
A:What did Maria explain before facing the problem?	B:What did Maria explain the problem before facing?	A
B:Who should Andy visit while protecting Ruth?	A:Who should Andy visit Ruth while protecting?	B
A:What did Andy create while protecting the program?	B:What did Andy create the program while protecting?	A
A:Who should this player call after understanding Jonathan?	B:Who should this player call Jonathan after understanding?	A
B:Who should Carl follow while asking about Joe?	A:Who should Carl follow Joe while asking about?	B
B:What did Carl fix while asking about the car?	A:What did Carl fix the car while asking about?	B
A:What did this father close after opening the door?	B:What did this father close the door after opening?	A
A:What did Anna keep when talking about the letter?	B:What did Anna keep the letter when talking about?	A
B:Who should Joe join before reaching Ted?	A:Who should Joe join Ted before reaching?	B
B:Who should Patrick find without following Peter?	A:Who should Patrick find Peter without following?	B
A:What should the girl believe when giving up the idea?	B:What should the girl believe the idea when giving up?	A
B:What did that doctor reach when describing the agreement?	A:What did that doctor reach the agreement when describing?	B
A:Who should Ted trust while bringing Anna?	B:Who should Ted trust Anna while bringing?	A
A:Who should that president help without talking to Kelly?	B:Who should that president help Kelly without talking to?	A
A:Who did that president attack after talking to the enemy?	B:Who did that president attack the enemy after talking to?	A
A:What did Victor serve after helping the community?	B:What did Victor serve the community after helping?	A
B:Who should Adam attack while drawing a picture of Brian?	A:Who should Adam attack Brian while drawing a picture of?	B
A:Who should Ruth teach without helping Catherine?	B:Who should Ruth teach Catherine without helping?	A
A:Who should the brother find without looking for Maria?	B:Who should the brother find Maria without looking for?	A
B:What did the brother read after finding the book?	A:What did the brother read the book after finding?	B
B:Who should Jerry meet before joining Jane?	A:Who should Jerry meet Jane before joining?	B
A:What did Jerry fight against before joining the enemy?	B:What did Jerry fight against the enemy before joining?	A
B:Who should Patrick teach after sending Anthony a letter?	A:Who should Patrick teach Anthony after sending a letter?	B
A:Who should that wife ask while catching Helen?	B:Who should that wife ask Helen while catching?	A
A:What did Patrick open after sending the letter to someone?	B:What did Patrick open the letter after sending to someone?	A
B:What did Jonathan start after starting the program on time?	A:What did Jonathan start the program after starting on time?	B
A:Who should that wife ask while catching up with Helen?	B:Who should that wife ask Helen while catching up with?	A
B:What did the wife support when caring for the family?	A:What did the wife support the family when caring for?	B
B:Who should Victor invite while telling about Kelly?	A:Who should Victor invite Kelly while telling about?	B
A:What did Fred describe before choosing from the picture?	B:What did Fred describe the picture before choosing from?	A
B:What did Pierre reach without talking about the goal?	A:What did Pierre reach the goal without talking about?	B
A:Who should that professor defeat when trusting Victor?	B:Who should that professor defeat Victor when trusting?	A
B:What did Anna report after creating the news?	A:What did Anna report the news after creating?	B
B:Who should Tom support without telling the story to Pierre?	A:Who should Tom support Pierre without telling the story to?	B
