correct	incorrect	model_choice
A:Who did the customer who talked to that man love?	B:Who did the customer who talked to love that man?	A
B:Who did the customer who loved that man talk to?	A:Who did the customer who loved talk to that man?	B
A:What did this male professor who understood the rule follow?	B:What did this male professor who understood follow the rule?	A
B:What did this male professor who protected the rule understand?	A:What did this male professor who protected understand the rule?	B
A:Who did the writer who trusted that teacher call?	B:Who did the writer who trusted call that teacher?	A
A:Who did the writer who called that teacher trust?	B:Who did the writer who called trust that teacher?	A
B:Who did this male professor who contacted this child see?	A:Who did this male professor who contacted see this child?	B
A:Who did this male professor who saw this child contact?	B:Who did this male professor who saw contact this child?	A
A:Who did the visitor who defeated Mike beat?	B:Who did the visitor who defeated beat Mike?	A
B:Who did that prince who beat Alice defeat?	A:Who did that prince who beat defeat Alice?	B
A:Who did the student who trusted Robert visit?	B:Who did the student who trusted visit Robert?	A
A:Who did this daughter who beat that president talk to?	B:Who did this daughter who beat talk to that president?	A
A:Who did this daughter who talked to that president beat?	B:Who did this daughter who talked to beat that president?	A
B:Who did this male president who believed the teacher hide?	A:Who did this male president who believed hide the teacher?	B
A:Who did this male president who hid the teacher believe?	B:Who did this male president who hid believe the teacher?	B
A:Who did the judge who saw this minister contact?	B:Who did the judge who saw contact this minister?	A
B:Who did the judge who contacted this minister see?	A:Who did the judge who contacted see this minister?	B
A:Who did the doctor who talked to Alexander beat?	B:Who did the doctor who talked to beat Alexander?	A
A:Who did the doctor who beat Alexander talk to?	B:Who did the doctor who beat talk to Alexander?	A
A:Who did that female president who met this parent support?	B:Who did that female president who met support this parent?	A
A:Who did that female president who supported this parent meet?	B:Who did that female president who supported meet this parent?	A
B:Who did that daughter who believed the police call?	A:Who did that daughter who believed call the police?	B
B:Who did that daughter who called the police believe?	A:Who did that daughter who called believe the police?	B
A:Who did the professor who found this student talk to?	B:Who did the professor who found talk to this student?	A
B:Who did the professor who talked to this student find?	A:Who did the professor who talked to find this student?	B
A:Who did the judge who beat that teacher select?	B:Who did the judge who beat select that teacher?	A
B:Who did the judge who selected that teacher beat?	A:Who did the judge who selected beat that teacher?	B
A:Who did the driver who beat this doctor save?	B:Who did the driver who beat save this doctor?	A
B:Who did the driver who saved this doctor beat?	A:Who did the driver who saved beat this doctor?	B
A:Who did his wife who trusted Henry defeat?	B:Who did his wife who trusted defeat Henry?	B
B:Who did his wife who defeated Henry trust?	A:Who did his wife who defeated trust Henry?	B
A:Who did the coach who visited this leader talk to?	B:Who did the coach who visited talk to this leader?	A
B:Who did the coach who talked to this leader visit?	A:Who did the coach who talked to visit this leader?	B
A:Who did the girl who visited that team attack?	B:Who did the girl who visited attack that team?	A
B:Who did the girl who attacked that team visit?	A:Who did the girl who attacked visit that team?	B
A:Who did the driver who saved Mary visit?	B:Who did the driver who saved visit Mary?	A
A:Who did the driver who visited Mary save?	B:Who did the driver who visited save Mary?	A
B:Who did the professor who met William recognize?	A:Who did the professor who met recognize William?	B
A:Who did the professor who recognized William meet?	B:Who did the professor who recognized meet William?	A
B:Who did the soldier who contacted that government defeat?	A:Who did the soldier who contacted defeat that government?	B
B:Who did the soldier who defeated that government contact?	A:Who did the soldier who defeated contact that government?	B
A:Who did that male doctor who kicked the woman believe?	B:Who did that male doctor who kicked believe the woman?	A
B:Who did that male doctor who believed the woman marry?	A:Who did that male doctor who believed marry the woman?	B
B:Who did the teacher who defeated that coach select?	A:Who did the teacher who defeated select that coach?	B
A:Who did the teacher who selected that coach defeat?	B:Who did the teacher who selected defeat that coach?	A
B:Who did the assistant who kicked the student believe?	A:Who did the assistant who kicked believe the student?	B
B:Who did the assistant who believed the student marry?	A:Who did the assistant who believed marry the student?	B
A:Who did the writer who met Victor trust?	B:Who did the writer who met trust Victor?	A
B:Who did the writer who trusted Victor meet?	A:Who did the writer who trusted meet Victor?	B
B:Who did the director who loved her parent support?	A:Who did the director who loved support her parent?	B
A:Who did the director who supported her parent love?	B:Who did the director who supported love her parent?	A
B:Who did that girl who called Jane defeat?	A:Who did that girl who called defeat Jane?	B
B:Who did that girl who defeated Jane call?	A:Who did that girl who defeated call Jane?	B
A:Who did the farmer who selected that student trust?	B:Who did the farmer who selected trust that student?	A
B:Who did the farmer who trusted that student select?	A:Who did the farmer who trusted select that student?	B
B:Who did the soldier who injured the police officer find?	A:Who did the soldier who injured find the police officer?	B
B:Who did the soldier who found the police officer injure?	A:Who did the soldier who found injure the police officer?	B
A:Who did the judge who visited the teacher select?	B:Who did the judge who visited select the teacher?	A
A:Who did the judge who selected the teacher visit?	B:Who did the judge who selected visit the teacher?	A
B:Who did the judge who visited the student follow?	A:Who did the judge who visited follow the student?	B
A:Who did the judge who protected the student visit?	B:Who did the judge who protected visit the student?	A
B:Who did this daughter who called that friend select?	A:Who did this daughter who called select that friend?	B
A:Who did this daughter who selected that friend call?	B:Who did this daughter who selected call that friend?	A
B:Who did the female president who trusted the child injure?	A:Who did the female president who trusted injure the child?	B
A:Who did the female president who injured the child trust?	B:Who did the female president who injured trust the child?	A
B:What did the president who works for that government support?	A:What did the president who works for support that government?	B
B:What did the president who supported that government work for?	A:What did the president who supported work for that government?	B
B:Who did the manager who invited this doctor save?	A:Who did the manager who invited save this doctor?	B
A:Who did the manager who saved this doctor invite?	B:Who did the manager who saved invite this doctor?	A
B:Who did the soldier who visited that man hit?	A:Who did the soldier who visited hit that man?	B
B:Who did the soldier who hit that man visit?	A:Who did the soldier who hit visit that man?	B
B:Who did that king who visited this friend select?	A:Who did that king who visited select this friend?	B
A:Who did the doctor who invited the teacher select?	B:Who did the doctor who invited select the teacher?	A
B:Who did the doctor who selected the teacher invite?	A:Who did the doctor who selected invite the teacher?	B
B:Who did the soldier who visited this team talk to?	A:Who did the soldier who visited talk to this team?	B
B:Who did the soldier who talked to this team visit?	A:Who did the soldier who talked to visit this team?	B
A:Who did the manager who contacted Mary visit?	B:Who did the manager who contacted visit Mary?	A
B:Who did the manager who visited Mary contact?	A:Who did the manager who visited contact Mary?	B
B:Who did the professor who recognized this actor marry?	A:Who did the professor who recognized marry this actor?	B
B:Who did the professor who kicked this actor recognize?	A:Who did the professor who kicked recognize this actor?	B
A:Who did the president who found this professor select?	B:Who did the president who found select this professor?	A
B:Who did the president who selected this professor find?	A:Who did the president who selected find this professor?	B
A:Who did the student who saw the friend support?	B:Who did the student who saw support the friend?	A
A:Who did the student who supported the friend see?	B:Who did the student who supported see the friend?	A
B:Who did the director who talked to Nick recognize?	A:Who did the director who talked to recognize Nick?	B
A:Who did the director who recognized Nick talk to?	B:Who did the director who recognized talk to Nick?	A
B:Who did the teacher who hit this student call?	A:Who did the teacher who hit call this student?	B
B:Who did the teacher who called this student hit?	A:Who did the teacher who called hit this student?	B
B:Who did the soldier who saved Bobby beat?	A:Who did the soldier who saved beat Bobby?	B
A:Who did the soldier who beat Bobby save?	B:Who did the soldier who beat save Bobby?	A
B:Who did that mother who watched this soldier attack?	A:Who did that mother who watched attack this soldier?	B
B:Who did that mother who attacked this soldier watch?	A:Who did that mother who attacked watch this soldier?	B
B:Who did the singer who trusted his parent love?	A:Who did the singer who trusted love his parent?	B
A:Who did the singer who loved his parent trust?	B:Who did the singer who loved trust his parent?	A
A:Who did the manager who defeated Carl beat?	B:Who did the manager who defeated beat Carl?	A
B:Who did the manager who beat Carl defeat?	A:Who did the manager who beat defeat Carl?	B
B:What did the worker who supported the army work for?	A:What did the worker who supported work for the army?	B
B:What did the worker who worked for the army support?	A:What did the worker who worked for support the army?	B
B:Who did the teacher who talked to the player trust?	A:Who did the teacher who talked to trust the player?	B
B:Who did the teacher who trusted the player talk to?	A:Who did the teacher who trusted talk to the player?	B
A:Who did the singer who loved this team follow?	B:Who did the singer who loved follow this team?	A
B:Who did the singer who protected this team love?	A:Who did the singer who protected love this team?	B
B:Who did that woman who visited that student call?	A:Who did that woman who visited call that student?	B
B:Who did that woman who called that student visit?	A:Who did that woman who called visit that student?	B
A:Who did the judge who saved the student hide?	B:Who did the judge who saved hide the student?	A
B:Who did the judge who hid the student save?	A:Who did the judge who hid save the student?	B
B:Who did the female player who selected Tom trust?	A:Who did the female player who selected trust Tom?	B
A:Who did the female player who trusted Tom select?	B:Who did the female player who trusted select Tom?	A
B:Who did that female president who found Sarah trust?	A:Who did that female president who found trust Sarah?	B
A:Who did that female president who trusted Sarah find?	B:Who did that female president who trusted find Sarah?	A
B:Who did the assistant who talked to Adam defeat?	A:Who did the assistant who talked to defeat Adam?	B
B:Who did the assistant who defeated Adam talk to?	A:Who did the assistant who defeated talk to Adam?	B
A:Who did the teacher who selected the student talk to?	B:Who did the teacher who selected talk to the student?	A
B:Who did the teacher who talked to the student select?	A:Who did the teacher who talked to select the student?	B
A:Who did the farmer who invited his parent support?	B:Who did the farmer who invited support his parent?	A
A:Who did the farmer who supported his parent invite?	B:Who did the farmer who supported invite his parent?	A
B:Who did the lawyer who kicked this man hit?	A:Who did the lawyer who kicked hit this man?	B
A:Who did the lawyer who hit this man marry?	B:Who did the lawyer who hit marry this man?	A
A:Who did the visitor who called the child follow?	B:Who did the visitor who called follow the child?	A
B:Who did the visitor who protected the child call?	A:Who did the visitor who protected call the child?	B
A:Who did the officer who attacked the child injure?	B:Who did the officer who attacked injure the child?	A
B:Who did the officer who injured the child attack?	A:Who did the officer who injured attack the child?	B
B:Who did the customer who kicked the friend select?	A:Who did the customer who kicked select the friend?	B
A:Who did the customer who selected the friend marry?	B:Who did the customer who selected marry the friend?	A
A:Who did the student who hit this doctor hide?	B:Who did the student who hit hide this doctor?	A
A:Who did the student who hid this doctor hit?	B:Who did the student who hid hit this doctor?	A
B:Who did the visitor who saved the man love?	A:Who did the visitor who saved love the man?	B
B:Who did the visitor who loved the man save?	A:Who did the visitor who loved save the man?	B
A:Who did the lawyer who defeated that coach select?	B:Who did the lawyer who defeated select that coach?	A
A:Who did the lawyer who selected that coach defeat?	B:Who did the lawyer who selected defeat that coach?	A
B:Who did these women who found the man marry?	A:Who did these women who found marry the man?	B
B:Who did these women who kicked the man find?	A:Who did these women who kicked find the man?	B
A:Who did the artist who believed Michael visit?	B:Who did the artist who believed visit Michael?	B
B:Who did the artist who visited Michael believe?	A:Who did the artist who visited believe Michael?	B
B:Who did the writer who selected the friend call?	A:Who did the writer who selected call the friend?	B
B:Who did the writer who called the friend select?	A:Who did the writer who called select the friend?	B
B:Who did the president who kicked the soldier save?	A:Who did the president who kicked save the soldier?	B
A:Who did the president who saved the soldier marry?	B:Who did the president who saved marry the soldier?	A
B:Who did the visitor who understood Ruth defeat?	A:Who did the visitor who understood defeat Ruth?	B
A:Who did the visitor who defeated Ruth understand?	B:Who did the visitor who defeated understand Ruth?	A
A:Who did the father who beat that student believe in?	B:Who did the father who beat believe in that student?	A
A:Who did the father who believed in that student beat?	B:Who did the father who believed in beat that student?	A
B:Who did the lawyer who kicked the student see?	A:Who did the lawyer who kicked see the student?	B
B:Who did the lawyer who saw the student marry?	A:Who did the lawyer who saw marry the student?	B
B:Who did the lawyer who invited Robert recognize?	A:Who did the lawyer who invited recognize Robert?	B
A:Who did the lawyer who recognized Robert invite?	B:Who did the lawyer who recognized invite Robert?	B
B:Who did the student who recognized that teacher select?	A:Who did the student who recognized select that teacher?	B
A:Who did the student who selected that teacher recognize?	B:Who did the student who selected recognize that teacher?	A
A:Who did the musician who trusted that player talk to?	B:Who did the musician who trusted talk to that player?	A
A:Who did the musician who talked to that player trust?	B:Who did the musician who talked to trust that player?	A
A:Who did the female player who loved the student see?	B:Who did the female player who loved see the student?	A
B:Who did the female player who saw the student love?	A:Who did the female player who saw love the student?	B
A:Who did this king who called this parent select?	B:Who did this king who called select this parent?	B
B:Who did this king who selected this parent call?	A:Who did this king who selected call this parent?	B
A:Who did that female professor who understood that minister contact?	B:Who did that female professor who understood contact that minister?	A
A:Who did that female professor who contacted that minister understand?	B:Who did that female professor who contacted understand that minister?	B
A:Who did the assistant who invited that teacher hide?	B:Who did the assistant who invited hide that teacher?	A
A:Who did the assistant who hid that teacher invite?	B:Who did the assistant who hid invite that teacher?	B
B:Who did the man who found Anna beat?	A:Who did the man who found beat Anna?	B
B:Who did the man who beat Anna find?	A:Who did the man who beat find Anna?	B
A:Who did the professor who found this friend trust?	B:Who did the professor who found trust this friend?	A
A:Who did the professor who trusted this friend find?	B:Who did the professor who trusted find this friend?	A
A:Who did the male doctor who loved this student trust?	B:Who did the male doctor who loved trust this student?	A
B:Who did the male doctor who trusted this student love?	A:Who did the male doctor who trusted love this student?	B
B:Who did the teacher who understood Sarah trust?	A:Who did the teacher who understood trust Sarah?	B
A:Who did the teacher who trusted Sarah understand?	B:Who did the teacher who trusted understand Sarah?	A
A:Who did the musician who killed this doctor select?	B:Who did the musician who killed select this doctor?	A
B:Who did the musician who selected this doctor kill?	A:Who did the musician who selected kill this doctor?	B
B:Who did the manager who recognized this student talk to?	A:Who did the manager who recognized talk to this student?	B
B:Who did the manager who talked to this student recognize?	A:Who did the manager who talked to recognize this student?	B
B:Who did that man who protected that woman marry?	A:Who did that man who protected marry that woman?	B
A:Who did that man who kicked that woman follow?	B:Who did that man who kicked follow that woman?	A
B:Who did the manager who injured Gary beat?	A:Who did the manager who injured beat Gary?	B
B:Who did the manager who beat Gary injure?	A:Who did the manager who beat injure Gary?	B
A:Who did the student who contacted this woman believe?	B:Who did the student who contacted believe this woman?	A
A:Who did the student who believed this woman contact?	B:Who did the student who believed contact this woman?	A
A:Who did the assistant who selected that student believe?	B:Who did the assistant who selected believe that student?	A
B:Who did the assistant who believed that student select?	A:Who did the assistant who believed select that student?	B
A:Who did the musician who believed the woman see?	B:Who did the musician who believed see the woman?	A
B:Who did the musician who saw the woman believe?	A:Who did the musician who saw believe the woman?	B
B:Who did the driver who loved that man find?	A:Who did the driver who loved find that man?	B
B:Who did the driver who found that man love?	A:Who did the driver who found love that man?	B
B:Who did the female professor who selected this teacher recognize?	A:Who did the female professor who recognized select this teacher?	B
A:Who did the female professor who recognized this teacher select?	B:Who did the female professor who selected recognize this teacher?	A
A:Who did the manager who trusted that student hide?	B:Who did the manager who trusted hide that student?	A
A:Who did the manager who hid that student trust?	B:Who did the manager who hid trust that student?	A
A:Who did that man who injured the team member talk to?	B:Who did that man who injured talk to the team member?	A
A:Who did that man who talked to the team member injure?	B:Who did that man who talked to injure the team member?	A
A:Who did that man who defeated the doctor save?	B:Who did that man who defeated save the doctor?	A
A:Who did that man who saved the doctor defeat?	B:Who did that man who saved defeat the doctor?	A
B:Who did the player who hid that friend select?	A:Who did the player who hid select that friend?	B
A:Who did the player who selected that friend hide?	B:Who did the player who selected hide that friend?	A
