correct	incorrect	model_choice
B:Why would Maria wanna go?	A:Who would Maria wanna go?	B
A:Where does the same student wanna watch the video?	B:Who does the same student wanna watch the video?	A
B:Why did the famous president wanna lead the group?	A:Who did the famous president wanna lead the group?	B
B:Why does Ross wanna arrive early?	A:Who does Ross wanna arrive early?	B
B:Why did Maria wanna perform the music?	A:Who did Maria wanna perform the music?	B
A:When would the French teacher wanna believe the news?	B:Who would the French teacher wanna believe the news?	A
A:Why does Maria wanna rest?	B:Who does Maria wanna rest?	A
A:Why would James wanna swim?	B:Who would James wanna swim?	A
A:Where did the professional man wanna see the film?	B:Who did the professional man wanna see the film?	A
B:When does the special leader wanna lead the group?	A:Who does the special leader wanna lead the group?	B
A:Where did Joe wanna swim?	B:Who did Joe wanna swim?	A
A:Where did John wanna rest?	B:Who did John wanna rest?	A
A:Where will Ross wanna travel?	B:Who will Ross wanna travel?	A
A:Why would the famous friend wanna trust the friend?	B:Who would the famous friend wanna trust the friend?	A
A:Where did Dennis wanna rest?	B:Who did Dennis wanna rest?	A
B:Why did the young doctor wanna save money?	A:Who did the young doctor wanna save money?	B
B:When will the happy officer wanna serve the community?	A:Who will the happy officer wanna serve the community?	B
B:Where will Oliver wanna walk the dog?	A:Who will Oliver wanna walk the dog?	B
B:When will the poor woman wanna find the way?	A:Who will the poor woman wanna find the way?	B
A:Where did Kelly wanna wait?	B:Who did Kelly wanna wait?	A
A:How does Michael wanna travel?	B:Who does Michael wanna travel?	A
A:Where will Dan wanna perform the music?	B:Who will Dan wanna perform the music?	A
A:When did the professional player wanna reach out to the man?	B:Who did the professional player wanna reach out to the man?	A
A:Where did Alice wanna travel?	B:Who did Alice wanna travel?	A
A:Where will Ross wanna wait?	B:Who will Ross wanna wait?	A
A:Where would Andy wanna leave the gift at home?	B:What would Andy wanna leave the gift at home?	A
A:Where would Alexander wanna rest?	B:Who would Alexander wanna rest?	A
B:Where will the happy parent wanna help the child?	A:Who will the happy parent wanna help the child?	B
A:When would Brian wanna go?	B:Who would Brian wanna go?	A
A:When would the active team wanna attack the city?	B:Who would the active team wanna attack the city?	A
B:When will the Australian student wanna trust the assistant?	A:Who will the Australian student wanna trust the assistant?	B
A:Why did the rich parent wanna help the student?	B:Who did the rich parent wanna help the student?	A
B:Why did Philip wanna go?	A:Who did Philip wanna go?	B
B:When will the young man wanna love the family?	A:Who will the young man wanna love the family?	B
B:When will the special minister wanna lead the group?	A:Who will the special minister wanna lead the group?	B
B:When would the friendly soldier wanna serve the community?	A:Who would the friendly soldier wanna serve the community?	B
A:Why does Andy wanna perform the music?	B:Who does Andy wanna perform the music?	A
A:When would the friendly soldier wanna serve the government?	B:Who would the friendly soldier wanna serve the government?	A
B:How would Helen wanna arrive?	A:Who would Helen wanna arrive?	B
B:How would Oliver wanna rest?	A:Who would Oliver wanna rest?	B
A:Why does Tony wanna run the team?	B:Who does Tony wanna run the team?	A
A:Where will the young father wanna tell him the story?	B:Who will the young father wanna tell him the story?	B
B:Why would Philip wanna travel?	A:Who would Philip wanna travel?	B
A:Where will the Indian army wanna attack the enemy?	B:Who will the Indian army wanna attack the enemy?	A
B:When did the poor soldier wanna save money?	A:Who did the poor soldier wanna save money?	B
A:Why does Gary wanna swim?	B:Who does Gary wanna swim?	A
A:When will the important leader wanna invite the friend?	B:Who will the important leader wanna invite the friend?	A
B:When will the modern player wanna follow the plan?	A:Who will the modern player wanna follow the plan?	B
A:When would the modern teacher wanna save energy?	B:Who would the modern teacher wanna save energy?	A
B:Where will the Indian teacher wanna tell him the story?	A:Who will the Indian teacher wanna tell him the story?	B
B:When will the important teacher wanna tell him the truth?	A:Who will the important teacher wanna tell him the truth?	B
B:When does the Australian member wanna join the party?	A:Who does the Australian member wanna join the party?	B
B:Where does the Canadian leader wanna meet the committee?	A:Who does the Canadian leader wanna meet the committee?	B
B:When does the little man wanna love the family?	A:Who does the little man wanna love the family?	B
A:When will the player wanna join the team?	B:Who will the player wanna join the team?	A
A:Where did the responsible officer wanna serve the nation?	B:Who did the responsible officer wanna serve the nation?	A
A:Why did Bill wanna work on the project?	B:Who did Bill wanna work on the project?	A
B:Why would the professional teacher wanna help the student?	A:Who would the professional teacher wanna help the student?	B
B:Why did the rich player wanna join the team?	A:Who did the rich player wanna join the team?	B
B:Where does the poor woman wanna watch the video?	A:Who does the poor woman wanna watch the video?	B
A:How will Roger wanna arrive?	B:Who will Roger wanna arrive?	A
B:Why did the famous man wanna see the doctor?	A:Who did the famous man wanna see the doctor?	B
A:Why does Mary wanna leave the gift at home?	B:What does Mary wanna leave the gift at home?	A
B:Why would Bill wanna leave the gift at home?	A:What would Bill wanna leave the gift at home?	B
A:How would Brian wanna arrive?	B:Who would Brian wanna arrive?	A
A:Where did Catherine wanna stay?	B:Who did Catherine wanna stay?	A
A:Why would Dennis wanna stay?	B:Who would Dennis wanna stay?	A
A:Why will the old worker wanna serve the government?	B:Who will the old worker wanna serve the government?	A
B:How did Edward wanna travel?	A:Who did Edward wanna travel?	B
A:Where will Anna wanna lie down?	B:Who will Anna wanna lie down?	A
B:Why will the old president wanna lead the group?	A:Who will the old president wanna lead the group?	B
B:How does Robert wanna perform the music?	A:Who does Robert wanna perform the music?	B
B:Why would the special man wanna see the game?	A:Who would the special man wanna see the game?	B
B:How will Kelly wanna go?	A:Who will Kelly wanna go?	B
A:Why would the responsible teacher wanna believe the news?	B:Who would the responsible teacher wanna believe the news?	A
B:Why will the lost friend wanna help the family?	A:Who will the lost friend wanna help the family?	B
A:How will Ann wanna travel to the city?	B:What will Ann wanna travel to the city?	A
A:Why does Ruth wanna walk the dog?	B:Who does Ruth wanna walk the dog?	A
A:Why does the Australian player wanna trust the friend?	B:Who does the Australian player wanna trust the friend?	A
B:Where would the same actor wanna marry the woman?	A:Who would the same actor wanna marry the woman?	B
A:Why does the French student wanna believe the story?	B:Who does the French student wanna believe the story?	A
B:Why would Adam wanna wait?	A:Who would Adam wanna wait?	B
B:Why will the famous teacher wanna save energy?	A:Who will the famous teacher wanna save energy?	B
B:Where did the Indian woman wanna watch the game?	A:Who did the Indian woman wanna watch the game?	B
B:Why does the special leader wanna lead the team?	A:Who does the special leader wanna lead the team?	B
B:How did Frank wanna wait?	A:Who did Frank wanna wait?	B
B:How did Larry wanna arrive?	A:Who did Larry wanna arrive?	B
B:How does Sarah wanna perform the music?	A:Who does Sarah wanna perform the music?	B
B:Why did the same soldier wanna attack the enemy?	A:Who did the same soldier wanna attack the enemy?	B
B:Where will the friendly student wanna meet the team?	A:Who will the friendly student wanna meet the team?	B
B:How will Bruce wanna swim?	A:Who will Bruce wanna swim?	B
B:When will Bill wanna arrive?	A:Who will Bill wanna arrive?	B
B:Why will the Canadian woman wanna believe the news?	A:Who will the Canadian woman wanna believe the news?	B
B:When will Victoria wanna stay?	A:Who will Victoria wanna stay?	B
A:Why does the important doctor wanna understand the story?	B:Who does the important doctor wanna understand the story?	A
B:When did the professional woman wanna believe the truth?	A:Who did the professional woman wanna believe the truth?	B
B:When does the Indian member wanna join the team?	A:Who does the Indian member wanna join the team?	B
B:When will John wanna wait?	A:Who will John wanna wait?	B
A:When will Martin wanna go?	B:Who will Martin wanna go?	A
B:Where did the European teacher wanna call the friend?	A:Who did the European teacher wanna call the friend?	B
A:When would Jane wanna walk the dog?	B:Who would Jane wanna walk the dog?	B
A:When does the responsible friend wanna support the position?	B:Who does the responsible friend wanna support the position?	B
A:Where would the slow student wanna trust the assistant?	B:Who would the slow student wanna trust the assistant?	A
A:When does Ruth wanna wait?	B:Who does Ruth wanna wait?	A
A:How would Larry wanna wait?	B:Who would Larry wanna wait?	A
B:Where will the modern student wanna follow the order?	A:Who will the modern student wanna follow the order?	B
A:Why will the rich teacher wanna tell him the story?	B:Who will the rich teacher wanna tell him the story?	B
B:How does Ben wanna go?	A:Who does Ben wanna go?	B
A:Where does the famous player wanna reach out to the professor?	B:Who does the famous player wanna reach out to the professor?	A
B:How does Anna wanna travel?	A:Who does Anna wanna travel?	B
A:Where did the kind leader wanna invite the friend?	B:Who did the kind leader wanna invite the friend?	A
A:How will Tony wanna seat the guest?	B:Who will Tony wanna seat the guest?	A
A:Why did Kelly wanna travel?	B:Who did Kelly wanna travel?	A
A:Why does the professional team wanna reach out to the professor?	B:Who does the professional team wanna reach out to the professor?	A
B:How does Bill wanna go?	A:Who does Bill wanna go?	B
B:When does the poor member wanna join the party?	A:Who does the poor member wanna join the party?	B
B:Where did the special student wanna call the friend?	A:Who did the special student wanna call the friend?	B
B:Why will the special player wanna reach out to the professor?	A:Who will the special player wanna reach out to the professor?	B
A:Why would the young team wanna attack the enemy?	B:Who would the young team wanna attack the enemy?	A
A:How did Gary wanna perform the music?	B:Who did Gary wanna perform the music?	A
B:How will Elizabeth wanna wait?	A:Who will Elizabeth wanna wait?	B
A:When did the Canadian student wanna see the film?	B:Who did the Canadian student wanna see the film?	B
A:How does Ted wanna rest?	B:Who does Ted wanna rest?	A
B:Where would the kind professor wanna teach the students?	A:Who would the kind professor wanna teach the students?	B
B:Why will Tony wanna lie down?	A:Who will Tony wanna lie down?	B
