correct	incorrect	model_choice
A:Why would Maria wanna go?	B:Who would Maria wanna go?	A
A:Where does the same student wanna watch the video?	B:Who does the same student wanna watch the video?	A
A:Why did the famous president wanna lead the group?	B:Who did the famous president wanna lead the group?	A
A:Why does Ross wanna arrive early?	B:Who does Ross wanna arrive early?	A
A:Why did Maria wanna perform the music?	B:Who did Maria wanna perform the music?	A
B:When would the French teacher wanna believe the news?	A:Who would the French teacher wanna believe the news?	B
A:Why does Maria wanna rest?	B:Who does Maria wanna rest?	A
B:Why would James wanna swim?	A:Who would James wanna swim?	B
B:Where did the professional man wanna see the film?	A:Who did the professional man wanna see the film?	B
A:When does the special leader wanna lead the group?	B:Who does the special leader wanna lead the group?	A
A:Where did Joe wanna swim?	B:Who did Joe wanna swim?	A
A:Where did John wanna rest?	B:Who did John wanna rest?	A
B:Where will Ross wanna travel?	A:Who will Ross wanna travel?	B
A:Why would the famous friend wanna trust the friend?	B:Who would the famous friend wanna trust the friend?	A
A:Where did Dennis wanna rest?	B:Who did Dennis wanna rest?	A
A:Why did the young doctor wanna save money?	B:Who did the young doctor wanna save money?	A
B:When will the happy officer wanna serve the community?	A:Who will the happy officer wanna serve the community?	B
A:Where will Oliver wanna walk the dog?	B:Who will Oliver wanna walk the dog?	A
B:When will the poor woman wanna find the way?	A:Who will the poor woman wanna find the way?	B
B:Where did Kelly wanna wait?	A:Who did Kelly wanna wait?	B
B:How does Michael wanna travel?	A:Who does Michael wanna travel?	B
B:Where will Dan wanna perform the music?	A:Who will Dan wanna perform the music?	B
A:When did the professional player wanna reach out to the man?	B:Who did the professional player wanna reach out to the man?	A
B:Where did Alice wanna travel?	A:Who did Alice wanna travel?	B
B:Where will Ross wanna wait?	A:Who will Ross wanna wait?	B
B:Where would Andy wanna leave the gift at home?	A:What would Andy wanna leave the gift at home?	B
A:Where would Alexander wanna rest?	B:Who would Alexander wanna rest?	A
A:Where will the happy parent wanna help the child?	B:Who will the happy parent wanna help the child?	A
B:When would Brian wanna go?	A:Who would Brian wanna go?	B
B:When would the active team wanna attack the city?	A:Who would the active team wanna attack the city?	B
A:When will the Australian student wanna trust the assistant?	B:Who will the Australian student wanna trust the assistant?	A
A:Why did the rich parent wanna help the student?	B:Who did the rich parent wanna help the student?	A
A:Why did Philip wanna go?	B:Who did Philip wanna go?	A
B:When will the young man wanna love the family?	A:Who will the young man wanna love the family?	B
B:When will the special minister wanna lead the group?	A:Who will the special minister wanna lead the group?	B
B:When would the friendly soldier wanna serve the community?	A:Who would the friendly soldier wanna serve the community?	B
A:Why does Andy wanna perform the music?	B:Who does Andy wanna perform the music?	A
B:When would the friendly soldier wanna serve the government?	A:Who would the friendly soldier wanna serve the government?	B
B:How would Helen wanna arrive?	A:Who would Helen wanna arrive?	B
A:How would Oliver wanna rest?	B:Who would Oliver wanna rest?	A
A:Why does Tony wanna run the team?	B:Who does Tony wanna run the team?	A
B:Where will the young father wanna tell him the story?	A:Who will the young father wanna tell him the story?	B
A:Why would Philip wanna travel?	B:Who would Philip wanna travel?	A
A:Where will the Indian army wanna attack the enemy?	B:Who will the Indian army wanna attack the enemy?	A
A:When did the poor soldier wanna save money?	B:Who did the poor soldier wanna save money?	A
B:Why does Gary wanna swim?	A:Who does Gary wanna swim?	B
B:When will the important leader wanna invite the friend?	A:Who will the important leader wanna invite the friend?	B
B:When will the modern player wanna follow the plan?	A:Who will the modern player wanna follow the plan?	B
A:When would the modern teacher wanna save energy?	B:Who would the modern teacher wanna save energy?	A
A:Where will the Indian teacher wanna tell him the story?	B:Who will the Indian teacher wanna tell him the story?	A
B:When will the important teacher wanna tell him the truth?	A:Who will the important teacher wanna tell him the truth?	B
B:When does the Australian member wanna join the party?	A:Who does the Australian member wanna join the party?	B
A:Where does the Canadian leader wanna meet the committee?	B:Who does the Canadian leader wanna meet the committee?	A
B:When does the little man wanna love the family?	A:Who does the little man wanna love the family?	B
