correct	incorrect	model_choice
B:Lawrence reports that Peter's wife introduces herself to others.	A:Lawrence reports that Peter's wife introduces himself to others.	B
B:The female president reports that Ruth's brother introduces himself to others.	A:The female president reports that Ruth's brother introduces herself to others.	B
A:Ann reports that the male professor who trusts Ann teaches himself.	B:Ann reports that the male professor who trusts Ann teaches herself.	A
A:Anthony shows that Charlie's mother helps herself.	B:Anthony shows that Charlie's mother helps himself.	A
A:The lady shows that Helen's husband helps himself.	B:The lady shows that Helen's husband helps herself.	A
B:The king writes that Brian's daughter hides herself from the enemy.	A:The king writes that Brian's daughter hides himself from the enemy.	B
B:The daughter writes that Anna's brother hides himself from the enemy.	A:The daughter writes that Anna's brother hides herself from the enemy.	B
B:The king reports that William's mother tells herself the truth.	A:The king reports that William's mother tells himself the truth.	B
B:Sarah reports that Victoria's uncle tells himself the truth.	A:Sarah reports that Victoria's uncle tells herself the truth.	B
A:Sarah reports that the boy who tells Sarah the story helps himself.	B:Sarah reports that the boy who tells Sarah the story helps herself.	A
A:The king reports that the daughter who tells the king the story helps herself.	B:The king reports that the daughter who tells the king the story helps himself.	A
A:The male president learns that Jeff's wife trusts herself.	B:The male president learns that Jeff's wife trusts himself.	A
B:The female player learns that Mary's uncle trusts himself.	A:The female player learns that Mary's uncle trusts herself.	B
A:The female player learns that the man who trusts the female player hits himself.	B:The female player learns that the man who trusts the female player hits herself.	A
A:The male president learns that the princess who trusts the male president hits herself.	B:The male president learns that the princess who trusts the male president hits himself.	A
A:Louis hears that Alexander's sister enjoys herself in the park.	B:Louis hears that Alexander's sister enjoys himself in the park.	A
B:The lady hears that Maria's husband enjoys himself in the park.	A:The lady hears that Maria's husband enjoys herself in the park.	B
B:The lady hears that the male president who likes the lady introduces himself to others.	A:The lady hears that the male president who likes the lady introduces herself to others.	B
B:Louis hears that the mother who likes Louis introduces herself to others.	A:Louis hears that the mother who likes Louis introduces himself to others.	B
B:The princess believes that the male player who joins the princess enjoys himself in the park.	A:The princess believes that the male player who joins the princess enjoys herself in the park.	B
A:Ryan believes that the female professor who joins Ryan enjoys herself in the park.	B:Ryan believes that the female professor who joins Ryan enjoys himself in the park.	A
B:The brother writes that Thomas's sister supports herself.	A:The brother writes that Thomas's sister supports himself.	B
A:Elizabeth writes that Helen's brother supports himself.	B:Elizabeth writes that Helen's brother supports herself.	A
A:Elizabeth writes that the male player who supports Elizabeth hides himself from the enemy.	B:Elizabeth writes that the male player who supports Elizabeth hides herself from the enemy.	A
A:The brother writes that the female president who supports the brother hides herself from the enemy.	B:The brother writes that the female president who supports the brother hides himself from the enemy.	A
A:The boy feels that Tony's sister helps herself.	B:The boy feels that Tony's sister helps himself.	A
A:Mary feels that Kelly's son helps himself.	B:Mary feels that Kelly's son helps herself.	A
A:Alexander claims that Martin's mother attacks herself.	B:Alexander claims that Martin's mother attacks himself.	A
B:The female professor claims that Jane's husband attacks himself.	A:The female professor claims that Jane's husband attacks herself.	B
A:The female professor claims that the brother who attacks the female professor asks himself a question.	B:The female professor claims that the brother who attacks the female professor asks herself a question.	A
B:Alexander claims that the mother who attacks Alexander asks herself a question.	A:Alexander claims that the mother who attacks Alexander asks himself a question.	B
A:Maria explains that the male president who leads Maria introduces himself to others.	B:Maria explains that the male president who leads Maria introduces herself to others.	A
A:Anthony explains that the female player who leads Anthony introduces herself to others.	B:Anthony explains that the female player who leads Anthony introduces himself to others.	A
B:The brother explains that Martin's daughter enjoys herself in the park.	A:The brother explains that Martin's daughter enjoys himself in the park.	B
A:Ann explains that Helen's uncle enjoys himself in the park.	B:Ann explains that Helen's uncle enjoys herself in the park.	A
B:Ann explains that the male professor who likes Ann talks to himself.	A:Ann explains that the male professor who likes Ann talks to herself.	B
A:The brother explains that the daughter who likes the brother talks to herself.	B:The brother explains that the daughter who likes the brother talks to himself.	A
B:Nick says that Brian's daughter supports herself.	A:Nick says that Brian's daughter supports himself.	B
B:The daughter says that Helen's father supports himself.	A:The daughter says that Helen's father supports herself.	B
A:The daughter says that the man who calls the daughter hides himself from the enemy.	B:The daughter says that the man who calls the daughter hides herself from the enemy.	A
A:Nick says that the female president who calls Nick hides herself from the enemy.	B:Nick says that the female president who calls Nick hides himself from the enemy.	A
B:The male doctor feels that Dennis's sister asks herself a question.	A:The male doctor feels that Dennis's sister asks himself a question.	B
B:The princess feels that Helen's brother asks himself a question.	A:The princess feels that Helen's brother asks herself a question.	B
A:Fred says that Ben's daughter trains herself.	B:Fred says that Ben's daughter trains himself.	A
B:Ann says that Alice's son trains himself.	A:Ann says that Alice's son trains herself.	B
A:Ann says that the father who trains Ann supports himself.	B:Ann says that the father who trains Ann supports herself.	A
A:Fred says that the female professor who trains Fred supports herself.	B:Fred says that the female professor who trains Fred supports himself.	A
B:Jeff understands that Charles's sister loves herself.	A:Jeff understands that Charles's sister loves himself.	B
A:Kelly understands that Sarah's father loves himself.	B:Kelly understands that Sarah's father loves herself.	A
B:Kelly understands that the male professor who loves Kelly beats himself.	A:Kelly understands that the male professor who loves Kelly beats herself.	B
B:Jeff understands that the female doctor who loves Jeff beats herself.	A:Jeff understands that the female doctor who loves Jeff beats himself.	B
A:Lawrence learns that Bruce's sister tells herself the truth.	B:Lawrence learns that Bruce's sister tells himself the truth.	A
B:The girl learns that Victoria's husband tells himself the truth.	A:The girl learns that Victoria's husband tells herself the truth.	B
A:The girl learns that the male professor who tells the girl the news supports himself.	B:The girl learns that the male professor who tells the girl the news supports herself.	A
B:Lawrence learns that the woman who tells Lawrence the news supports herself.	A:Lawrence learns that the woman who tells Lawrence the news supports himself.	B
A:Thomas writes that Bruce's wife attacks herself.	B:Thomas writes that Bruce's wife attacks himself.	A
B:Anna writes that Helen's son attacks himself.	A:Anna writes that Helen's son attacks herself.	B
