,best
agreement_determiner_noun-across_1_adjective,0.8905
agreement_determiner_noun-between_neighbors,0.893
agreement_subject_verb-across_prepositional_phrase,0.6485
agreement_subject_verb-across_relative_clause,0.68
agreement_subject_verb-in_question_with_aux,0.802
agreement_subject_verb-in_simple_question,0.7395
anaphor_agreement-pronoun_gender,0.857
argument_structure-dropped_argument,0.906
argument_structure-swapped_arguments,0.963
argument_structure-transitive,0.693
binding-principle_a,0.913
case-subjective_pronoun,0.965
ellipsis-n_bar,0.597
filler-gap-wh_question_object,0.982
filler-gap-wh_question_subject,0.944
irregular-verb,0.8945
island-effects-adjunct_island,0.514
island-effects-coordinate_structure_constraint,0.835
local_attractor-in_question_with_aux,0.893
npi_licensing-matrix_question,0.438
npi_licensing-only_npi_licensor,0.969
quantifiers-existential_there,0.9325
quantifiers-superlative,0.9355
