,best
agreement_determiner_noun-across_1_adjective,0.782
agreement_determiner_noun-between_neighbors,0.781
agreement_subject_verb-across_prepositional_phrase,0.722
agreement_subject_verb-across_relative_clause,0.69
agreement_subject_verb-in_question_with_aux,0.627
agreement_subject_verb-in_simple_question,0.7155
anaphor_agreement-pronoun_gender,0.929
argument_structure-dropped_argument,0.635
argument_structure-swapped_arguments,0.993
argument_structure-transitive,0.5545
binding-principle_a,0.941
case-subjective_pronoun,0.999
ellipsis-n_bar,0.5485
filler-gap-wh_question_object,0.9885
filler-gap-wh_question_subject,0.9015
irregular-verb,0.907
island-effects-adjunct_island,0.422
island-effects-coordinate_structure_constraint,0.7775
local_attractor-in_question_with_aux,0.521
npi_licensing-matrix_question,0.3255
npi_licensing-only_npi_licensor,0.6735
quantifiers-existential_there,0.9695
quantifiers-superlative,0.5695
