,best
agreement_determiner_noun-across_1_adjective,0.783
agreement_determiner_noun-between_neighbors,0.7975
agreement_subject_verb-across_prepositional_phrase,0.7385
agreement_subject_verb-across_relative_clause,0.678
agreement_subject_verb-in_question_with_aux,0.5585
agreement_subject_verb-in_simple_question,0.665
anaphor_agreement-pronoun_gender,0.903
argument_structure-dropped_argument,0.565
argument_structure-swapped_arguments,0.8945
argument_structure-transitive,0.54
binding-principle_a,0.919
case-subjective_pronoun,0.933
ellipsis-n_bar,0.606
filler-gap-wh_question_object,0.8935
filler-gap-wh_question_subject,0.9705
irregular-verb,0.9295
island-effects-adjunct_island,0.2805
island-effects-coordinate_structure_constraint,0.904
local_attractor-in_question_with_aux,0.6365
npi_licensing-matrix_question,0.348
npi_licensing-only_npi_licensor,0.899
quantifiers-existential_there,0.976
quantifiers-superlative,0.761
