,best
agreement_determiner_noun-across_1_adjective,0.8075
agreement_determiner_noun-between_neighbors,0.7925
agreement_subject_verb-across_prepositional_phrase,0.775
agreement_subject_verb-across_relative_clause,0.7155
agreement_subject_verb-in_question_with_aux,0.607
agreement_subject_verb-in_simple_question,0.6355
anaphor_agreement-pronoun_gender,0.836
argument_structure-dropped_argument,0.583
argument_structure-swapped_arguments,0.94
argument_structure-transitive,0.565
binding-principle_a,0.86
case-subjective_pronoun,0.982
ellipsis-n_bar,0.672
filler-gap-wh_question_object,0.9375
filler-gap-wh_question_subject,0.9215
irregular-verb,0.901
island-effects-adjunct_island,0.3605
island-effects-coordinate_structure_constraint,0.5885
local_attractor-in_question_with_aux,0.593
npi_licensing-matrix_question,0.247
npi_licensing-only_npi_licensor,0.874
quantifiers-existential_there,0.979
quantifiers-superlative,0.6635
