,best
agreement_determiner_noun-across_1_adjective,0.8805
agreement_determiner_noun-between_neighbors,0.8185
agreement_subject_verb-across_prepositional_phrase,0.696
agreement_subject_verb-across_relative_clause,0.6975
agreement_subject_verb-in_question_with_aux,0.839
agreement_subject_verb-in_simple_question,0.82
anaphor_agreement-pronoun_gender,0.895
argument_structure-dropped_argument,0.8715
argument_structure-swapped_arguments,0.968
argument_structure-transitive,0.7195
binding-principle_a,0.9
case-subjective_pronoun,0.9655
ellipsis-n_bar,0.551
filler-gap-wh_question_object,0.9605
filler-gap-wh_question_subject,0.8845
irregular-verb,0.865
island-effects-adjunct_island,0.5715
island-effects-coordinate_structure_constraint,0.62
local_attractor-in_question_with_aux,0.885
npi_licensing-matrix_question,0.6745
npi_licensing-only_npi_licensor,0.9975
quantifiers-existential_there,0.9595
quantifiers-superlative,0.6375
