,best
agreement_determiner_noun-across_1_adjective,0.96
agreement_determiner_noun-between_neighbors,0.9935
agreement_subject_verb-across_prepositional_phrase,0.8055
agreement_subject_verb-across_relative_clause,0.9025
agreement_subject_verb-in_question_with_aux,0.9275
agreement_subject_verb-in_simple_question,0.8285
anaphor_agreement-pronoun_gender,0.9905
argument_structure-dropped_argument,0.8475
argument_structure-swapped_arguments,0.978
argument_structure-transitive,0.6615
binding-principle_a,0.93
case-subjective_pronoun,0.993
ellipsis-n_bar,0.545
filler-gap-wh_question_object,0.9845
filler-gap-wh_question_subject,0.9505
irregular-verb,0.953
island-effects-adjunct_island,0.7125
island-effects-coordinate_structure_constraint,0.79
local_attractor-in_question_with_aux,0.5715
npi_licensing-matrix_question,0.473
npi_licensing-only_npi_licensor,0.8735
quantifiers-existential_there,0.9685
quantifiers-superlative,0.7895
