,best
agreement_determiner_noun-across_1_adjective,0.9395
agreement_determiner_noun-between_neighbors,0.873
agreement_subject_verb-across_prepositional_phrase,0.7605
agreement_subject_verb-across_relative_clause,0.767
agreement_subject_verb-in_question_with_aux,0.7905
agreement_subject_verb-in_simple_question,0.8215
anaphor_agreement-pronoun_gender,0.8965
argument_structure-dropped_argument,0.882
argument_structure-swapped_arguments,0.9745
argument_structure-transitive,0.611
binding-principle_a,0.946
case-subjective_pronoun,0.991
ellipsis-n_bar,0.6605
filler-gap-wh_question_object,0.9815
filler-gap-wh_question_subject,0.9755
irregular-verb,0.943
island-effects-adjunct_island,0.75
island-effects-coordinate_structure_constraint,0.7455
local_attractor-in_question_with_aux,0.903
npi_licensing-matrix_question,0.393
npi_licensing-only_npi_licensor,0.68
quantifiers-existential_there,0.9475
quantifiers-superlative,0.831
