,best
agreement_determiner_noun-across_1_adjective,0.9195
agreement_determiner_noun-between_neighbors,0.9205
agreement_subject_verb-across_prepositional_phrase,0.715
agreement_subject_verb-across_relative_clause,0.705
agreement_subject_verb-in_question_with_aux,0.8155
agreement_subject_verb-in_simple_question,0.8975
anaphor_agreement-pronoun_gender,0.946
argument_structure-dropped_argument,0.827
argument_structure-swapped_arguments,0.9905
argument_structure-transitive,0.6995
binding-principle_a,0.9535
case-subjective_pronoun,1.0
ellipsis-n_bar,0.549
filler-gap-wh_question_object,0.953
filler-gap-wh_question_subject,0.983
irregular-verb,0.962
island-effects-adjunct_island,0.6685
island-effects-coordinate_structure_constraint,0.7985
local_attractor-in_question_with_aux,0.845
npi_licensing-matrix_question,0.3335
npi_licensing-only_npi_licensor,0.6365
quantifiers-existential_there,0.969
quantifiers-superlative,0.8935
