,best
agreement_determiner_noun-across_1_adjective,0.9385
agreement_determiner_noun-between_neighbors,0.9195
agreement_subject_verb-across_prepositional_phrase,0.735
agreement_subject_verb-across_relative_clause,0.71
agreement_subject_verb-in_question_with_aux,0.7805
agreement_subject_verb-in_simple_question,0.8535
anaphor_agreement-pronoun_gender,0.956
argument_structure-dropped_argument,0.8585
argument_structure-swapped_arguments,0.868
argument_structure-transitive,0.6495
binding-principle_a,0.97
case-subjective_pronoun,0.941
ellipsis-n_bar,0.5225
filler-gap-wh_question_object,0.9825
filler-gap-wh_question_subject,0.9825
irregular-verb,0.954
island-effects-adjunct_island,0.662
island-effects-coordinate_structure_constraint,0.7905
local_attractor-in_question_with_aux,0.9065
npi_licensing-matrix_question,0.4265
npi_licensing-only_npi_licensor,0.2715
quantifiers-existential_there,0.9875
quantifiers-superlative,0.8795
