,best
wh_vs_that_with_gap,0.154
wh_questions_subject_gap,0.882
wh_vs_that_with_gap_long_distance,0.076
adjunct_island,0.599
anaphor_gender_agreement,0.406
anaphor_number_agreement,0.727
animate_subject_passive,0.627
animate_subject_trans,0.701
causative,0.636
complex_NP_island,0.378
coordinate_structure_constraint_complex_left_branch,0.328
coordinate_structure_constraint_object_extraction,0.505
determiner_noun_agreement_1,0.864
determiner_noun_agreement_2,0.81
determiner_noun_agreement_irregular_1,0.716
determiner_noun_agreement_irregular_2,0.759
determiner_noun_agreement_with_adj_2,0.741
determiner_noun_agreement_with_adj_irregular_1,0.702
determiner_noun_agreement_with_adj_irregular_2,0.721
determiner_noun_agreement_with_adjective_1,0.785
distractor_agreement_relational_noun,0.614
distractor_agreement_relative_clause,0.507
drop_argument,0.413
ellipsis_n_bar_1,0.484
ellipsis_n_bar_2,0.651
existential_there_object_raising,0.597
existential_there_quantifiers_1,0.964
existential_there_quantifiers_2,0.175
existential_there_subject_raising,0.665
expletive_it_object_raising,0.683
inchoative,0.607
intransitive,0.508
irregular_past_participle_adjectives,0.7
irregular_past_participle_verbs,0.77
irregular_plural_subject_verb_agreement_1,0.696
irregular_plural_subject_verb_agreement_2,0.713
left_branch_island_echo_question,0.522
left_branch_island_simple_question,0.277
matrix_question_npi_licensor_present,0.049
npi_present_1,0.526
npi_present_2,0.561
only_npi_licensor_present,0.969
only_npi_scope,0.791
passive_1,0.634
passive_2,0.603
principle_A_c_command,0.717
principle_A_case_1,1.0
principle_A_case_2,0.769
principle_A_domain_1,0.954
principle_A_domain_2,0.638
principle_A_domain_3,0.45
principle_A_reconstruction,0.368
regular_plural_subject_verb_agreement_1,0.668
regular_plural_subject_verb_agreement_2,0.737
sentential_negation_npi_licensor_present,0.968
sentential_negation_npi_scope,0.313
sentential_subject_island,0.358
superlative_quantifiers_1,0.527
superlative_quantifiers_2,0.442
tough_vs_raising_1,0.497
tough_vs_raising_2,0.537
transitive,0.643
wh_island,0.535
wh_questions_object_gap,0.636
wh_questions_subject_gap_long_distance,0.912
wh_vs_that_no_gap,0.963
wh_vs_that_no_gap_long_distance,0.964
