,best
wh_vs_that_with_gap,0.376
wh_questions_subject_gap,0.931
wh_vs_that_with_gap_long_distance,0.127
adjunct_island,0.739
anaphor_gender_agreement,0.716
anaphor_number_agreement,0.858
animate_subject_passive,0.761
animate_subject_trans,0.843
causative,0.728
complex_NP_island,0.515
coordinate_structure_constraint_complex_left_branch,0.45
coordinate_structure_constraint_object_extraction,0.642
determiner_noun_agreement_1,0.911
determiner_noun_agreement_2,0.95
determiner_noun_agreement_irregular_1,0.767
determiner_noun_agreement_irregular_2,0.907
determiner_noun_agreement_with_adj_2,0.893
determiner_noun_agreement_with_adj_irregular_1,0.822
determiner_noun_agreement_with_adj_irregular_2,0.852
determiner_noun_agreement_with_adjective_1,0.878
distractor_agreement_relational_noun,0.468
distractor_agreement_relative_clause,0.444
drop_argument,0.528
ellipsis_n_bar_1,0.693
ellipsis_n_bar_2,0.682
existential_there_object_raising,0.652
existential_there_quantifiers_1,0.991
existential_there_quantifiers_2,0.651
existential_there_subject_raising,0.773
expletive_it_object_raising,0.686
inchoative,0.643
intransitive,0.557
irregular_past_participle_adjectives,0.844
irregular_past_participle_verbs,0.79
irregular_plural_subject_verb_agreement_1,0.737
irregular_plural_subject_verb_agreement_2,0.83
left_branch_island_echo_question,0.509
left_branch_island_simple_question,0.579
matrix_question_npi_licensor_present,0.243
npi_present_1,0.403
npi_present_2,0.534
only_npi_licensor_present,0.905
only_npi_scope,0.599
passive_1,0.655
passive_2,0.636
principle_A_c_command,0.623
principle_A_case_1,0.998
principle_A_case_2,0.808
principle_A_domain_1,0.986
principle_A_domain_2,0.653
principle_A_domain_3,0.537
principle_A_reconstruction,0.399
regular_plural_subject_verb_agreement_1,0.783
regular_plural_subject_verb_agreement_2,0.814
sentential_negation_npi_licensor_present,0.994
sentential_negation_npi_scope,0.428
sentential_subject_island,0.428
superlative_quantifiers_1,0.942
superlative_quantifiers_2,0.932
tough_vs_raising_1,0.444
tough_vs_raising_2,0.767
transitive,0.724
wh_island,0.644
wh_questions_object_gap,0.759
wh_questions_subject_gap_long_distance,0.97
wh_vs_that_no_gap,0.969
wh_vs_that_no_gap_long_distance,0.989
