,best
wh_vs_that_with_gap,0.483
wh_questions_subject_gap,0.927
wh_vs_that_with_gap_long_distance,0.17
adjunct_island,0.786
anaphor_gender_agreement,0.757
anaphor_number_agreement,0.946
animate_subject_passive,0.593
animate_subject_trans,0.783
causative,0.694
complex_NP_island,0.461
coordinate_structure_constraint_complex_left_branch,0.392
coordinate_structure_constraint_object_extraction,0.733
determiner_noun_agreement_1,0.928
determiner_noun_agreement_2,0.925
determiner_noun_agreement_irregular_1,0.793
determiner_noun_agreement_irregular_2,0.906
determiner_noun_agreement_with_adj_2,0.85
determiner_noun_agreement_with_adj_irregular_1,0.761
determiner_noun_agreement_with_adj_irregular_2,0.836
determiner_noun_agreement_with_adjective_1,0.857
distractor_agreement_relational_noun,0.711
distractor_agreement_relative_clause,0.63
drop_argument,0.447
ellipsis_n_bar_1,0.651
ellipsis_n_bar_2,0.726
existential_there_object_raising,0.587
existential_there_quantifiers_1,0.982
existential_there_quantifiers_2,0.244
existential_there_subject_raising,0.77
expletive_it_object_raising,0.715
inchoative,0.668
intransitive,0.587
irregular_past_participle_adjectives,0.713
irregular_past_participle_verbs,0.864
irregular_plural_subject_verb_agreement_1,0.702
irregular_plural_subject_verb_agreement_2,0.777
left_branch_island_echo_question,0.289
left_branch_island_simple_question,0.347
matrix_question_npi_licensor_present,0.164
npi_present_1,0.503
npi_present_2,0.517
only_npi_licensor_present,0.784
only_npi_scope,0.71
passive_1,0.616
passive_2,0.596
principle_A_c_command,0.615
principle_A_case_1,1.0
principle_A_case_2,0.909
principle_A_domain_1,0.965
principle_A_domain_2,0.712
principle_A_domain_3,0.526
principle_A_reconstruction,0.425
regular_plural_subject_verb_agreement_1,0.764
regular_plural_subject_verb_agreement_2,0.775
sentential_negation_npi_licensor_present,0.88
sentential_negation_npi_scope,0.513
sentential_subject_island,0.485
superlative_quantifiers_1,0.475
superlative_quantifiers_2,0.538
tough_vs_raising_1,0.699
tough_vs_raising_2,0.546
transitive,0.688
wh_island,0.465
wh_questions_object_gap,0.772
wh_questions_subject_gap_long_distance,0.913
wh_vs_that_no_gap,0.969
wh_vs_that_no_gap_long_distance,0.98
