,best
wh_vs_that_with_gap,0.375
wh_questions_subject_gap,0.933
wh_vs_that_with_gap_long_distance,0.082
adjunct_island,0.817
anaphor_gender_agreement,0.794
anaphor_number_agreement,0.905
animate_subject_passive,0.744
animate_subject_trans,0.863
causative,0.696
complex_NP_island,0.439
coordinate_structure_constraint_complex_left_branch,0.587
coordinate_structure_constraint_object_extraction,0.666
determiner_noun_agreement_1,0.909
determiner_noun_agreement_2,0.957
determiner_noun_agreement_irregular_1,0.823
determiner_noun_agreement_irregular_2,0.882
determiner_noun_agreement_with_adj_2,0.899
determiner_noun_agreement_with_adj_irregular_1,0.806
determiner_noun_agreement_with_adj_irregular_2,0.817
determiner_noun_agreement_with_adjective_1,0.872
distractor_agreement_relational_noun,0.573
distractor_agreement_relative_clause,0.5
drop_argument,0.516
ellipsis_n_bar_1,0.634
ellipsis_n_bar_2,0.652
existential_there_object_raising,0.69
existential_there_quantifiers_1,0.952
existential_there_quantifiers_2,0.531
existential_there_subject_raising,0.781
expletive_it_object_raising,0.692
inchoative,0.599
intransitive,0.515
irregular_past_participle_adjectives,0.784
irregular_past_participle_verbs,0.807
irregular_plural_subject_verb_agreement_1,0.743
irregular_plural_subject_verb_agreement_2,0.777
left_branch_island_echo_question,0.617
left_branch_island_simple_question,0.717
matrix_question_npi_licensor_present,0.204
npi_present_1,0.372
npi_present_2,0.555
only_npi_licensor_present,0.94
only_npi_scope,0.631
passive_1,0.68
passive_2,0.644
principle_A_c_command,0.616
principle_A_case_1,1.0
principle_A_case_2,0.797
principle_A_domain_1,0.984
principle_A_domain_2,0.672
principle_A_domain_3,0.545
principle_A_reconstruction,0.406
regular_plural_subject_verb_agreement_1,0.769
regular_plural_subject_verb_agreement_2,0.764
sentential_negation_npi_licensor_present,0.986
sentential_negation_npi_scope,0.356
sentential_subject_island,0.437
superlative_quantifiers_1,0.828
superlative_quantifiers_2,0.903
tough_vs_raising_1,0.491
tough_vs_raising_2,0.747
transitive,0.716
wh_island,0.7
wh_questions_object_gap,0.768
wh_questions_subject_gap_long_distance,0.965
wh_vs_that_no_gap,0.974
wh_vs_that_no_gap_long_distance,0.994
