,best
wh_vs_that_with_gap,0.418
wh_questions_subject_gap,0.943
wh_vs_that_with_gap_long_distance,0.151
adjunct_island,0.718
anaphor_gender_agreement,0.81
anaphor_number_agreement,0.911
animate_subject_passive,0.701
animate_subject_trans,0.814
causative,0.737
complex_NP_island,0.465
coordinate_structure_constraint_complex_left_branch,0.63
coordinate_structure_constraint_object_extraction,0.762
determiner_noun_agreement_1,0.919
determiner_noun_agreement_2,0.958
determiner_noun_agreement_irregular_1,0.738
determiner_noun_agreement_irregular_2,0.869
determiner_noun_agreement_with_adj_2,0.918
determiner_noun_agreement_with_adj_irregular_1,0.788
determiner_noun_agreement_with_adj_irregular_2,0.838
determiner_noun_agreement_with_adjective_1,0.862
distractor_agreement_relational_noun,0.507
distractor_agreement_relative_clause,0.526
drop_argument,0.538
ellipsis_n_bar_1,0.644
ellipsis_n_bar_2,0.731
existential_there_object_raising,0.628
existential_there_quantifiers_1,0.986
existential_there_quantifiers_2,0.298
existential_there_subject_raising,0.766
expletive_it_object_raising,0.642
inchoative,0.691
intransitive,0.59
irregular_past_participle_adjectives,0.808
irregular_past_participle_verbs,0.807
irregular_plural_subject_verb_agreement_1,0.759
irregular_plural_subject_verb_agreement_2,0.796
left_branch_island_echo_question,0.574
left_branch_island_simple_question,0.773
matrix_question_npi_licensor_present,0.288
npi_present_1,0.51
npi_present_2,0.5
only_npi_licensor_present,0.696
only_npi_scope,0.533
passive_1,0.627
passive_2,0.614
principle_A_c_command,0.661
principle_A_case_1,1.0
principle_A_case_2,0.845
principle_A_domain_1,0.977
principle_A_domain_2,0.689
principle_A_domain_3,0.54
principle_A_reconstruction,0.442
regular_plural_subject_verb_agreement_1,0.761
regular_plural_subject_verb_agreement_2,0.81
sentential_negation_npi_licensor_present,0.998
sentential_negation_npi_scope,0.654
sentential_subject_island,0.368
superlative_quantifiers_1,0.771
superlative_quantifiers_2,0.932
tough_vs_raising_1,0.551
tough_vs_raising_2,0.768
transitive,0.711
wh_island,0.755
wh_questions_object_gap,0.802
wh_questions_subject_gap_long_distance,0.977
wh_vs_that_no_gap,0.968
wh_vs_that_no_gap_long_distance,0.986
