,best
wh_vs_that_with_gap,0.308
wh_questions_subject_gap,0.862
wh_vs_that_with_gap_long_distance,0.136
adjunct_island,0.734
anaphor_gender_agreement,0.685
anaphor_number_agreement,0.898
animate_subject_passive,0.644
animate_subject_trans,0.8
causative,0.654
complex_NP_island,0.465
coordinate_structure_constraint_complex_left_branch,0.292
coordinate_structure_constraint_object_extraction,0.628
determiner_noun_agreement_1,0.892
determiner_noun_agreement_2,0.897
determiner_noun_agreement_irregular_1,0.761
determiner_noun_agreement_irregular_2,0.867
determiner_noun_agreement_with_adj_2,0.838
determiner_noun_agreement_with_adj_irregular_1,0.775
determiner_noun_agreement_with_adj_irregular_2,0.811
determiner_noun_agreement_with_adjective_1,0.823
distractor_agreement_relational_noun,0.664
distractor_agreement_relative_clause,0.539
drop_argument,0.464
ellipsis_n_bar_1,0.57
ellipsis_n_bar_2,0.676
existential_there_object_raising,0.654
existential_there_quantifiers_1,0.976
existential_there_quantifiers_2,0.318
existential_there_subject_raising,0.746
expletive_it_object_raising,0.671
inchoative,0.653
intransitive,0.538
irregular_past_participle_adjectives,0.731
irregular_past_participle_verbs,0.825
irregular_plural_subject_verb_agreement_1,0.663
irregular_plural_subject_verb_agreement_2,0.682
left_branch_island_echo_question,0.528
left_branch_island_simple_question,0.325
matrix_question_npi_licensor_present,0.103
npi_present_1,0.495
npi_present_2,0.546
only_npi_licensor_present,0.914
only_npi_scope,0.84
passive_1,0.644
passive_2,0.589
principle_A_c_command,0.697
principle_A_case_1,0.999
principle_A_case_2,0.837
principle_A_domain_1,0.937
principle_A_domain_2,0.651
principle_A_domain_3,0.522
principle_A_reconstruction,0.512
regular_plural_subject_verb_agreement_1,0.716
regular_plural_subject_verb_agreement_2,0.764
sentential_negation_npi_licensor_present,0.805
sentential_negation_npi_scope,0.34
sentential_subject_island,0.452
superlative_quantifiers_1,0.752
superlative_quantifiers_2,0.724
tough_vs_raising_1,0.542
tough_vs_raising_2,0.574
transitive,0.673
wh_island,0.773
wh_questions_object_gap,0.652
wh_questions_subject_gap_long_distance,0.901
wh_vs_that_no_gap,0.953
wh_vs_that_no_gap_long_distance,0.941
