,best
agreement_determiner_noun-across_1_adjective,0.519
agreement_determiner_noun-between_neighbors,0.57
agreement_subject_verb-across_prepositional_phrase,0.5055
agreement_subject_verb-across_relative_clause,0.5165
agreement_subject_verb-in_question_with_aux,0.5025
agreement_subject_verb-in_simple_question,0.503
anaphor_agreement-pronoun_gender,0.519
argument_structure-dropped_argument,0.791
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6865
binding-principle_a,0.367
case-subjective_pronoun,1.0
ellipsis-n_bar,0.158
filler-gap-wh_question_object,0.512
filler-gap-wh_question_subject,1.0
irregular-verb,0.718
island-effects-adjunct_island,0.593
island-effects-coordinate_structure_constraint,0.3845
local_attractor-in_question_with_aux,0.709
npi_licensing-matrix_question,0.5625
npi_licensing-only_npi_licensor,0.7255
quantifiers-existential_there,0.7635
quantifiers-superlative,0.476
