,best
adjunct_island,0.443
adv_order,0.615
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.515
center_embedding_double_1,0.685
center_embedding_double_2,0.651
center_embedding_single_1,0.669
center_embedding_single_2,0.65
complex_np_island,0.528
coordinate_structure_constrain_object_extraction,0.884
determiner_noun_agreement_1,0.574
determiner_noun_agreement_2,0.637
determiner_noun_agreement_adj_1,0.501
determiner_noun_agreement_adj_2,0.571
ellipsis,0.58
green_ideas,0.445
intransitive,0.47
left_branch_island_simple_question,0.432
matrix_question_npi_licensor_present,0.531
npi_present,0.627
only_npi_licensor_present,0.42
only_npi_scope,0.511
pp_order,0.475
principle_A_c_command,0.51
principle_A_domain_1,1.0
principle_A_domain_2,0.511
principle_A_domain_3,0.473
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,0.986
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.007
recursion_poss_ditransitive_long,0.428
recursion_poss_ditransitive_medium,0.382
recursion_poss_ditransitive_short,0.433
recursion_poss_transitive_long,0.68
recursion_poss_transitive_medium,0.708
recursion_poss_transitive_short,0.668
recursion_pp_is_long,0.199
recursion_pp_is_medium,0.141
recursion_pp_is_short,0.231
recursion_pp_verb_long,0.705
recursion_pp_verb_medium,0.683
recursion_pp_verb_short,0.788
sentential_negation_npi_licensor_present,0.451
sentential_negation_npi_scope,0.561
subj_aux_agreement_question_vary_aux,0.557
subj_aux_agreement_question_vary_subj,0.506
subj_aux_vary_subj,0.785
subj_aux_vary_verb,0.772
subj_aux_vary_verb_pp,0.224
subj_aux_vary_verb_rc,0.369
subj_verb_vary_verb,0.479
svo_vos,0.469
swapped_ditransitive_1,0.309
swapped_ditransitive_2,0.582
transitive,0.478
wh_island,0.659
wh_questions_object_gap,0.808
wh_questions_object_gap_long_distance,0.796
wh_questions_subject_gap,0.932
wh_questions_subject_gap_long_distance,0.898
wh_vs_that_no_gap,0.997
wh_vs_that_no_gap_long_distance,0.998
wh_vs_that_with_gap,0.053
wh_vs_that_with_gap_long_distance,0.049
