,best
adjunct_island,0.793
adv_order,0.725
anaphor_gender_agreement,0.51
anaphor_number_agreement,0.505
center_embedding_double_1,0.375
center_embedding_double_2,0.907
center_embedding_single_1,0.315
center_embedding_single_2,0.957
complex_np_island,0.519
coordinate_structure_constrain_object_extraction,0.422
determiner_noun_agreement_1,0.923
determiner_noun_agreement_2,0.894
determiner_noun_agreement_adj_1,0.509
determiner_noun_agreement_adj_2,0.579
ellipsis,0.316
green_ideas,0.51
intransitive,0.693
left_branch_island_simple_question,0.303
matrix_question_npi_licensor_present,0.174
npi_present,0.356
only_npi_licensor_present,0.752
only_npi_scope,0.824
pp_order,0.715
principle_A_c_command,0.501
principle_A_domain_1,0.999
principle_A_domain_2,0.499
principle_A_domain_3,0.494
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.534
recursion_poss_ditransitive_medium,0.555
recursion_poss_ditransitive_short,0.553
recursion_poss_transitive_long,0.778
recursion_poss_transitive_medium,0.795
recursion_poss_transitive_short,0.8
recursion_pp_is_long,0.493
recursion_pp_is_medium,0.454
recursion_pp_is_short,0.497
recursion_pp_verb_long,0.962
recursion_pp_verb_medium,0.969
recursion_pp_verb_short,0.979
sentential_negation_npi_licensor_present,0.414
sentential_negation_npi_scope,0.655
subj_aux_agreement_question_vary_aux,0.69
subj_aux_agreement_question_vary_subj,0.5
subj_aux_vary_subj,0.875
subj_aux_vary_verb,0.794
subj_aux_vary_verb_pp,0.201
subj_aux_vary_verb_rc,0.37
subj_verb_vary_verb,0.464
svo_vos,0.535
swapped_ditransitive_1,0.714
swapped_ditransitive_2,0.691
transitive,0.842
wh_island,0.696
wh_questions_object_gap,0.192
wh_questions_object_gap_long_distance,0.205
wh_questions_subject_gap,0.83
wh_questions_subject_gap_long_distance,0.831
wh_vs_that_no_gap,0.976
wh_vs_that_no_gap_long_distance,0.975
wh_vs_that_with_gap,0.141
wh_vs_that_with_gap_long_distance,0.123
