,best
adjunct_island,0.591
adv_order,0.387
anaphor_gender_agreement,0.511
anaphor_number_agreement,0.468
center_embedding_double_1,0.323
center_embedding_double_2,0.93
center_embedding_single_1,0.178
center_embedding_single_2,0.959
complex_np_island,0.471
coordinate_structure_constrain_object_extraction,0.577
determiner_noun_agreement_1,0.474
determiner_noun_agreement_2,0.581
determiner_noun_agreement_adj_1,0.518
determiner_noun_agreement_adj_2,0.602
ellipsis,0.65
green_ideas,0.482
intransitive,0.601
left_branch_island_simple_question,0.502
matrix_question_npi_licensor_present,0.623
npi_present,0.285
only_npi_licensor_present,1.0
only_npi_scope,0.568
pp_order,0.48
principle_A_c_command,0.475
principle_A_domain_1,0.988
principle_A_domain_2,0.514
principle_A_domain_3,0.494
recursion_intensifier_adj_long,0.992
recursion_intensifier_adj_medium,0.992
recursion_intensifier_adj_short,0.989
recursion_intensifier_adv_long,0.012
recursion_intensifier_adv_medium,0.011
recursion_intensifier_adv_short,0.007
recursion_poss_ditransitive_long,0.584
recursion_poss_ditransitive_medium,0.565
recursion_poss_ditransitive_short,0.608
recursion_poss_transitive_long,0.909
recursion_poss_transitive_medium,0.921
recursion_poss_transitive_short,0.915
recursion_pp_is_long,0.818
recursion_pp_is_medium,0.833
recursion_pp_is_short,0.668
recursion_pp_verb_long,0.72
recursion_pp_verb_medium,0.7
recursion_pp_verb_short,0.807
sentential_negation_npi_licensor_present,0.796
sentential_negation_npi_scope,0.346
subj_aux_agreement_question_vary_aux,0.485
subj_aux_agreement_question_vary_subj,0.497
subj_aux_vary_subj,0.566
subj_aux_vary_verb,0.479
subj_aux_vary_verb_pp,0.469
subj_aux_vary_verb_rc,0.498
subj_verb_vary_verb,0.411
svo_vos,0.378
swapped_ditransitive_1,0.625
swapped_ditransitive_2,0.599
transitive,0.633
wh_island,0.238
wh_questions_object_gap,0.499
wh_questions_object_gap_long_distance,0.504
wh_questions_subject_gap,0.472
wh_questions_subject_gap_long_distance,0.487
wh_vs_that_no_gap,0.868
wh_vs_that_no_gap_long_distance,0.878
wh_vs_that_with_gap,0.071
wh_vs_that_with_gap_long_distance,0.066
