benchmark_suite,category,arch,domain,train_size,seed,avg_accuracy
blimp,Binding,gpt2,NA,NA,NA,0.8456666666666667
blimp,Binding,mini,baby,10M,42,0.7216666666666667
blimp,Binding,mini,baby,10M,53,0.7438333333333333
blimp,Binding,mini,baby,10M,76,0.7386666666666667
blimp,Binding,mini,baby,10Mf,42,0.745
blimp,Binding,mini,baby,10Mf,53,0.7475
blimp,Binding,mini,baby,10Mf,76,0.7473333333333333
blimp,Binding,mini,wiki,10M,42,0.7240000000000001
blimp,Binding,mini,wiki,10M,53,0.729
blimp,Binding,mini,wiki,10M,76,0.7211666666666666
blimp,Binding,small,baby,100M,42,0.8161666666666667
blimp,Binding,small,baby,100M,53,0.8104999999999999
blimp,Binding,small,baby,100M,76,0.8241666666666667
blimp,Binding,small,baby,30M,42,0.7963333333333334
blimp,Binding,small,baby,30M,53,0.7931666666666667
blimp,Binding,small,baby,30M,76,0.7896666666666667
blimp,Binding,small,baby,30Mf,42,0.8016666666666666
blimp,Binding,small,baby,30Mf,53,0.8053333333333333
blimp,Binding,small,baby,30Mf,76,0.7958333333333334
blimp,Binding,small,baby,50M,42,0.7955
blimp,Binding,small,baby,50M,53,0.8081666666666667
blimp,Binding,small,baby,50M,76,0.8061666666666666
blimp,Binding,small,baby,50Mf,42,0.8235
blimp,Binding,small,baby,50Mf,53,0.8033333333333333
blimp,Binding,small,baby,50Mf,76,0.8323333333333333
blimp,Binding,small,wiki,100M,42,0.8178333333333333
blimp,Binding,small,wiki,100M,53,0.7913333333333333
blimp,Binding,small,wiki,100M,76,0.8119999999999999
blimp,Binding,small,wiki,30M,42,0.7703333333333333
blimp,Binding,small,wiki,30M,53,0.775
blimp,Binding,small,wiki,30M,76,0.765
blimp,Binding,small,wiki,50M,42,0.7906666666666666
blimp,Binding,small,wiki,50M,53,0.7988333333333334
blimp,Binding,small,wiki,50M,76,0.7853333333333333
blimp,Island,gpt2,NA,NA,NA,0.7283333333333334
blimp,Island,mini,baby,10M,42,0.49266666666666664
blimp,Island,mini,baby,10M,53,0.5273333333333333
blimp,Island,mini,baby,10M,76,0.516
blimp,Island,mini,baby,10Mf,42,0.56
blimp,Island,mini,baby,10Mf,53,0.5746666666666667
blimp,Island,mini,baby,10Mf,76,0.46399999999999997
blimp,Island,mini,wiki,10M,42,0.49666666666666665
blimp,Island,mini,wiki,10M,53,0.48166666666666663
blimp,Island,mini,wiki,10M,76,0.44566666666666666
blimp,Island,small,baby,100M,42,0.6126666666666667
blimp,Island,small,baby,100M,53,0.6926666666666667
blimp,Island,small,baby,100M,76,0.7086666666666667
blimp,Island,small,baby,30M,42,0.624
blimp,Island,small,baby,30M,53,0.6576666666666667
blimp,Island,small,baby,30M,76,0.6006666666666667
blimp,Island,small,baby,30Mf,42,0.5646666666666667
