,best
wh_vs_that_with_gap,0.062
wh_questions_subject_gap,0.879
wh_vs_that_with_gap_long_distance,0.073
adjunct_island,0.46
anaphor_gender_agreement,0.305
anaphor_number_agreement,0.426
animate_subject_passive,0.44
animate_subject_trans,0.792
causative,0.495
complex_NP_island,0.491
coordinate_structure_constraint_complex_left_branch,0.144
coordinate_structure_constraint_object_extraction,0.522
determiner_noun_agreement_1,0.627
determiner_noun_agreement_2,0.63
determiner_noun_agreement_irregular_1,0.64
determiner_noun_agreement_irregular_2,0.678
determiner_noun_agreement_with_adj_2,0.484
determiner_noun_agreement_with_adj_irregular_1,0.48
determiner_noun_agreement_with_adj_irregular_2,0.525
determiner_noun_agreement_with_adjective_1,0.5
distractor_agreement_relational_noun,0.422
distractor_agreement_relative_clause,0.408
drop_argument,0.406
ellipsis_n_bar_1,0.224
ellipsis_n_bar_2,0.614
existential_there_object_raising,0.565
existential_there_quantifiers_1,0.885
existential_there_quantifiers_2,0.183
existential_there_subject_raising,0.576
expletive_it_object_raising,0.709
inchoative,0.55
intransitive,0.552
irregular_past_participle_adjectives,0.398
irregular_past_participle_verbs,0.653
irregular_plural_subject_verb_agreement_1,0.571
irregular_plural_subject_verb_agreement_2,0.655
left_branch_island_echo_question,0.67
left_branch_island_simple_question,0.422
matrix_question_npi_licensor_present,0.014
npi_present_1,0.44
npi_present_2,0.395
only_npi_licensor_present,0.938
only_npi_scope,0.59
passive_1,0.632
passive_2,0.511
principle_A_c_command,0.556
principle_A_case_1,0.999
principle_A_case_2,0.451
principle_A_domain_1,0.86
principle_A_domain_2,0.589
principle_A_domain_3,0.519
principle_A_reconstruction,0.204
regular_plural_subject_verb_agreement_1,0.596
regular_plural_subject_verb_agreement_2,0.594
sentential_negation_npi_licensor_present,0.799
sentential_negation_npi_scope,0.178
sentential_subject_island,0.515
superlative_quantifiers_1,0.56
superlative_quantifiers_2,0.561
tough_vs_raising_1,0.461
tough_vs_raising_2,0.523
transitive,0.581
wh_island,0.593
wh_questions_object_gap,0.57
wh_questions_subject_gap_long_distance,0.846
wh_vs_that_no_gap,0.939
wh_vs_that_no_gap_long_distance,0.939
