,best
wh_vs_that_with_gap,0.121
wh_questions_subject_gap,0.831
wh_vs_that_with_gap_long_distance,0.115
adjunct_island,0.6
anaphor_gender_agreement,0.418
anaphor_number_agreement,0.494
animate_subject_passive,0.594
animate_subject_trans,0.83
causative,0.58
complex_NP_island,0.519
coordinate_structure_constraint_complex_left_branch,0.189
coordinate_structure_constraint_object_extraction,0.514
determiner_noun_agreement_1,0.72
determiner_noun_agreement_2,0.677
determiner_noun_agreement_irregular_1,0.628
determiner_noun_agreement_irregular_2,0.703
determiner_noun_agreement_with_adj_2,0.487
determiner_noun_agreement_with_adj_irregular_1,0.515
determiner_noun_agreement_with_adj_irregular_2,0.537
determiner_noun_agreement_with_adjective_1,0.513
distractor_agreement_relational_noun,0.445
distractor_agreement_relative_clause,0.391
drop_argument,0.461
ellipsis_n_bar_1,0.303
ellipsis_n_bar_2,0.508
existential_there_object_raising,0.565
existential_there_quantifiers_1,0.856
existential_there_quantifiers_2,0.608
existential_there_subject_raising,0.632
expletive_it_object_raising,0.71
inchoative,0.523
intransitive,0.451
irregular_past_participle_adjectives,0.63
irregular_past_participle_verbs,0.655
irregular_plural_subject_verb_agreement_1,0.599
irregular_plural_subject_verb_agreement_2,0.649
left_branch_island_echo_question,0.748
left_branch_island_simple_question,0.405
matrix_question_npi_licensor_present,0.101
npi_present_1,0.344
npi_present_2,0.306
only_npi_licensor_present,0.711
only_npi_scope,0.396
passive_1,0.647
passive_2,0.532
principle_A_c_command,0.66
principle_A_case_1,1.0
principle_A_case_2,0.436
principle_A_domain_1,0.986
principle_A_domain_2,0.525
principle_A_domain_3,0.493
principle_A_reconstruction,0.267
regular_plural_subject_verb_agreement_1,0.615
regular_plural_subject_verb_agreement_2,0.562
sentential_negation_npi_licensor_present,0.938
sentential_negation_npi_scope,0.307
sentential_subject_island,0.549
superlative_quantifiers_1,0.628
superlative_quantifiers_2,0.731
tough_vs_raising_1,0.358
tough_vs_raising_2,0.683
transitive,0.612
wh_island,0.504
wh_questions_object_gap,0.536
wh_questions_subject_gap_long_distance,0.84
wh_vs_that_no_gap,0.868
wh_vs_that_no_gap_long_distance,0.874
