,best
wh_vs_that_with_gap,0.726
wh_questions_subject_gap,0.292
wh_vs_that_with_gap_long_distance,0.741
adjunct_island,0.529
anaphor_gender_agreement,0.343
anaphor_number_agreement,0.475
animate_subject_passive,0.578
animate_subject_trans,0.645
causative,0.46
complex_NP_island,0.503
coordinate_structure_constraint_complex_left_branch,0.413
coordinate_structure_constraint_object_extraction,0.548
determiner_noun_agreement_1,0.523
determiner_noun_agreement_2,0.485
determiner_noun_agreement_irregular_1,0.482
determiner_noun_agreement_irregular_2,0.532
determiner_noun_agreement_with_adj_2,0.475
determiner_noun_agreement_with_adj_irregular_1,0.504
determiner_noun_agreement_with_adj_irregular_2,0.537
determiner_noun_agreement_with_adjective_1,0.501
distractor_agreement_relational_noun,0.487
distractor_agreement_relative_clause,0.488
drop_argument,0.451
ellipsis_n_bar_1,0.386
ellipsis_n_bar_2,0.495
existential_there_object_raising,0.628
existential_there_quantifiers_1,0.908
existential_there_quantifiers_2,0.98
existential_there_subject_raising,0.648
expletive_it_object_raising,0.556
inchoative,0.443
intransitive,0.409
irregular_past_participle_adjectives,0.695
irregular_past_participle_verbs,0.502
irregular_plural_subject_verb_agreement_1,0.507
irregular_plural_subject_verb_agreement_2,0.521
left_branch_island_echo_question,0.607
left_branch_island_simple_question,0.489
matrix_question_npi_licensor_present,0.226
npi_present_1,0.834
npi_present_2,0.805
only_npi_licensor_present,0.819
only_npi_scope,0.766
passive_1,0.474
passive_2,0.481
principle_A_c_command,0.693
principle_A_case_1,0.998
principle_A_case_2,0.412
principle_A_domain_1,0.763
principle_A_domain_2,0.545
principle_A_domain_3,0.516
principle_A_reconstruction,0.43
regular_plural_subject_verb_agreement_1,0.554
regular_plural_subject_verb_agreement_2,0.503
sentential_negation_npi_licensor_present,0.963
sentential_negation_npi_scope,0.41
sentential_subject_island,0.452
superlative_quantifiers_1,0.509
superlative_quantifiers_2,0.153
tough_vs_raising_1,0.308
tough_vs_raising_2,0.703
transitive,0.569
wh_island,0.905
wh_questions_object_gap,0.272
wh_questions_subject_gap_long_distance,0.335
wh_vs_that_no_gap,0.227
wh_vs_that_no_gap_long_distance,0.264
