,best
agreement_determiner_noun-across_1_adjective,0.5
agreement_determiner_noun-between_neighbors,0.513
agreement_subject_verb-across_prepositional_phrase,0.5
agreement_subject_verb-across_relative_clause,0.5125
agreement_subject_verb-in_question_with_aux,0.5015
agreement_subject_verb-in_simple_question,0.513
anaphor_agreement-pronoun_gender,0.528
argument_structure-dropped_argument,0.5655
argument_structure-swapped_arguments,0.9865
argument_structure-transitive,0.369
binding-principle_a,0.432
case-subjective_pronoun,1.0
ellipsis-n_bar,0.428
filler-gap-wh_question_object,0.849
filler-gap-wh_question_subject,1.0
irregular-verb,0.9175
island-effects-adjunct_island,0.494
island-effects-coordinate_structure_constraint,0.668
local_attractor-in_question_with_aux,0.4795
npi_licensing-matrix_question,0.305
npi_licensing-only_npi_licensor,0.933
quantifiers-existential_there,0.776
quantifiers-superlative,0.668
