,best
adjunct_island,0.903
adv_order,0.981
anaphor_gender_agreement,0.909
anaphor_number_agreement,0.774
center_embedding_double_1,0.377
center_embedding_double_2,0.892
center_embedding_single_1,0.415
center_embedding_single_2,0.875
complex_np_island,0.314
coordinate_structure_constrain_object_extraction,0.729
determiner_noun_agreement_1,0.975
determiner_noun_agreement_2,0.96
determiner_noun_agreement_adj_1,0.981
determiner_noun_agreement_adj_2,0.95
ellipsis,0.843
green_ideas,0.682
intransitive,0.538
left_branch_island_simple_question,0.881
matrix_question_npi_licensor_present,0.255
npi_present,0.519
only_npi_licensor_present,0.882
only_npi_scope,0.712
pp_order,0.875
principle_A_c_command,0.576
principle_A_domain_1,1.0
principle_A_domain_2,0.813
principle_A_domain_3,0.547
recursion_intensifier_adj_long,0.857
recursion_intensifier_adj_medium,0.999
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.486
recursion_intensifier_adv_medium,0.332
recursion_intensifier_adv_short,0.104
recursion_poss_ditransitive_long,0.779
recursion_poss_ditransitive_medium,0.82
recursion_poss_ditransitive_short,0.913
recursion_poss_transitive_long,0.688
recursion_poss_transitive_medium,0.835
recursion_poss_transitive_short,0.985
recursion_pp_is_long,0.522
recursion_pp_is_medium,0.542
recursion_pp_is_short,0.736
recursion_pp_verb_long,0.828
recursion_pp_verb_medium,0.818
recursion_pp_verb_short,0.472
sentential_negation_npi_licensor_present,0.306
sentential_negation_npi_scope,0.452
subj_aux_agreement_question_vary_aux,0.68
subj_aux_agreement_question_vary_subj,0.646
subj_aux_vary_subj,0.849
subj_aux_vary_verb,0.825
subj_aux_vary_verb_pp,0.648
subj_aux_vary_verb_rc,0.524
subj_verb_vary_verb,0.855
svo_vos,0.753
swapped_ditransitive_1,0.729
swapped_ditransitive_2,0.675
transitive,0.975
wh_island,0.764
wh_questions_object_gap,0.727
wh_questions_object_gap_long_distance,0.803
wh_questions_subject_gap,0.91
wh_questions_subject_gap_long_distance,0.945
wh_vs_that_no_gap,0.987
wh_vs_that_no_gap_long_distance,0.989
wh_vs_that_with_gap,0.398
wh_vs_that_with_gap_long_distance,0.029
