,best
adjunct_island,0.863
adv_order,0.945
anaphor_gender_agreement,0.936
anaphor_number_agreement,0.87
center_embedding_double_1,0.413
center_embedding_double_2,0.783
center_embedding_single_1,0.568
center_embedding_single_2,0.82
complex_np_island,0.378
coordinate_structure_constrain_object_extraction,0.776
determiner_noun_agreement_1,0.978
determiner_noun_agreement_2,0.978
determiner_noun_agreement_adj_1,0.968
determiner_noun_agreement_adj_2,0.946
ellipsis,0.803
green_ideas,0.658
intransitive,0.638
left_branch_island_simple_question,0.896
matrix_question_npi_licensor_present,0.175
npi_present,0.554
only_npi_licensor_present,0.581
only_npi_scope,0.501
pp_order,0.808
principle_A_c_command,0.592
principle_A_domain_1,0.995
principle_A_domain_2,0.77
principle_A_domain_3,0.509
recursion_intensifier_adj_long,0.771
recursion_intensifier_adj_medium,0.959
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.452
recursion_intensifier_adv_medium,0.305
recursion_intensifier_adv_short,0.184
recursion_poss_ditransitive_long,0.492
recursion_poss_ditransitive_medium,0.53
recursion_poss_ditransitive_short,0.847
recursion_poss_transitive_long,0.527
recursion_poss_transitive_medium,0.657
recursion_poss_transitive_short,0.918
recursion_pp_is_long,0.553
recursion_pp_is_medium,0.608
recursion_pp_is_short,0.841
recursion_pp_verb_long,0.399
recursion_pp_verb_medium,0.412
recursion_pp_verb_short,0.665
sentential_negation_npi_licensor_present,0.82
sentential_negation_npi_scope,0.685
subj_aux_agreement_question_vary_aux,0.656
subj_aux_agreement_question_vary_subj,0.678
subj_aux_vary_subj,0.855
subj_aux_vary_verb,0.929
subj_aux_vary_verb_pp,0.741
subj_aux_vary_verb_rc,0.555
subj_verb_vary_verb,0.784
svo_vos,0.749
swapped_ditransitive_1,0.504
swapped_ditransitive_2,0.478
transitive,0.952
wh_island,0.805
wh_questions_object_gap,0.741
wh_questions_object_gap_long_distance,0.714
wh_questions_subject_gap,0.859
wh_questions_subject_gap_long_distance,0.88
wh_vs_that_no_gap,0.981
wh_vs_that_no_gap_long_distance,0.986
wh_vs_that_with_gap,0.302
wh_vs_that_with_gap_long_distance,0.036
