,best
adjunct_island,0.487
adv_order,0.911
anaphor_gender_agreement,0.88
anaphor_number_agreement,0.806
center_embedding_double_1,0.695
center_embedding_double_2,0.692
center_embedding_single_1,0.844
center_embedding_single_2,0.629
complex_np_island,0.417
coordinate_structure_constrain_object_extraction,0.811
determiner_noun_agreement_1,0.914
determiner_noun_agreement_2,0.922
determiner_noun_agreement_adj_1,0.88
determiner_noun_agreement_adj_2,0.888
ellipsis,0.801
green_ideas,0.647
intransitive,0.519
left_branch_island_simple_question,0.325
matrix_question_npi_licensor_present,0.143
npi_present,0.622
only_npi_licensor_present,0.897
only_npi_scope,0.804
pp_order,0.713
principle_A_c_command,0.542
principle_A_domain_1,0.999
principle_A_domain_2,0.796
principle_A_domain_3,0.49
recursion_intensifier_adj_long,0.884
recursion_intensifier_adj_medium,0.949
recursion_intensifier_adj_short,0.906
recursion_intensifier_adv_long,0.486
recursion_intensifier_adv_medium,0.394
recursion_intensifier_adv_short,0.405
recursion_poss_ditransitive_long,0.507
recursion_poss_ditransitive_medium,0.515
recursion_poss_ditransitive_short,0.585
recursion_poss_transitive_long,0.791
recursion_poss_transitive_medium,0.901
recursion_poss_transitive_short,0.991
recursion_pp_is_long,0.655
recursion_pp_is_medium,0.748
recursion_pp_is_short,0.841
recursion_pp_verb_long,0.899
recursion_pp_verb_medium,0.937
recursion_pp_verb_short,0.983
sentential_negation_npi_licensor_present,0.143
sentential_negation_npi_scope,0.208
subj_aux_agreement_question_vary_aux,0.488
subj_aux_agreement_question_vary_subj,0.499
subj_aux_vary_subj,0.865
subj_aux_vary_verb,0.878
subj_aux_vary_verb_pp,0.638
subj_aux_vary_verb_rc,0.651
subj_verb_vary_verb,0.787
svo_vos,0.622
swapped_ditransitive_1,0.577
swapped_ditransitive_2,0.73
transitive,0.565
wh_island,0.772
wh_questions_object_gap,0.579
wh_questions_object_gap_long_distance,0.609
wh_questions_subject_gap,0.889
wh_questions_subject_gap_long_distance,0.924
wh_vs_that_no_gap,0.979
wh_vs_that_no_gap_long_distance,0.99
wh_vs_that_with_gap,0.155
wh_vs_that_with_gap_long_distance,0.053
