,best
adjunct_island,0.917
adv_order,0.945
anaphor_gender_agreement,0.832
anaphor_number_agreement,0.877
center_embedding_double_1,0.355
center_embedding_double_2,0.877
center_embedding_single_1,0.382
center_embedding_single_2,0.881
complex_np_island,0.388
coordinate_structure_constrain_object_extraction,0.734
determiner_noun_agreement_1,0.989
determiner_noun_agreement_2,0.95
determiner_noun_agreement_adj_1,0.969
determiner_noun_agreement_adj_2,0.963
ellipsis,0.868
green_ideas,0.66
intransitive,0.686
left_branch_island_simple_question,0.768
matrix_question_npi_licensor_present,0.204
npi_present,0.596
only_npi_licensor_present,0.975
only_npi_scope,0.861
pp_order,0.85
principle_A_c_command,0.559
principle_A_domain_1,1.0
principle_A_domain_2,0.764
principle_A_domain_3,0.529
recursion_intensifier_adj_long,0.919
recursion_intensifier_adj_medium,0.998
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.229
recursion_intensifier_adv_medium,0.071
recursion_intensifier_adv_short,0.039
recursion_poss_ditransitive_long,0.792
recursion_poss_ditransitive_medium,0.824
recursion_poss_ditransitive_short,0.944
recursion_poss_transitive_long,0.971
recursion_poss_transitive_medium,0.982
recursion_poss_transitive_short,0.999
recursion_pp_is_long,0.255
recursion_pp_is_medium,0.439
recursion_pp_is_short,0.815
recursion_pp_verb_long,0.344
recursion_pp_verb_medium,0.378
recursion_pp_verb_short,0.719
sentential_negation_npi_licensor_present,0.599
sentential_negation_npi_scope,0.816
subj_aux_agreement_question_vary_aux,0.713
subj_aux_agreement_question_vary_subj,0.709
subj_aux_vary_subj,0.869
subj_aux_vary_verb,0.919
subj_aux_vary_verb_pp,0.564
subj_aux_vary_verb_rc,0.51
subj_verb_vary_verb,0.888
svo_vos,0.77
swapped_ditransitive_1,0.676
swapped_ditransitive_2,0.611
transitive,0.934
wh_island,0.793
wh_questions_object_gap,0.686
wh_questions_object_gap_long_distance,0.701
wh_questions_subject_gap,0.918
wh_questions_subject_gap_long_distance,0.933
wh_vs_that_no_gap,0.993
wh_vs_that_no_gap_long_distance,0.992
wh_vs_that_with_gap,0.394
wh_vs_that_with_gap_long_distance,0.068
