sentence1	PPL1	Sentence2	PPL2	Correct
Donald can imagine those college campuses are boring himself.	6.57586145401001	Donald can imagine those college campuses are boring themselves.	6.415834903717041	correct
Gerald was explaining Patricia was revealing himself.	7.69279670715332	Gerald was explaining Patricia was revealing herself.	7.374471664428711	correct
Mark imagines Erin might admire himself.	6.824267864227295	Mark imagines Erin might admire herself.	6.85947322845459	incorrect
Gary imagined most reports upset himself.	8.284223556518555	Gary imagined most reports upset themselves.	8.14671802520752	correct
A lot of doctors hadn't imagined Denise notices themselves.	6.699640274047852	A lot of doctors hadn't imagined Denise notices herself.	6.423185348510742	correct
Edward didn't think some teachers weren't discussing himself.	5.59686803817749	Edward didn't think some teachers weren't discussing themselves.	5.515878677368164	correct
The Borgias explain Scott had talked to themselves.	8.765769004821777	The Borgias explain Scott had talked to himself.	8.185953140258789	correct
Valerie doesn't think Russell sounds like herself.	6.532595157623291	Valerie doesn't think Russell sounds like himself.	6.2284722328186035	correct
Craig hasn't thought Jessica praised himself.	7.308503150939941	Craig hasn't thought Jessica praised herself.	7.189821243286133	correct
Holly would say some slope didn't irritate herself.	7.0672125816345215	Holly would say some slope didn't irritate itself.	7.040655136108398	correct
Sally wouldn't explain Rodney confused herself.	7.499026775360107	Sally wouldn't explain Rodney confused himself.	7.4925103187561035	correct
The dancer said Jeffrey doesn't find herself.	7.2253947257995605	The dancer said Jeffrey doesn't find himself.	7.259291172027588	incorrect
Beverly had said Homer was concealing herself.	6.097980499267578	Beverly had said Homer was concealing himself.	5.980607032775879	correct
The Impressionists think that window distracted themselves.	6.520061016082764	The Impressionists think that window distracted itself.	6.271073341369629	correct
Those waitresses say Curtis hadn't alarmed themselves.	7.064377784729004	Those waitresses say Curtis hadn't alarmed himself.	6.783527374267578	correct
Guy does explain Judy argued about himself.	8.354201316833496	Guy does explain Judy argued about herself.	8.171515464782715	correct
James says Kayla helped himself.	7.695085048675537	James says Kayla helped herself.	7.564887523651123	correct
Joel can't explain some girl can't visit himself.	5.836058139801025	Joel can't explain some girl can't visit herself.	5.796158790588379	correct
Victoria thinks Harvard University isn't firing herself.	7.192610263824463	Victoria thinks Harvard University isn't firing itself.	7.101903915405273	correct
Alice has said Craig did upset herself.	7.441429138183594	Alice has said Craig did upset himself.	7.342435836791992	correct
Allison has imagined Christopher had concealed herself.	7.06353235244751	Allison has imagined Christopher had concealed himself.	6.853183269500732	correct
Jerry said the rabbit had annoyed himself.	5.515479564666748	Jerry said the rabbit had annoyed itself.	5.827115058898926	incorrect
Rodney is saying Renee hadn't fled from himself.	6.301548004150391	Rodney is saying Renee hadn't fled from herself.	6.096813201904297	correct
Many patients aren't saying Roger kisses themselves.	6.796010494232178	Many patients aren't saying Roger kisses himself.	6.588438034057617	correct
Rachel explains Matt thinks about herself.	8.143865585327148	Rachel explains Matt thinks about himself.	7.861167907714844	correct
The children weren't imagining Anna knows themselves.	6.215331077575684	The children weren't imagining Anna knows herself.	5.905500888824463	correct
Vincent would say many patients can research himself.	6.729226589202881	Vincent would say many patients can research themselves.	6.367656230926514	correct
Karla was saying the Impressionists were leaving herself.	5.710275173187256	Karla was saying the Impressionists were leaving themselves.	5.402034282684326	correct
Diana wasn't explaining Lawrence wasn't curing herself.	6.930480003356934	Diana wasn't explaining Lawrence wasn't curing himself.	6.937286376953125	incorrect
Beth isn't imagining Dennis won't listen to herself.	5.884608268737793	Beth isn't imagining Dennis won't listen to himself.	5.720620632171631	correct
Every actress imagines Raymond shouldn't care for herself.	6.385404109954834	Every actress imagines Raymond shouldn't care for himself.	6.380898475646973	correct
Michelle was thinking Joel was healing herself.	6.475793838500977	Michelle was thinking Joel was healing himself.	6.131278038024902	correct
Caroline has explained Stephen is working with herself.	6.850066184997559	Caroline has explained Stephen is working with himself.	6.875513076782227	incorrect
Nancy imagines this book hasn't impressed herself.	6.074283599853516	Nancy imagines this book hasn't impressed itself.	6.061826705932617	correct
Aaron thinks Anna upset himself.	9.63966178894043	Aaron thinks Anna upset herself.	9.075547218322754	correct
Those students have explained Valerie hides themselves.	10.091140747070312	Those students have explained Valerie hides herself.	9.561169624328613	correct
Erin says Scott is kissing herself.	7.0033769607543945	Erin says Scott is kissing himself.	7.0506391525268555	incorrect
Rebecca thought Rodney will praise herself.	6.642400741577148	Rebecca thought Rodney will praise himself.	6.677622318267822	incorrect
Teresa won't think Timothy bored herself.	7.028134822845459	Teresa won't think Timothy bored himself.	6.932692050933838	correct
Some dancers explain Sonia didn't distract themselves.	6.492035865783691	Some dancers explain Sonia didn't distract herself.	6.363729953765869	correct
Many teenagers explain Valerie reveals themselves.	10.562945365905762	Many teenagers explain Valerie reveals herself.	9.713361740112305	correct
John has said April loved himself.	8.234376907348633	John has said April loved herself.	8.322894096374512	incorrect
Adults think Clyde approaches themselves.	9.723905563354492	Adults think Clyde approaches himself.	8.963611602783203	correct
Susan won't say that organization admired herself.	6.906243801116943	Susan won't say that organization admired itself.	6.9102959632873535	incorrect
Many children explain Derek should work with themselves.	8.236230850219727	Many children explain Derek should work with himself.	8.209417343139648	correct
Mark explains Pamela should forget himself.	8.984256744384766	Mark explains Pamela should forget herself.	8.974191665649414	correct
Clyde said Caroline shouldn't argue about himself.	6.1230149269104	Clyde said Caroline shouldn't argue about herself.	5.89089298248291	correct
Meredith was explaining Steven returns to herself.	8.276265144348145	Meredith was explaining Steven returns to himself.	8.060441970825195	correct
Maria thinks many shoes shocked herself.	8.533424377441406	Maria thinks many shoes shocked themselves.	8.434473991394043	correct
Those teachers think Walter remembers themselves.	8.458520889282227	Those teachers think Walter remembers himself.	7.835490703582764	correct
Some men say Alexander praises themselves.	6.634677410125732	Some men say Alexander praises himself.	5.955008506774902	correct
Dana says Carl works with herself.	7.762680530548096	Dana says Carl works with himself.	7.6548662185668945	correct
Caroline has explained the cups haven't alarmed herself.	6.240569114685059	Caroline has explained the cups haven't alarmed themselves.	6.30963659286499	incorrect
Children think Thomas notices themselves.	9.753093719482422	Children think Thomas notices himself.	9.361101150512695	correct
Raymond is saying Becky isn't talking about himself.	5.083089828491211	Raymond is saying Becky isn't talking about herself.	5.055324554443359	correct
Richard hasn't thought the banana won't bore himself.	6.208996772766113	Richard hasn't thought the banana won't bore itself.	6.056095123291016	correct
Grace explained Roger won't cure herself.	8.407331466674805	Grace explained Roger won't cure himself.	8.181839942932129	correct
Cheryl doesn't say some children have hugged herself.	5.971705913543701	Cheryl doesn't say some children have hugged themselves.	5.89999532699585	correct
Becky wasn't saying Robert cares for herself.	6.559025287628174	Becky wasn't saying Robert cares for himself.	6.3238444328308105	correct
Homer hadn't said Sara hadn't left himself.	5.581996440887451	Homer hadn't said Sara hadn't left herself.	5.384581565856934	correct
Benjamin was imagining Alice might argue about himself.	6.746692657470703	Benjamin was imagining Alice might argue about herself.	6.692275524139404	correct
Jane hasn't said Kenneth heals herself.	6.7192535400390625	Jane hasn't said Kenneth heals himself.	6.577736854553223	correct
Denise said Adam wasn't leaving herself.	7.043546676635742	Denise said Adam wasn't leaving himself.	6.705357551574707	correct
Brian had thought Melinda didn't respect himself.	5.286643028259277	Brian had thought Melinda didn't respect herself.	5.206627368927002	correct
These pedestrians explain the lake did stun themselves.	7.932659149169922	These pedestrians explain the lake did stun itself.	7.880695819854736	correct
Sally would think all pedestrians boycotted herself.	6.29900598526001	Sally would think all pedestrians boycotted themselves.	6.085768222808838	correct
The Clintons say Christine wouldn't care for themselves.	6.807374000549316	The Clintons say Christine wouldn't care for herself.	6.655816555023193	correct
Many guests won't think Laurie can't heal themselves.	6.849902153015137	Many guests won't think Laurie can't heal herself.	6.673466205596924	correct
Paul doesn't explain Renee wasn't revealing himself.	6.389860153198242	Paul doesn't explain Renee wasn't revealing herself.	6.1690754890441895	correct
Deborah hasn't thought Richard revealed herself.	6.094831466674805	Deborah hasn't thought Richard revealed himself.	5.711557865142822	correct
The woman wasn't explaining Curtis concealed herself.	7.874277591705322	The woman wasn't explaining Curtis concealed himself.	8.012934684753418	incorrect
Janice hadn't thought Jeffrey was concealing herself.	5.574550628662109	Janice hadn't thought Jeffrey was concealing himself.	5.549950122833252	correct
Kimberley has imagined Wayne could conceal herself.	5.512962341308594	Kimberley has imagined Wayne could conceal himself.	5.283638000488281	correct
Some actresses think Joel researched themselves.	8.396395683288574	Some actresses think Joel researched himself.	7.974407196044922	correct
Carlos has imagined all hats haven't bothered himself.	5.747883319854736	Carlos has imagined all hats haven't bothered themselves.	5.827010154724121	incorrect
Dennis hadn't imagined these teenagers respected himself.	6.878036022186279	Dennis hadn't imagined these teenagers respected themselves.	6.658599853515625	correct
Tara could say that mountain has astounded herself.	6.45100736618042	Tara could say that mountain has astounded itself.	6.236234188079834	correct
Guy has explained a vase didn't confuse himself.	5.506450176239014	Guy has explained a vase didn't confuse itself.	5.650466442108154	incorrect
Tiffany could imagine the jackets wouldn't alarm herself.	5.817499160766602	Tiffany could imagine the jackets wouldn't alarm themselves.	5.536498069763184	correct
This waitress says Keith didn't complain about herself.	5.311003684997559	This waitress says Keith didn't complain about himself.	5.321488857269287	incorrect
Catherine imagines Brad heals herself.	8.305910110473633	Catherine imagines Brad heals himself.	8.122721672058105	correct
Rachel explained Stephen doesn't talk about herself.	6.3802032470703125	Rachel explained Stephen doesn't talk about himself.	6.214576244354248	correct
Those senators think Patricia talked to themselves.	9.719917297363281	Those senators think Patricia talked to herself.	9.363780975341797	correct
