sentence1	PPL1	Sentence2	PPL2	Correct
Eric imagines himself took every rug.	8.636831283569336	Eric imagines himself taking every rug.	8.257216453552246	correct
Stacy imagines herself praises this actress.	7.20354700088501	Stacy imagines herself praising this actress.	6.995721817016602	correct
All pedestrians think about themselves explored museums.	7.9023213386535645	All pedestrians think about themselves exploring museums.	7.490383625030518	correct
Cheryl is forgetting about herself thought about Beverly.	7.054548740386963	Cheryl is forgetting about herself thinking about Beverly.	6.223155975341797	correct
Some guests imagine themselves explored a library.	7.846598148345947	Some guests imagine themselves exploring a library.	7.117486476898193	correct
Tonya is thinking about herself listened to Andrew.	6.890326499938965	Tonya is thinking about herself listening to Andrew.	6.178125858306885	correct
Christina hasn't thought about herself notices Sheila.	6.89046049118042	Christina hasn't thought about herself noticing Sheila.	6.433653831481934	correct
Ann wouldn't forget about herself passed banks.	7.447558403015137	Ann wouldn't forget about herself passing banks.	6.68665075302124	correct
These patients think about themselves concealed that girl.	6.885753631591797	These patients think about themselves concealing that girl.	5.9384989738464355	correct
That association is forgetting about itself impresses Renee.	8.656126022338867	That association is forgetting about itself impressing Renee.	7.995438575744629	correct
Some teachers imagine themselves brought many carriages.	7.7903337478637695	Some teachers imagine themselves bringing many carriages.	7.752399444580078	correct
Stacy won't imagine herself biked to all malls.	6.961943626403809	Stacy won't imagine herself biking to all malls.	6.172752380371094	correct
Most men forget about themselves climb down the ladder.	5.441309452056885	Most men forget about themselves climbing down the ladder.	5.839729309082031	incorrect
Paula hasn't forgotten about herself complained about Deborah.	6.167270660400391	Paula hasn't forgotten about herself complaining about Deborah.	5.574285984039307	correct
Steven doesn't think about himself listened to Theresa.	5.485832214355469	Steven doesn't think about himself listening to Theresa.	5.055008888244629	correct
The schools think about themselves irritated Paula.	8.42497444152832	The schools think about themselves irritating Paula.	7.973215579986572	correct
Gregory had forgotten about himself talked to Elaine.	6.357691287994385	Gregory had forgotten about himself talking to Elaine.	5.753636360168457	correct
Kevin wasn't forgetting about himself breaks a lot of unicycles.	5.719357013702393	Kevin wasn't forgetting about himself breaking a lot of unicycles.	5.349101543426514	correct
Scott would imagine himself dropped by some schools.	6.809584617614746	Scott would imagine himself dropping by some schools.	6.697596073150635	correct
Guests think about themselves praise Todd.	7.336902618408203	Guests think about themselves praising Todd.	5.765686511993408	correct
Jane imagines herself exits a school.	7.022008895874023	Jane imagines herself exiting a school.	6.022650718688965	correct
Brett had imagined himself listened to Jeffrey.	7.791589736938477	Brett had imagined himself listening to Jeffrey.	7.017233848571777	correct
Organizations think about themselves talked to Nancy.	8.120393753051758	Organizations think about themselves talking to Nancy.	7.626004695892334	correct
Theodore wasn't imagining himself observes the customers.	6.751539707183838	Theodore wasn't imagining himself observing the customers.	6.7869720458984375	incorrect
Dawn will think about herself cured George.	7.315967559814453	Dawn will think about herself curing George.	6.140346050262451	correct
Bethany was forgetting about herself questioned Rachelle.	7.653119087219238	Bethany was forgetting about herself questioning Rachelle.	6.933788299560547	correct
Dancers hadn't forgotten about themselves appreciated a public park.	6.761295318603516	Dancers hadn't forgotten about themselves appreciating a public park.	6.305109024047852	correct
The men forget about themselves took all hats.	7.0900139808654785	The men forget about themselves taking all hats.	6.39078950881958	correct
