sentence1	PPL1	Sentence2	PPL2	Correct
Donald can imagine those college campuses are boring himself.	6.6461052894592285	Donald can imagine those college campuses are boring themselves.	6.368164539337158	correct
Gerald was explaining Patricia was revealing himself.	7.411717891693115	Gerald was explaining Patricia was revealing herself.	7.171597003936768	correct
Mark imagines Erin might admire himself.	8.48601245880127	Mark imagines Erin might admire herself.	8.5319242477417	incorrect
Gary imagined most reports upset himself.	9.700788497924805	Gary imagined most reports upset themselves.	9.646341323852539	correct
A lot of doctors hadn't imagined Denise notices themselves.	7.289184093475342	A lot of doctors hadn't imagined Denise notices herself.	6.984912395477295	correct
Edward didn't think some teachers weren't discussing himself.	5.665894985198975	Edward didn't think some teachers weren't discussing themselves.	5.537966251373291	correct
The Borgias explain Scott had talked to themselves.	7.484364986419678	The Borgias explain Scott had talked to himself.	7.027428150177002	correct
Valerie doesn't think Russell sounds like herself.	5.852921485900879	Valerie doesn't think Russell sounds like himself.	5.708474159240723	correct
Craig hasn't thought Jessica praised himself.	7.0929155349731445	Craig hasn't thought Jessica praised herself.	6.954809188842773	correct
Holly would say some slope didn't irritate herself.	6.695652008056641	Holly would say some slope didn't irritate itself.	6.735428810119629	incorrect
Sally wouldn't explain Rodney confused herself.	8.140426635742188	Sally wouldn't explain Rodney confused himself.	7.854479789733887	correct
The dancer said Jeffrey doesn't find herself.	6.404942989349365	The dancer said Jeffrey doesn't find himself.	6.403298377990723	correct
Beverly had said Homer was concealing herself.	6.218480587005615	Beverly had said Homer was concealing himself.	5.730067729949951	correct
The Impressionists think that window distracted themselves.	6.456254959106445	The Impressionists think that window distracted itself.	6.54153299331665	incorrect
Those waitresses say Curtis hadn't alarmed themselves.	7.875276565551758	Those waitresses say Curtis hadn't alarmed himself.	7.589550495147705	correct
Guy does explain Judy argued about himself.	8.138419151306152	Guy does explain Judy argued about herself.	8.01213264465332	correct
James says Kayla helped himself.	8.631387710571289	James says Kayla helped herself.	8.54529857635498	correct
Joel can't explain some girl can't visit himself.	5.9586615562438965	Joel can't explain some girl can't visit herself.	5.774567127227783	correct
Victoria thinks Harvard University isn't firing herself.	6.187795162200928	Victoria thinks Harvard University isn't firing itself.	6.23028564453125	incorrect
Alice has said Craig did upset herself.	7.759842395782471	Alice has said Craig did upset himself.	7.509761810302734	correct
Allison has imagined Christopher had concealed herself.	7.933000087738037	Allison has imagined Christopher had concealed himself.	7.293766021728516	correct
Jerry said the rabbit had annoyed himself.	6.040134906768799	Jerry said the rabbit had annoyed itself.	6.228830337524414	incorrect
Rodney is saying Renee hadn't fled from himself.	6.830870628356934	Rodney is saying Renee hadn't fled from herself.	6.478437900543213	correct
Many patients aren't saying Roger kisses themselves.	7.967012405395508	Many patients aren't saying Roger kisses himself.	7.575773239135742	correct
Rachel explains Matt thinks about herself.	7.829225063323975	Rachel explains Matt thinks about himself.	7.688292026519775	correct
The children weren't imagining Anna knows themselves.	7.267902374267578	The children weren't imagining Anna knows herself.	6.704449653625488	correct
Vincent would say many patients can research himself.	6.655987739562988	Vincent would say many patients can research themselves.	6.201010227203369	correct
Karla was saying the Impressionists were leaving herself.	5.323942184448242	Karla was saying the Impressionists were leaving themselves.	4.971445083618164	correct
Diana wasn't explaining Lawrence wasn't curing herself.	6.213295936584473	Diana wasn't explaining Lawrence wasn't curing himself.	6.165605068206787	correct
Beth isn't imagining Dennis won't listen to herself.	6.732614994049072	Beth isn't imagining Dennis won't listen to himself.	6.43073034286499	correct
Every actress imagines Raymond shouldn't care for herself.	6.002307891845703	Every actress imagines Raymond shouldn't care for himself.	6.045693874359131	incorrect
Michelle was thinking Joel was healing herself.	6.202449798583984	Michelle was thinking Joel was healing himself.	5.83358097076416	correct
