sentence1	PPL1	Sentence2	PPL2	Correct
Eric imagines himself took every rug.	8.700347900390625	Eric imagines himself taking every rug.	8.131034851074219	correct
Stacy imagines herself praises this actress.	6.80779504776001	Stacy imagines herself praising this actress.	7.022899150848389	incorrect
All pedestrians think about themselves explored museums.	8.129373550415039	All pedestrians think about themselves exploring museums.	7.490384101867676	correct
Cheryl is forgetting about herself thought about Beverly.	6.804986476898193	Cheryl is forgetting about herself thinking about Beverly.	5.963687419891357	correct
Some guests imagine themselves explored a library.	8.384655952453613	Some guests imagine themselves exploring a library.	7.472951889038086	correct
Tonya is thinking about herself listened to Andrew.	6.752633094787598	Tonya is thinking about herself listening to Andrew.	6.021975994110107	correct
Christina hasn't thought about herself notices Sheila.	6.555591106414795	Christina hasn't thought about herself noticing Sheila.	6.10453987121582	correct
Ann wouldn't forget about herself passed banks.	7.24883508682251	Ann wouldn't forget about herself passing banks.	6.981439590454102	correct
These patients think about themselves concealed that girl.	6.929261684417725	These patients think about themselves concealing that girl.	6.20025110244751	correct
That association is forgetting about itself impresses Renee.	9.510388374328613	That association is forgetting about itself impressing Renee.	8.902545928955078	correct
Some teachers imagine themselves brought many carriages.	8.589423179626465	Some teachers imagine themselves bringing many carriages.	8.132438659667969	correct
Stacy won't imagine herself biked to all malls.	6.391617774963379	Stacy won't imagine herself biking to all malls.	5.837985992431641	correct
Most men forget about themselves climb down the ladder.	5.290003299713135	Most men forget about themselves climbing down the ladder.	5.166986465454102	correct
Paula hasn't forgotten about herself complained about Deborah.	6.334890842437744	Paula hasn't forgotten about herself complaining about Deborah.	6.044285297393799	correct
Steven doesn't think about himself listened to Theresa.	5.42605447769165	Steven doesn't think about himself listening to Theresa.	5.164243698120117	correct
The schools think about themselves irritated Paula.	8.691389083862305	The schools think about themselves irritating Paula.	8.424181938171387	correct
Gregory had forgotten about himself talked to Elaine.	6.630584716796875	Gregory had forgotten about himself talking to Elaine.	6.077487468719482	correct
Kevin wasn't forgetting about himself breaks a lot of unicycles.	5.856579780578613	Kevin wasn't forgetting about himself breaking a lot of unicycles.	5.454778671264648	correct
Scott would imagine himself dropped by some schools.	6.9962639808654785	Scott would imagine himself dropping by some schools.	6.598910808563232	correct
Guests think about themselves praise Todd.	7.943583011627197	Guests think about themselves praising Todd.	6.371222496032715	correct
Jane imagines herself exits a school.	7.947241306304932	Jane imagines herself exiting a school.	6.774744033813477	correct
Brett had imagined himself listened to Jeffrey.	7.926880359649658	Brett had imagined himself listening to Jeffrey.	7.650350570678711	correct
Organizations think about themselves talked to Nancy.	8.318699836730957	Organizations think about themselves talking to Nancy.	7.70631742477417	correct
Theodore wasn't imagining himself observes the customers.	6.641839027404785	Theodore wasn't imagining himself observing the customers.	6.566875457763672	correct
Dawn will think about herself cured George.	7.517415523529053	Dawn will think about herself curing George.	6.367483615875244	correct
Bethany was forgetting about herself questioned Rachelle.	8.118929862976074	Bethany was forgetting about herself questioning Rachelle.	7.866128444671631	correct
Dancers hadn't forgotten about themselves appreciated a public park.	6.340273857116699	Dancers hadn't forgotten about themselves appreciating a public park.	6.2427849769592285	correct
The men forget about themselves took all hats.	7.175334930419922	The men forget about themselves taking all hats.	6.5999650955200195	correct
Steven thinks about himself thought about this college campus.	6.119653224945068	Steven thinks about himself thinking about this college campus.	5.408488750457764	correct
Becca is forgetting about herself biked to that high school.	6.750236511230469	Becca is forgetting about herself biking to that high school.	6.145800590515137	correct
Omar thought about himself worked with Sheila.	8.289410591125488	Omar thought about himself working with Sheila.	7.587924003601074	correct
Irene might imagine herself hugs Lissa.	9.192375183105469	Irene might imagine herself hugging Lissa.	8.070682525634766	correct
Jacqueline forgot about herself flees from these waitresses.	6.038737773895264	Jacqueline forgot about herself fleeing from these waitresses.	6.202476501464844	incorrect
Jerry wasn't thinking about himself returned to Leslie.	5.858706474304199	Jerry wasn't thinking about himself returning to Leslie.	5.631349086761475	correct
Brett forgot about himself worked with Jesus.	7.303539276123047	Brett forgot about himself working with Jesus.	6.700328350067139	correct
Dennis hasn't forgotten about himself scared Paula.	7.54909610748291	Dennis hasn't forgotten about himself scaring Paula.	7.016407489776611	correct
Joseph thought about himself researches an essay.	6.446221828460693	Joseph thought about himself researching an essay.	5.38386869430542	correct
Frank thought about himself talked to Michelle.	7.104108810424805	Frank thought about himself talking to Michelle.	6.194290637969971	correct
Amanda forgets about herself hurt Ruth.	7.206498622894287	Amanda forgets about herself hurting Ruth.	6.385468006134033	correct
Robert imagines himself visited Joel.	8.345643997192383	Robert imagines himself visiting Joel.	7.883534908294678	correct
Todd shouldn't imagine himself helps William.	7.507938861846924	Todd shouldn't imagine himself helping William.	6.488811492919922	correct
Victoria hadn't imagined herself discussed Lori.	7.1981658935546875	Victoria hadn't imagined herself discussing Lori.	6.771277904510498	correct
Some governments think about themselves admired some bread.	7.762599945068359	Some governments think about themselves admiring some bread.	7.488974094390869	correct
The Clintons think about themselves disagree with Alicia.	7.027881145477295	The Clintons think about themselves disagreeing with Alicia.	6.162853240966797	correct
Gerald imagines himself cleaned this painting.	8.207042694091797	Gerald imagines himself cleaning this painting.	8.174043655395508	correct
Liam forgot about himself thinks about Rose.	7.999026298522949	Liam forgot about himself thinking about Rose.	6.994597911834717	correct
Raymond did imagine himself distracted Gina.	8.549656867980957	Raymond did imagine himself distracting Gina.	7.794703006744385	correct
Kendra won't think about herself disturbs Colleen.	5.908724784851074	Kendra won't think about herself disturbing Colleen.	6.2134928703308105	incorrect
Regina imagined herself broke a lot of forks.	6.634284973144531	Regina imagined herself breaking a lot of forks.	6.502395153045654	correct
Some children imagine themselves brought a lot of dogs.	6.047065734863281	Some children imagine themselves bringing a lot of dogs.	5.647372722625732	correct
Janet hasn't thought about herself boycotted Harvard University.	6.355630397796631	Janet hasn't thought about herself boycotting Harvard University.	5.465157985687256	correct
Maria would forget about herself boycotts that committee.	7.045685768127441	Maria would forget about herself boycotting that committee.	6.520242214202881	correct
Bethany wasn't forgetting about herself insulted Kevin.	7.427958011627197	Bethany wasn't forgetting about herself insulting Kevin.	7.1230292320251465	correct
Most drivers think about themselves scanned the movie.	6.650662899017334	Most drivers think about themselves scanning the movie.	6.720823287963867	incorrect
Adults forget about themselves distract Dawn.	8.709648132324219	Adults forget about themselves distracting Dawn.	8.647371292114258	correct
Florence should think about herself irritated Sharon.	7.357837200164795	Florence should think about herself irritating Sharon.	7.159682273864746	correct
Karla imagined herself returns to Michael.	7.092500686645508	Karla imagined herself returning to Michael.	6.4004387855529785	correct
Eric thought about himself examines some commentaries.	7.097057342529297	Eric thought about himself examining some commentaries.	7.618524551391602	incorrect
Amy wasn't thinking about herself listened to Marcus.	6.001856327056885	Amy wasn't thinking about herself listening to Marcus.	5.54325008392334	correct
Some people can imagine themselves referenced a lot of teachers.	5.264077663421631	Some people can imagine themselves referencing a lot of teachers.	4.923209190368652	correct
Nina might forget about herself brought those public parks.	8.00495433807373	Nina might forget about herself bringing those public parks.	7.730360507965088	correct
Sandra couldn't imagine herself researches every commentary.	8.259225845336914	Sandra couldn't imagine herself researching every commentary.	6.96937894821167	correct
Leslie shouldn't forget about herself exits many glaciers.	7.557971000671387	Leslie shouldn't forget about herself exiting many glaciers.	6.3709716796875	correct
Todd has thought about himself dropped by that hill.	6.146885395050049	Todd has thought about himself dropping by that hill.	5.857592582702637	correct
Those pedestrians shouldn't forget about themselves boast about Melissa.	6.9086761474609375	Those pedestrians shouldn't forget about themselves boasting about Melissa.	6.241629600524902	correct
Dawn imagined herself works with all men.	6.588372707366943	Dawn imagined herself working with all men.	5.936880588531494	correct
