,best
wh_vs_that_with_gap,0.487
wh_questions_subject_gap,0.948
wh_vs_that_with_gap_long_distance,0.247
adjunct_island,0.829
anaphor_gender_agreement,0.9
anaphor_number_agreement,0.96
animate_subject_passive,0.778
animate_subject_trans,0.85
causative,0.765
complex_NP_island,0.515
coordinate_structure_constraint_complex_left_branch,0.83
coordinate_structure_constraint_object_extraction,0.863
determiner_noun_agreement_1,0.945
determiner_noun_agreement_2,0.959
determiner_noun_agreement_irregular_1,0.83
determiner_noun_agreement_irregular_2,0.923
determiner_noun_agreement_with_adj_2,0.933
determiner_noun_agreement_with_adj_irregular_1,0.851
determiner_noun_agreement_with_adj_irregular_2,0.877
determiner_noun_agreement_with_adjective_1,0.922
distractor_agreement_relational_noun,0.674
distractor_agreement_relative_clause,0.63
drop_argument,0.555
ellipsis_n_bar_1,0.726
ellipsis_n_bar_2,0.743
existential_there_object_raising,0.612
existential_there_quantifiers_1,0.981
existential_there_quantifiers_2,0.483
existential_there_subject_raising,0.854
expletive_it_object_raising,0.682
inchoative,0.687
intransitive,0.665
irregular_past_participle_adjectives,0.939
irregular_past_participle_verbs,0.797
irregular_plural_subject_verb_agreement_1,0.827
irregular_plural_subject_verb_agreement_2,0.824
left_branch_island_echo_question,0.718
left_branch_island_simple_question,0.892
matrix_question_npi_licensor_present,0.215
npi_present_1,0.325
npi_present_2,0.523
only_npi_licensor_present,0.934
only_npi_scope,0.616
passive_1,0.716
passive_2,0.708
principle_A_c_command,0.591
principle_A_case_1,1.0
principle_A_case_2,0.933
principle_A_domain_1,0.972
principle_A_domain_2,0.731
principle_A_domain_3,0.565
principle_A_reconstruction,0.429
regular_plural_subject_verb_agreement_1,0.827
regular_plural_subject_verb_agreement_2,0.84
sentential_negation_npi_licensor_present,0.995
sentential_negation_npi_scope,0.528
sentential_subject_island,0.434
superlative_quantifiers_1,0.91
superlative_quantifiers_2,0.903
tough_vs_raising_1,0.586
tough_vs_raising_2,0.834
transitive,0.805
wh_island,0.718
wh_questions_object_gap,0.862
wh_questions_subject_gap_long_distance,0.846
wh_vs_that_no_gap,0.979
wh_vs_that_no_gap_long_distance,0.945
