,best
wh_vs_that_with_gap,0.371
wh_questions_subject_gap,0.923
wh_vs_that_with_gap_long_distance,0.11
adjunct_island,0.722
anaphor_gender_agreement,0.743
anaphor_number_agreement,0.921
animate_subject_passive,0.736
animate_subject_trans,0.771
causative,0.691
complex_NP_island,0.44
coordinate_structure_constraint_complex_left_branch,0.624
coordinate_structure_constraint_object_extraction,0.668
determiner_noun_agreement_1,0.899
determiner_noun_agreement_2,0.915
determiner_noun_agreement_irregular_1,0.75
determiner_noun_agreement_irregular_2,0.883
determiner_noun_agreement_with_adj_2,0.845
determiner_noun_agreement_with_adj_irregular_1,0.792
determiner_noun_agreement_with_adj_irregular_2,0.796
determiner_noun_agreement_with_adjective_1,0.85
distractor_agreement_relational_noun,0.395
distractor_agreement_relative_clause,0.303
drop_argument,0.509
ellipsis_n_bar_1,0.618
ellipsis_n_bar_2,0.695
existential_there_object_raising,0.695
existential_there_quantifiers_1,0.933
existential_there_quantifiers_2,0.5
existential_there_subject_raising,0.771
expletive_it_object_raising,0.674
inchoative,0.625
intransitive,0.537
irregular_past_participle_adjectives,0.657
irregular_past_participle_verbs,0.845
irregular_plural_subject_verb_agreement_1,0.709
irregular_plural_subject_verb_agreement_2,0.762
left_branch_island_echo_question,0.553
left_branch_island_simple_question,0.781
matrix_question_npi_licensor_present,0.192
npi_present_1,0.417
npi_present_2,0.395
only_npi_licensor_present,0.919
only_npi_scope,0.704
passive_1,0.672
passive_2,0.64
principle_A_c_command,0.611
principle_A_case_1,0.999
principle_A_case_2,0.761
principle_A_domain_1,0.977
principle_A_domain_2,0.595
principle_A_domain_3,0.518
principle_A_reconstruction,0.38
regular_plural_subject_verb_agreement_1,0.775
regular_plural_subject_verb_agreement_2,0.772
sentential_negation_npi_licensor_present,0.997
sentential_negation_npi_scope,0.39
sentential_subject_island,0.333
superlative_quantifiers_1,0.831
superlative_quantifiers_2,0.866
tough_vs_raising_1,0.381
tough_vs_raising_2,0.785
transitive,0.701
wh_island,0.523
wh_questions_object_gap,0.666
wh_questions_subject_gap_long_distance,0.965
wh_vs_that_no_gap,0.961
wh_vs_that_no_gap_long_distance,0.987
