,best
wh_vs_that_with_gap,0.402
wh_questions_subject_gap,0.918
wh_vs_that_with_gap_long_distance,0.102
adjunct_island,0.701
anaphor_gender_agreement,0.817
anaphor_number_agreement,0.925
animate_subject_passive,0.752
animate_subject_trans,0.836
causative,0.72
complex_NP_island,0.469
coordinate_structure_constraint_complex_left_branch,0.538
coordinate_structure_constraint_object_extraction,0.646
determiner_noun_agreement_1,0.924
determiner_noun_agreement_2,0.933
determiner_noun_agreement_irregular_1,0.769
determiner_noun_agreement_irregular_2,0.889
determiner_noun_agreement_with_adj_2,0.88
determiner_noun_agreement_with_adj_irregular_1,0.801
determiner_noun_agreement_with_adj_irregular_2,0.809
determiner_noun_agreement_with_adjective_1,0.884
distractor_agreement_relational_noun,0.434
distractor_agreement_relative_clause,0.408
drop_argument,0.518
ellipsis_n_bar_1,0.642
ellipsis_n_bar_2,0.681
existential_there_object_raising,0.682
existential_there_quantifiers_1,0.982
existential_there_quantifiers_2,0.626
existential_there_subject_raising,0.778
expletive_it_object_raising,0.67
inchoative,0.639
intransitive,0.547
irregular_past_participle_adjectives,0.742
irregular_past_participle_verbs,0.785
irregular_plural_subject_verb_agreement_1,0.745
irregular_plural_subject_verb_agreement_2,0.781
left_branch_island_echo_question,0.58
left_branch_island_simple_question,0.656
matrix_question_npi_licensor_present,0.188
npi_present_1,0.369
npi_present_2,0.492
only_npi_licensor_present,0.853
only_npi_scope,0.57
passive_1,0.635
passive_2,0.638
principle_A_c_command,0.616
principle_A_case_1,1.0
principle_A_case_2,0.794
principle_A_domain_1,0.979
principle_A_domain_2,0.671
principle_A_domain_3,0.557
principle_A_reconstruction,0.45
regular_plural_subject_verb_agreement_1,0.78
regular_plural_subject_verb_agreement_2,0.787
sentential_negation_npi_licensor_present,0.997
sentential_negation_npi_scope,0.532
sentential_subject_island,0.441
superlative_quantifiers_1,0.721
superlative_quantifiers_2,0.801
tough_vs_raising_1,0.454
tough_vs_raising_2,0.749
transitive,0.727
wh_island,0.634
wh_questions_object_gap,0.739
wh_questions_subject_gap_long_distance,0.945
wh_vs_that_no_gap,0.97
wh_vs_that_no_gap_long_distance,0.979
