,best
wh_vs_that_with_gap,0.164
wh_questions_subject_gap,0.874
wh_vs_that_with_gap_long_distance,0.036
adjunct_island,0.468
anaphor_gender_agreement,0.442
anaphor_number_agreement,0.697
animate_subject_passive,0.641
animate_subject_trans,0.694
causative,0.633
complex_NP_island,0.409
coordinate_structure_constraint_complex_left_branch,0.262
coordinate_structure_constraint_object_extraction,0.599
determiner_noun_agreement_1,0.851
determiner_noun_agreement_2,0.819
determiner_noun_agreement_irregular_1,0.721
determiner_noun_agreement_irregular_2,0.791
determiner_noun_agreement_with_adj_2,0.721
determiner_noun_agreement_with_adj_irregular_1,0.644
determiner_noun_agreement_with_adj_irregular_2,0.701
determiner_noun_agreement_with_adjective_1,0.778
distractor_agreement_relational_noun,0.637
distractor_agreement_relative_clause,0.548
drop_argument,0.428
ellipsis_n_bar_1,0.562
ellipsis_n_bar_2,0.654
existential_there_object_raising,0.573
existential_there_quantifiers_1,0.946
existential_there_quantifiers_2,0.26
existential_there_subject_raising,0.688
expletive_it_object_raising,0.642
inchoative,0.623
intransitive,0.49
irregular_past_participle_adjectives,0.716
irregular_past_participle_verbs,0.854
irregular_plural_subject_verb_agreement_1,0.686
irregular_plural_subject_verb_agreement_2,0.74
left_branch_island_echo_question,0.642
left_branch_island_simple_question,0.25
matrix_question_npi_licensor_present,0.034
npi_present_1,0.501
npi_present_2,0.568
only_npi_licensor_present,0.714
only_npi_scope,0.703
passive_1,0.629
passive_2,0.607
principle_A_c_command,0.8
principle_A_case_1,1.0
principle_A_case_2,0.768
principle_A_domain_1,0.939
principle_A_domain_2,0.62
principle_A_domain_3,0.459
principle_A_reconstruction,0.428
regular_plural_subject_verb_agreement_1,0.725
regular_plural_subject_verb_agreement_2,0.745
sentential_negation_npi_licensor_present,0.894
sentential_negation_npi_scope,0.285
sentential_subject_island,0.415
superlative_quantifiers_1,0.429
superlative_quantifiers_2,0.594
tough_vs_raising_1,0.51
tough_vs_raising_2,0.496
transitive,0.657
wh_island,0.47
wh_questions_object_gap,0.665
wh_questions_subject_gap_long_distance,0.924
wh_vs_that_no_gap,0.968
wh_vs_that_no_gap_long_distance,0.98
