,best
wh_vs_that_with_gap,0.121
wh_questions_subject_gap,0.867
wh_vs_that_with_gap_long_distance,0.136
adjunct_island,0.666
anaphor_gender_agreement,0.463
anaphor_number_agreement,0.478
animate_subject_passive,0.582
animate_subject_trans,0.854
causative,0.602
complex_NP_island,0.506
coordinate_structure_constraint_complex_left_branch,0.236
coordinate_structure_constraint_object_extraction,0.408
determiner_noun_agreement_1,0.821
determiner_noun_agreement_2,0.734
determiner_noun_agreement_irregular_1,0.699
determiner_noun_agreement_irregular_2,0.743
determiner_noun_agreement_with_adj_2,0.499
determiner_noun_agreement_with_adj_irregular_1,0.515
determiner_noun_agreement_with_adj_irregular_2,0.53
determiner_noun_agreement_with_adjective_1,0.492
distractor_agreement_relational_noun,0.378
distractor_agreement_relative_clause,0.345
drop_argument,0.469
ellipsis_n_bar_1,0.272
ellipsis_n_bar_2,0.542
existential_there_object_raising,0.598
existential_there_quantifiers_1,0.874
existential_there_quantifiers_2,0.613
existential_there_subject_raising,0.679
expletive_it_object_raising,0.717
inchoative,0.605
intransitive,0.478
irregular_past_participle_adjectives,0.646
irregular_past_participle_verbs,0.667
irregular_plural_subject_verb_agreement_1,0.628
irregular_plural_subject_verb_agreement_2,0.757
left_branch_island_echo_question,0.812
left_branch_island_simple_question,0.466
matrix_question_npi_licensor_present,0.082
npi_present_1,0.327
npi_present_2,0.307
only_npi_licensor_present,0.632
only_npi_scope,0.374
passive_1,0.647
passive_2,0.558
principle_A_c_command,0.645
principle_A_case_1,1.0
principle_A_case_2,0.441
principle_A_domain_1,0.957
principle_A_domain_2,0.521
principle_A_domain_3,0.492
principle_A_reconstruction,0.287
regular_plural_subject_verb_agreement_1,0.639
regular_plural_subject_verb_agreement_2,0.612
sentential_negation_npi_licensor_present,0.943
sentential_negation_npi_scope,0.316
sentential_subject_island,0.567
superlative_quantifiers_1,0.489
superlative_quantifiers_2,0.723
tough_vs_raising_1,0.368
tough_vs_raising_2,0.669
transitive,0.583
wh_island,0.43
wh_questions_object_gap,0.528
wh_questions_subject_gap_long_distance,0.858
wh_vs_that_no_gap,0.869
wh_vs_that_no_gap_long_distance,0.871
