,best
agreement_determiner_noun-across_1_adjective,0.503
agreement_determiner_noun-between_neighbors,0.628
agreement_subject_verb-across_prepositional_phrase,0.5
agreement_subject_verb-across_relative_clause,0.523
agreement_subject_verb-in_question_with_aux,0.5345
agreement_subject_verb-in_simple_question,0.554
anaphor_agreement-pronoun_gender,0.527
argument_structure-dropped_argument,0.8865
argument_structure-swapped_arguments,0.9875
argument_structure-transitive,0.596
binding-principle_a,0.5025
case-subjective_pronoun,1.0
ellipsis-n_bar,0.479
filler-gap-wh_question_object,0.595
filler-gap-wh_question_subject,0.9425
irregular-verb,0.826
island-effects-adjunct_island,0.665
island-effects-coordinate_structure_constraint,0.3505
local_attractor-in_question_with_aux,0.6995
npi_licensing-matrix_question,0.277
npi_licensing-only_npi_licensor,0.883
quantifiers-existential_there,0.851
quantifiers-superlative,0.749
