,best
agreement_determiner_noun-across_1_adjective,0.501
agreement_determiner_noun-between_neighbors,0.5485
agreement_subject_verb-across_prepositional_phrase,0.5
agreement_subject_verb-across_relative_clause,0.524
agreement_subject_verb-in_question_with_aux,0.5045
agreement_subject_verb-in_simple_question,0.526
anaphor_agreement-pronoun_gender,0.529
argument_structure-dropped_argument,0.558
argument_structure-swapped_arguments,0.9785
argument_structure-transitive,0.346
binding-principle_a,0.429
case-subjective_pronoun,1.0
ellipsis-n_bar,0.3415
filler-gap-wh_question_object,0.8455
filler-gap-wh_question_subject,0.98
irregular-verb,0.9045
island-effects-adjunct_island,0.578
island-effects-coordinate_structure_constraint,0.6185
local_attractor-in_question_with_aux,0.4465
npi_licensing-matrix_question,0.3845
npi_licensing-only_npi_licensor,0.863
quantifiers-existential_there,0.8005
quantifiers-superlative,0.659
