,best
agreement_determiner_noun-across_1_adjective,0.5
agreement_determiner_noun-between_neighbors,0.5
agreement_subject_verb-across_prepositional_phrase,0.5
agreement_subject_verb-across_relative_clause,0.5005
agreement_subject_verb-in_question_with_aux,0.501
agreement_subject_verb-in_simple_question,0.497
anaphor_agreement-pronoun_gender,0.5205
argument_structure-dropped_argument,0.773
argument_structure-swapped_arguments,0.961
argument_structure-transitive,0.4125
binding-principle_a,0.5295
case-subjective_pronoun,0.9895
ellipsis-n_bar,0.5465
filler-gap-wh_question_object,0.5485
filler-gap-wh_question_subject,0.8805
irregular-verb,0.4985
island-effects-adjunct_island,0.558
island-effects-coordinate_structure_constraint,0.4835
local_attractor-in_question_with_aux,0.7055
npi_licensing-matrix_question,0.5195
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.8105
quantifiers-superlative,0.509
