benchmark_suite,category,arch,domain,train_size,seed,avg_accuracy
blimp,Binding,ngram,baby,100M,NA,0.6513333333333333
blimp,Binding,ngram,baby,10M,NA,0.6591666666666667
blimp,Binding,ngram,baby,10Mf,NA,0.6833333333333332
blimp,Binding,ngram,baby,30M,NA,0.6545
blimp,Binding,ngram,baby,30Mf,NA,0.6815000000000001
blimp,Binding,ngram,baby,50M,NA,0.6213333333333333
blimp,Binding,ngram,baby,50Mf,NA,0.676
blimp,Binding,ngram,wiki,100M,NA,0.4971666666666667
blimp,Binding,ngram,wiki,10M,NA,0.6638333333333334
blimp,Binding,ngram,wiki,30M,NA,0.6623333333333333
blimp,Binding,ngram,wiki,50M,NA,0.6651666666666667
blimp,Island,ngram,baby,100M,NA,0.5313333333333333
blimp,Island,ngram,baby,10M,NA,0.45366666666666666
blimp,Island,ngram,baby,10Mf,NA,0.541
blimp,Island,ngram,baby,30M,NA,0.6456666666666667
blimp,Island,ngram,baby,30Mf,NA,0.5526666666666666
blimp,Island,ngram,baby,50M,NA,0.6243333333333334
blimp,Island,ngram,baby,50Mf,NA,0.534
blimp,Island,ngram,wiki,100M,NA,0.36533333333333334
blimp,Island,ngram,wiki,10M,NA,0.4426666666666666
blimp,Island,ngram,wiki,30M,NA,0.5146666666666667
blimp,Island,ngram,wiki,50M,NA,0.5203333333333333
posh,Binding,ngram,baby,100M,NA,0.434
posh,Binding,ngram,baby,10M,NA,0.45399999999999996
posh,Binding,ngram,baby,10Mf,NA,0.453
posh,Binding,ngram,baby,30M,NA,0.46299999999999997
posh,Binding,ngram,baby,30Mf,NA,0.431
posh,Binding,ngram,baby,50M,NA,0.46199999999999997
posh,Binding,ngram,baby,50Mf,NA,0.431
posh,Binding,ngram,wiki,100M,NA,0.489
posh,Binding,ngram,wiki,10M,NA,0.438
posh,Binding,ngram,wiki,30M,NA,0.438
posh,Binding,ngram,wiki,50M,NA,0.442
posh,Island,ngram,baby,100M,NA,0.6386666666666666
posh,Island,ngram,baby,10M,NA,0.5579999999999999
posh,Island,ngram,baby,10Mf,NA,0.5826666666666667
posh,Island,ngram,baby,30M,NA,0.6266666666666666
posh,Island,ngram,baby,30Mf,NA,0.608
posh,Island,ngram,baby,50M,NA,0.7200000000000001
posh,Island,ngram,baby,50Mf,NA,0.614
posh,Island,ngram,wiki,100M,NA,0.5573333333333333
posh,Island,ngram,wiki,10M,NA,0.636
posh,Island,ngram,wiki,30M,NA,0.6533333333333333
posh,Island,ngram,wiki,50M,NA,0.6686666666666667
posh,Question Formation,ngram,baby,100M,NA,0.5746666666666667
