sentence1	PPL1	Sentence2	PPL2	Correct
Ben thinks about himself called this fuel .	8.798171043395996	Ben thinks about himself calling this fuel .	8.944798469543457	incorrect
Anne thinks about herself called this fuel .	8.462778091430664	Anne thinks about herself calling this fuel .	8.517069816589355	incorrect
Ben thinks about himself gets this fuel .	8.20256519317627	Ben thinks about himself getting this fuel .	8.216638565063477	incorrect
Anne thinks about herself gets this fuel .	8.021748542785645	Anne thinks about herself getting this fuel .	7.895294189453125	correct
Roger thinks about himself tried this stand .	8.02148723602295	Roger thinks about himself trying this stand .	7.659132957458496	correct
Laura thinks about herself tried this stand .	7.708876132965088	Laura thinks about herself trying this stand .	7.324021816253662	correct
Roger thinks about himself makes this stand .	7.73045015335083	Roger thinks about himself making this stand .	7.1477789878845215	correct
Laura thinks about herself makes this stand .	7.132637023925781	Laura thinks about herself making this stand .	6.597220420837402	correct
Bill must not think about himself put away some color .	6.485490322113037	Bill must not think about himself putting away some color .	6.565181732177734	incorrect
Sarah must not think about herself put away some color .	6.200045585632324	Sarah must not think about herself putting away some color .	6.303504943847656	incorrect
Bill must not think about himself plans some color .	8.402410507202148	Bill must not think about himself planning some color .	7.240743160247803	correct
Sarah must not think about herself plans some color .	7.726230144500732	Sarah must not think about herself planning some color .	6.841325283050537	correct
Bill did not think about himself moved some back .	6.709436416625977	Bill did not think about himself moving some back .	6.171180248260498	correct
Sarah did not think about herself moved some back .	6.5352678298950195	Sarah did not think about herself moving some back .	6.132273197174072	correct
Bill did not think about himself plans some back .	7.75590181350708	Bill did not think about himself planning some back .	7.126288414001465	correct
Sarah did not think about herself plans some back .	7.3332695960998535	Sarah did not think about herself planning some back .	6.734635353088379	correct
Henry must think about himself put away a guess .	5.594951629638672	Henry must think about himself putting away a guess .	5.659557342529297	incorrect
Sarah must think about herself put away a guess .	6.2116498947143555	Sarah must think about herself putting away a guess .	6.31433629989624	incorrect
Henry must think about himself sees a guess .	6.464746952056885	Henry must think about himself seeing a guess .	6.08078145980835	correct
Sarah must think about herself sees a guess .	7.24777889251709	Sarah must think about herself seeing a guess .	6.84066104888916	correct
William thinks about himself called that ball .	7.520013332366943	William thinks about himself calling that ball .	7.478389263153076	correct
Sarah thinks about herself called that ball .	7.851054668426514	Sarah thinks about herself calling that ball .	7.741700172424316	correct
William thinks about himself runs to that ball .	7.55364465713501	William thinks about himself running to that ball .	7.28123140335083	correct
Sarah thinks about herself runs to that ball .	7.566548824310303	Sarah thinks about herself running to that ball .	7.056726932525635	correct
Mark did not think about himself covered this whale .	6.6544976234436035	Mark did not think about himself covering this whale .	6.832259178161621	incorrect
Sarah did not think about herself covered this whale .	6.395190715789795	Sarah did not think about herself covering this whale .	6.6098785400390625	incorrect
Mark did not think about himself calls this whale .	7.279820919036865	Mark did not think about himself calling this whale .	6.751927852630615	correct
Sarah did not think about herself calls this whale .	6.978417873382568	Sarah did not think about herself calling this whale .	6.338006496429443	correct
Obama must think about himself put away some plan .	6.621119022369385	Obama must think about himself putting away some plan .	6.693003177642822	incorrect
Laura must think about herself put away some plan .	6.441915988922119	Laura must think about herself putting away some plan .	6.599501609802246	incorrect
Obama must think about himself stands some plan .	7.764806270599365	Obama must think about himself standing some plan .	7.520602703094482	correct
Laura must think about herself stands some plan .	7.910208702087402	Laura must think about herself standing some plan .	7.674627304077148	correct
Simon must think about himself lived in some memory .	7.478095531463623	Simon must think about himself living in some memory .	7.255734920501709	correct
Laura must think about herself lived in some memory .	6.954048156738281	Laura must think about herself living in some memory .	6.490532875061035	correct
Simon must think about himself calls some memory .	8.70602798461914	Simon must think about himself calling some memory .	8.028820991516113	correct
Laura must think about herself calls some memory .	8.167473793029785	Laura must think about herself calling some memory .	7.332516670227051	correct
Michael thought about himself read this media .	7.501693248748779	Michael thought about himself reading this media .	7.324776649475098	correct
Sarah thought about herself read this media .	7.43997049331665	Sarah thought about herself reading this media .	7.233712673187256	correct
Michael thought about himself depends this media .	9.136260986328125	Michael thought about himself depending this media .	9.006223678588867	correct
Sarah thought about herself depends this media .	9.101486206054688	Sarah thought about herself depending this media .	8.84910774230957	correct
Michael did not think about himself set up that label .	5.651337623596191	Michael did not think about himself setting up that label .	5.749432563781738	incorrect
Sarah did not think about herself set up that label .	5.979093074798584	Sarah did not think about herself setting up that label .	6.036457538604736	incorrect
Michael did not think about himself stands that label .	6.744170665740967	Michael did not think about himself standing that label .	6.1532745361328125	correct
Sarah did not think about herself stands that label .	7.0820512771606445	Sarah did not think about herself standing that label .	6.613231182098389	correct
Carter could think about himself tried that bird .	8.483509063720703	Carter could think about himself trying that bird .	8.370586395263672	correct
Anne could think about herself tried that bird .	7.581147193908691	Anne could think about herself trying that bird .	7.288369178771973	correct
Carter could think about himself takes that bird .	9.020599365234375	Carter could think about himself taking that bird .	7.990309238433838	correct
Anne could think about herself takes that bird .	7.8081955909729	Anne could think about herself taking that bird .	7.016863822937012	correct
Chris thought about himself served some valley .	8.751076698303223	Chris thought about himself serving some valley .	8.406659126281738	correct
Sarah thought about herself served some valley .	8.604374885559082	Sarah thought about herself serving some valley .	8.258037567138672	correct
Chris thought about himself depends some valley .	9.207551956176758	Chris thought about himself depending some valley .	8.927999496459961	correct
Sarah thought about herself depends some valley .	9.008462905883789	Sarah thought about herself depending some valley .	8.740718841552734	correct
Roger could think about himself tried some procedure .	8.385087013244629	Roger could think about himself trying some procedure .	8.198790550231934	correct
Maria could think about herself tried some procedure .	8.250226020812988	Maria could think about herself trying some procedure .	8.053841590881348	correct
Roger could think about himself tests some procedure .	8.895713806152344	Roger could think about himself testing some procedure .	8.451857566833496	correct
Maria could think about herself tests some procedure .	8.74046516418457	Maria could think about herself testing some procedure .	8.317620277404785	correct
