,best
adjunct_island,0.457
adv_order,0.832
anaphor_gender_agreement,0.52
anaphor_number_agreement,0.753
center_embedding_double_1,0.643
center_embedding_double_2,0.691
center_embedding_single_1,0.758
center_embedding_single_2,0.661
complex_np_island,0.418
coordinate_structure_constrain_object_extraction,0.704
determiner_noun_agreement_1,0.83
determiner_noun_agreement_2,0.81
determiner_noun_agreement_adj_1,0.76
determiner_noun_agreement_adj_2,0.759
ellipsis,0.685
green_ideas,0.636
intransitive,0.513
left_branch_island_simple_question,0.422
matrix_question_npi_licensor_present,0.146
npi_present,0.51
only_npi_licensor_present,0.888
only_npi_scope,0.739
pp_order,0.699
principle_A_c_command,0.615
principle_A_domain_1,0.981
principle_A_domain_2,0.626
principle_A_domain_3,0.483
recursion_intensifier_adj_long,0.857
recursion_intensifier_adj_medium,0.919
recursion_intensifier_adj_short,0.945
recursion_intensifier_adv_long,0.199
recursion_intensifier_adv_medium,0.162
recursion_intensifier_adv_short,0.203
recursion_poss_ditransitive_long,0.626
recursion_poss_ditransitive_medium,0.549
recursion_poss_ditransitive_short,0.517
recursion_poss_transitive_long,0.962
recursion_poss_transitive_medium,0.987
recursion_poss_transitive_short,0.994
recursion_pp_is_long,0.122
recursion_pp_is_medium,0.396
recursion_pp_is_short,0.718
recursion_pp_verb_long,0.714
recursion_pp_verb_medium,0.849
recursion_pp_verb_short,0.945
sentential_negation_npi_licensor_present,0.15
sentential_negation_npi_scope,0.344
subj_aux_agreement_question_vary_aux,0.565
subj_aux_agreement_question_vary_subj,0.515
subj_aux_vary_subj,0.84
subj_aux_vary_verb,0.984
subj_aux_vary_verb_pp,0.735
subj_aux_vary_verb_rc,0.669
subj_verb_vary_verb,0.82
svo_vos,0.728
swapped_ditransitive_1,0.604
swapped_ditransitive_2,0.729
transitive,0.505
wh_island,0.739
wh_questions_object_gap,0.45
wh_questions_object_gap_long_distance,0.446
wh_questions_subject_gap,0.868
wh_questions_subject_gap_long_distance,0.939
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.112
wh_vs_that_with_gap_long_distance,0.038
