,best
adjunct_island,0.794
adv_order,0.945
anaphor_gender_agreement,0.878
anaphor_number_agreement,0.842
center_embedding_double_1,0.373
center_embedding_double_2,0.888
center_embedding_single_1,0.395
center_embedding_single_2,0.904
complex_np_island,0.277
coordinate_structure_constrain_object_extraction,0.83
determiner_noun_agreement_1,0.99
determiner_noun_agreement_2,0.962
determiner_noun_agreement_adj_1,0.968
determiner_noun_agreement_adj_2,0.938
ellipsis,0.774
green_ideas,0.738
intransitive,0.692
left_branch_island_simple_question,0.769
matrix_question_npi_licensor_present,0.251
npi_present,0.421
only_npi_licensor_present,0.83
only_npi_scope,0.713
pp_order,0.818
principle_A_c_command,0.53
principle_A_domain_1,1.0
principle_A_domain_2,0.743
principle_A_domain_3,0.525
recursion_intensifier_adj_long,0.844
recursion_intensifier_adj_medium,0.993
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.428
recursion_intensifier_adv_medium,0.222
recursion_intensifier_adv_short,0.186
recursion_poss_ditransitive_long,0.905
recursion_poss_ditransitive_medium,0.941
recursion_poss_ditransitive_short,0.915
recursion_poss_transitive_long,0.94
recursion_poss_transitive_medium,0.924
recursion_poss_transitive_short,0.965
recursion_pp_is_long,0.329
recursion_pp_is_medium,0.285
recursion_pp_is_short,0.535
recursion_pp_verb_long,0.853
recursion_pp_verb_medium,0.865
recursion_pp_verb_short,0.703
sentential_negation_npi_licensor_present,0.588
sentential_negation_npi_scope,0.822
subj_aux_agreement_question_vary_aux,0.679
subj_aux_agreement_question_vary_subj,0.678
subj_aux_vary_subj,0.839
subj_aux_vary_verb,0.953
subj_aux_vary_verb_pp,0.604
subj_aux_vary_verb_rc,0.483
subj_verb_vary_verb,0.81
svo_vos,0.775
swapped_ditransitive_1,0.807
swapped_ditransitive_2,0.749
transitive,0.951
wh_island,0.745
wh_questions_object_gap,0.722
wh_questions_object_gap_long_distance,0.71
wh_questions_subject_gap,0.862
wh_questions_subject_gap_long_distance,0.897
wh_vs_that_no_gap,0.98
wh_vs_that_no_gap_long_distance,0.989
wh_vs_that_with_gap,0.375
wh_vs_that_with_gap_long_distance,0.068
