,best
adjunct_island,0.796
adv_order,0.943
anaphor_gender_agreement,0.804
anaphor_number_agreement,0.846
center_embedding_double_1,0.381
center_embedding_double_2,0.968
center_embedding_single_1,0.45
center_embedding_single_2,0.953
complex_np_island,0.28
coordinate_structure_constrain_object_extraction,0.736
determiner_noun_agreement_1,0.972
determiner_noun_agreement_2,0.968
determiner_noun_agreement_adj_1,0.949
determiner_noun_agreement_adj_2,0.94
ellipsis,0.763
green_ideas,0.781
intransitive,0.742
left_branch_island_simple_question,0.86
matrix_question_npi_licensor_present,0.213
npi_present,0.483
only_npi_licensor_present,0.989
only_npi_scope,0.852
pp_order,0.886
principle_A_c_command,0.554
principle_A_domain_1,1.0
principle_A_domain_2,0.648
principle_A_domain_3,0.489
recursion_intensifier_adj_long,0.824
recursion_intensifier_adj_medium,0.967
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.349
recursion_intensifier_adv_medium,0.262
recursion_intensifier_adv_short,0.399
recursion_poss_ditransitive_long,0.62
recursion_poss_ditransitive_medium,0.679
recursion_poss_ditransitive_short,0.844
recursion_poss_transitive_long,0.561
recursion_poss_transitive_medium,0.682
recursion_poss_transitive_short,0.954
recursion_pp_is_long,0.442
recursion_pp_is_medium,0.514
recursion_pp_is_short,0.848
recursion_pp_verb_long,0.631
recursion_pp_verb_medium,0.432
recursion_pp_verb_short,0.4
sentential_negation_npi_licensor_present,0.311
sentential_negation_npi_scope,0.649
subj_aux_agreement_question_vary_aux,0.688
subj_aux_agreement_question_vary_subj,0.673
subj_aux_vary_subj,0.89
subj_aux_vary_verb,0.969
subj_aux_vary_verb_pp,0.427
subj_aux_vary_verb_rc,0.42
subj_verb_vary_verb,0.911
svo_vos,0.855
swapped_ditransitive_1,0.795
swapped_ditransitive_2,0.552
transitive,0.959
wh_island,0.789
wh_questions_object_gap,0.555
wh_questions_object_gap_long_distance,0.606
wh_questions_subject_gap,0.85
wh_questions_subject_gap_long_distance,0.928
wh_vs_that_no_gap,0.983
wh_vs_that_no_gap_long_distance,0.974
wh_vs_that_with_gap,0.434
wh_vs_that_with_gap_long_distance,0.094
